gene_a,gene_b,source,target,merged_sign,sign_conflict,direction_conflict,supporting_layers,n_supporting_layers,layer_evidence_type,tier,citation
MAPK1,MITF,,,-,False,True,DArcy_STRING|GRN|OmniPath_validation|Raghunath|STRING_ours,5,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,PMID:18039926;PMID:18628967;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
MC1R,MITF,MITF,MC1R,+,False,False,DArcy_STRING|GRN|OmniPath_validation|Raghunath|STRING_ours,5,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,"PMID:12204775;PMID:10623832,12204775,21119619,22564683,31318566;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651"
MITF,TYR,MITF,TYR,+,False,False,DArcy_STRING|GRN|OmniPath_validation|Raghunath|STRING_ours,5,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,"PMID:19026785;PMID:10080955,10587587,10770922,11076759,11532965,11830592,12034359,12093801,12136092,12201672,12204775,12485437,12663655,12859621,14632202,14717844,15558216,15760338,15894174,16280009,16394501,16411896,16420250,16493586,16648630,16757562,16807878,17024102,17083486,17116288,17237008,17250547,17266927,17457519,17473428,17516925,17702866,18177348,18424413,18457359,18803655,19067970,19067971,19424591,19469902,19527735,19938076,1999537,19995375,20099279,20163455,20177067,20445320,20460767,20482673,20485200,20549222,20834163,20862309,21119619,21519923,21569106,21910056,21957942,21972008,21988805,21995379,22162275,22251576,22259223,22371403,22465131,22536778,22555175,22710324,22867636,22898827,23041339,23063590,23098757,23768344,23812774,23872139,23876066,23935660,24016750,24078219,24192058,24267888,24671267,24756377,24769727,25333888,25488359,25663088,26018825,26349509,26387540,26524968,26601420,26663053,27242917,27343558,27374284,27774936,28165285,28390782,28392346,28842328,29019920,29221146,29369499,29621941,29865165,29886459,30084054,30322121,30408247,30417494,30579288,30603437,30668315,30671368,30987288,31288940,31484592,31547367,31973810,32450387,32674403,33205668,33260669,33340761,33545118,33731492,33823181,33896085,33917957,34049220,34299326,34641584,34923233,34946730,35163281,35203061,35266648,35290062,35325017,35566061,35716437,35733058,35889231,36030197,36080217,36080359,36207998,36235295,36545047,36978940,37107174,37138409,37794194,7862173,7969144,8622664,8645245,8659547,8707852,8749302,8995290,9158138,9170159,9417870,9500554,9593634,9647758;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651"
MITF,TYRP1,MITF,TYRP1,+,False,False,DArcy_STRING|GRN|OmniPath_validation|Raghunath|STRING_ours,5,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,"PMID:19026785;PMID:10080955,10480898,10770922,11076759,11237412,11310793,12136092,12204775,12859621,14632202,15760338,16197942,16411896,16493586,16648630,17071589,17237008,17266927,17457519,19067970,19067971,19192212,19699574,1999537,19995375,20834163,21119619,21519923,21972008,22371403,22536778,22710324,22847819,22898827,23041339,23063590,23178856,23416839,23729736,24016750,24192058,25126713,25663088,26524968,27374284,28390782,28431046,29545604,29621941,30322121,30408247,30579288,30603437,31288940,33205668,33260669,33823181,33896085,35203061,35461746,35733058,36080359,36734267,36978940,37138409,8749302,8995290;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651"
MITF,PAX3,,,+,False,True,DArcy_STRING|GRN|OmniPath_validation|Raghunath|STRING_ours,5,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,"PMID:10536986; PMID:19124082;PMID:22290434;PMID:10480898,10536986,10644012,10938265,10942418,10982026,11041370,11237412,11830592,12519122,12668617,15729346,16280008,16494873,16998588,19026785,19074888,19403660,20032463,20925909,21164369,21519923,21965087,21997191,22290434,24062982,25466249,26977879,27012829,28390782,29158168,29545604,29865165,30277012,30914325,32168437,32990402,37823232,9500554;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651"
MITF,SOX10,SOX10,MITF,+,False,False,DArcy_STRING|GRN|OmniPath_validation|Raghunath|STRING_ours,5,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,"PMID:12944398;PMID:10938265,10942418,10973953,10982026,11543611,11734543,11830592,12668617,12944398,14706856,15760336,16494873,16921166,17702866,19026785,19422606,19805117,21203491,21519923,21965087,22363655,22594792,23913827,24927141,26927636,27454999,30914325,32168437;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651"
SOX10,TYR,SOX10,TYR,+,False,False,DArcy_STRING|GRN|OmniPath_validation|Raghunath|STRING_ours,5,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,"PMID:17516925;PMID:16757562,17516925,17702866,21210960,22391242,30809299;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651"
CHUK,NFKB1,CHUK,NFKB1,+,False,False,DArcy_STRING|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
EDN1,EDNRB,EDN1,EDNRB,+,False,False,DArcy_STRING|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,PMID:16411896;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
EGFR,PIK3CA,EGFR,PIK3CA,+,False,False,DArcy_STRING|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,PMID:12952968;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
