gene,module,dich_pairs,mono_pairs,diff
SCARB1,hormone,8,1,7
AKR1C8,hormone,3,0,3
CGA,hormone,3,0,3
ESR1,hormone,3,0,3
GNRH1,hormone,3,0,3
STS,hormone,3,0,3
ESR2,hormone,2,0,2
HSD17B3,hormone,2,0,2
NCOA3,hormone,2,0,2
SRD5A1,hormone,2,0,2
AKR1C1,hormone,1,0,1
AKR1C4,hormone,1,0,1
CYP11B1,hormone,1,0,1
HSD17B1,hormone,1,0,1
HSD17B2,hormone,1,0,1
KISS1R,hormone,1,0,1
LDLR,hormone,3,3,0
CYP11B2,hormone,1,1,0
NCOR2,hormone,1,2,-1
HSD17B12,hormone,0,1,-1
NCOA1,hormone,0,1,-1
CYP21A2,hormone,0,2,-2
FSHR,hormone,3,6,-3
HSD17B7,hormone,1,4,-3
CYP7B1,hormone,3,7,-4
NCOA2,hormone,1,7,-6
SRD5A3,hormone,1,7,-6
LHCGR,hormone,0,7,-7
KITLG,pigmentation,8,0,8
AP3D1,pigmentation,5,0,5
TFAP2A,pigmentation,4,1,3
EDN3,pigmentation,3,0,3
SLC24A5,pigmentation,4,2,2
AP3B1,pigmentation,3,1,2
EDNRB,pigmentation,2,0,2
HPS1,pigmentation,2,0,2
POMC,pigmentation,2,0,2
SLC24A4,pigmentation,2,0,2
SOX10,pigmentation,2,0,2
GPR143,pigmentation,1,0,1
HPS3,pigmentation,1,0,1
HPS5,pigmentation,1,0,1
HRAS,pigmentation,1,0,1
MFSD12,pigmentation,1,0,1
RAB27A,pigmentation,1,0,1
PPP3CA,pigmentation,1,1,0
SPTLC2,pigmentation,1,1,0
EP300,pigmentation,1,2,-1
MYO5A,pigmentation,0,1,-1
SLC1A2,pigmentation,0,1,-1
HGF,pigmentation,4,6,-2
EGFR,pigmentation,1,4,-3
TYR,pigmentation,2,6,-4
IRF4,pigmentation,1,5,-4
DCT,pigmentation,0,4,-4
PMEL,pigmentation,3,8,-5
PAX3,pigmentation,2,7,-5
RAF1,pigmentation,0,6,-6
ASIP,pigmentation,0,7,-7
RACK1,pigmentation,1,9,-8
