species,family,dichromatism_level,dichromatic
Hylobates_muelleri,hylobatidae,partial,1
Hylobates_pileatus,hylobatidae,complete,1
Nomascus_concolor,hylobatidae,complete,1
Nomascus_gabriellae,hylobatidae,complete,1
Nomascus_leucogenys,hylobatidae,complete,1
Hylobates_agilis,hylobatidae,none,0
Hylobates_klossii,hylobatidae,none,0
Hylobates_moloch,hylobatidae,none,0
Symphalangus_syndactylus,hylobatidae,none,0
Alouatta_caraya,cebidae,complete,1
Pithecia_pithecia,cebidae,complete,1
Alouatta_belzebul,cebidae,none,0
Alouatta_palliata,cebidae,none,0
Alouatta_seniculus,cebidae,none,0
Aotus_trivirgatus,cebidae,none,0
Ateles_belzebuth,cebidae,none,0
Ateles_chamek,cebidae,none,0
Ateles_fusciceps,cebidae,none,0
Ateles_geoffroyi,cebidae,none,0
Ateles_marginatus,cebidae,none,0
Ateles_paniscus,cebidae,none,0
Brachyteles_arachnoides,cebidae,none,0
Cacajao_calvus,cebidae,none,0
Cacajao_melanocephalus,cebidae,none,0
Callicebus_brunneus,cebidae,none,0
Callicebus_caligatus,cebidae,none,0
Callicebus_cinerascens,cebidae,none,0
Callicebus_cupreus,cebidae,none,0
Callicebus_donacophilus,cebidae,none,0
Callicebus_hoffmannsi,cebidae,none,0
Callicebus_moloch,cebidae,none,0
Callicebus_torquatus,cebidae,none,0
Cebus_albifrons,cebidae,none,0
Cebus_olivaceus,cebidae,none,0
Chiropotes_chiropotes,cebidae,none,0
Lagothrix_lagotricha,cebidae,none,0
Pithecia_albicans,cebidae,none,0
Saimiri_boliviensis,cebidae,none,0
Saimiri_oerstedii,cebidae,none,0
Saimiri_sciureus,cebidae,none,0
Saimiri_ustus,cebidae,none,0
Sapajus_apella,cebidae,none,0
Cercopithecus_hamlyni,cercopithecidae,partial,1
Colobus_angolensis,cercopithecidae,partial,1
Colobus_guereza,cercopithecidae,partial,1
Erythrocebus_patas,cercopithecidae,partial,1
Macaca_arctoides,cercopithecidae,partial,1
Papio_hamadryas,cercopithecidae,complete,1
Trachypithecus_auratus,cercopithecidae,partial,1
Trachypithecus_cristatus,cercopithecidae,partial,1
Trachypithecus_francoisi,cercopithecidae,partial,1
Trachypithecus_geei,cercopithecidae,partial,1
Trachypithecus_johnii,cercopithecidae,partial,1
Trachypithecus_obscurus,cercopithecidae,partial,1
Trachypithecus_phayrei,cercopithecidae,partial,1
Trachypithecus_pileatus,cercopithecidae,partial,1
Allenopithecus_nigroviridis,cercopithecidae,none,0
Cercocebus_atys,cercopithecidae,none,0
Cercocebus_torquatus,cercopithecidae,none,0
Cercopithecus_ascanius,cercopithecidae,none,0
Cercopithecus_campbelli,cercopithecidae,none,0
Cercopithecus_cephus,cercopithecidae,none,0
Cercopithecus_diana,cercopithecidae,none,0
Cercopithecus_lhoesti,cercopithecidae,none,0
Cercopithecus_mitis,cercopithecidae,none,0
Cercopithecus_mona,cercopithecidae,none,0
Cercopithecus_neglectus,cercopithecidae,none,0
Cercopithecus_nictitans,cercopithecidae,none,0
Cercopithecus_petaurista,cercopithecidae,none,0
Cercopithecus_pogonias,cercopithecidae,none,0
Cercopithecus_preussi,cercopithecidae,none,0
Cercopithecus_solatus,cercopithecidae,none,0
Chlorocebus_aethiops,cercopithecidae,none,0
Colobus_polykomos,cercopithecidae,none,0
Lophocebus_aterrimus,cercopithecidae,none,0
Macaca_assamensis,cercopithecidae,none,0
Macaca_cyclopis,cercopithecidae,none,0
Macaca_fascicularis,cercopithecidae,none,0
Macaca_fuscata,cercopithecidae,none,0
Macaca_maura,cercopithecidae,none,0
Macaca_mulatta,cercopithecidae,none,0
Macaca_nemestrina,cercopithecidae,none,0
Macaca_nigra,cercopithecidae,none,0
Macaca_radiata,cercopithecidae,none,0
Macaca_silenus,cercopithecidae,none,0
Macaca_thibetana,cercopithecidae,none,0
Macaca_tonkeana,cercopithecidae,none,0
Mandrillus_leucophaeus,cercopithecidae,none,0
Mandrillus_sphinx,cercopithecidae,none,0
Miopithecus_talapoin,cercopithecidae,none,0
Nasalis_larvatus,cercopithecidae,none,0
Papio_anubis,cercopithecidae,none,0
Papio_cynocephalus,cercopithecidae,none,0
Papio_papio,cercopithecidae,none,0
Papio_ursinus,cercopithecidae,none,0
Presbytis_comata,cercopithecidae,none,0
Presbytis_melalophos,cercopithecidae,none,0
Presbytis_potenziani,cercopithecidae,none,0
Pygathrix_cinerea,cercopithecidae,none,0
Pygathrix_nemaeus,cercopithecidae,none,0
Pygathrix_nigripes,cercopithecidae,none,0
Rhinopithecus_bieti,cercopithecidae,none,0
Rhinopithecus_roxellana,cercopithecidae,none,0
Semnopithecus_entellus,cercopithecidae,none,0
Simias_concolor,cercopithecidae,none,0
Theropithecus_gelada,cercopithecidae,none,0
Trachypithecus_vetulus,cercopithecidae,none,0
Eulemur_flavifrons,lemuridae,complete,1
Eulemur_macaco,lemuridae,complete,1
Eulemur_mongoz,lemuridae,partial,1
Eulemur_coronatus,lemuridae,none,0
Eulemur_fulvus,lemuridae,none,0
Eulemur_rubriventer,lemuridae,none,0
Hapalemur_griseus,lemuridae,none,0
Lemur_catta,lemuridae,none,0
Prolemur_simus,lemuridae,none,0
Varecia_variegata,lemuridae,none,0
