stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000199936	9606.ENSP00000405330	HSD17B2	ESR1	9606	0.514	0	0	0	0	0.045	0	0.512
9606.ENSP00000199936	9606.ENSP00000370254	HSD17B2	AKR1C1	9606	0.515	0	0	0	0.1	0	0	0.483
9606.ENSP00000199936	9606.ENSP00000343925	HSD17B2	ESR2	9606	0.574	0	0	0	0	0.045	0	0.572
9606.ENSP00000199936	9606.ENSP00000217961	HSD17B2	STS	9606	0.65	0	0	0	0.088	0	0	0.632
9606.ENSP00000199936	9606.ENSP00000325822	HSD17B2	CYP11B2	9606	0.927	0	0	0	0.056	0.045	0.9	0.289
9606.ENSP00000199936	9606.ENSP00000292427	HSD17B2	CYP11B1	9606	0.938	0	0	0	0.056	0.045	0.9	0.399
9606.ENSP00000199936	9606.ENSP00000264228	HSD17B2	SRD5A3	9606	0.953	0	0	0	0.042	0	0.9	0.557
9606.ENSP00000199936	9606.ENSP00000254521	HSD17B2	HSD17B7	9606	0.961	0	0	0	0	0	0.9	0.629
9606.ENSP00000199936	9606.ENSP00000274192	HSD17B2	SRD5A1	9606	0.977	0	0	0	0.087	0	0.9	0.775
9606.ENSP00000199936	9606.ENSP00000364412	HSD17B2	HSD17B3	9606	0.998	0	0	0.289	0	0	0.9	0.979
9606.ENSP00000199936	9606.ENSP00000225929	HSD17B2	HSD17B1	9606	0.999	0	0	0.418	0.103	0	0.9	0.986
9606.ENSP00000217961	9606.ENSP00000343925	STS	ESR2	9606	0.478	0	0	0	0.055	0	0	0.47
9606.ENSP00000217961	9606.ENSP00000274192	STS	SRD5A1	9606	0.485	0	0	0	0.111	0	0	0.445
9606.ENSP00000217961	9606.ENSP00000364412	STS	HSD17B3	9606	0.497	0	0	0	0.1	0	0	0.464
9606.ENSP00000217961	9606.ENSP00000405330	STS	ESR1	9606	0.534	0	0	0	0.055	0	0	0.528
9606.ENSP00000217961	9606.ENSP00000225929	STS	HSD17B1	9606	0.797	0	0	0	0.217	0.098	0	0.735
9606.ENSP00000217961	9606.ENSP00000310721	STS	CYP7B1	9606	0.9	0	0	0	0	0	0.9	0
9606.ENSP00000225929	9606.ENSP00000276414	HSD17B1	GNRH1	9606	0.404	0	0	0	0	0	0	0.404
9606.ENSP00000225929	9606.ENSP00000370254	HSD17B1	AKR1C1	9606	0.548	0	0	0	0.104	0.045	0.098	0.483
9606.ENSP00000225929	9606.ENSP00000369814	HSD17B1	AKR1C4	9606	0.58	0	0	0	0.104	0.045	0.098	0.52
9606.ENSP00000225929	9606.ENSP00000325822	HSD17B1	CYP11B2	9606	0.588	0	0	0	0.091	0	0.155	0.506
9606.ENSP00000225929	9606.ENSP00000384708	HSD17B1	FSHR	9606	0.595	0	0	0	0	0	0	0.595
9606.ENSP00000225929	9606.ENSP00000405330	HSD17B1	ESR1	9606	0.611	0	0	0	0	0	0	0.611
9606.ENSP00000225929	9606.ENSP00000292427	HSD17B1	CYP11B1	9606	0.612	0	0	0	0.097	0	0.155	0.533
9606.ENSP00000225929	9606.ENSP00000343925	HSD17B1	ESR2	9606	0.613	0	0	0	0	0	0	0.613
9606.ENSP00000225929	9606.ENSP00000274192	HSD17B1	SRD5A1	9606	0.638	0	0	0	0.086	0	0	0.62
9606.ENSP00000225929	9606.ENSP00000364412	HSD17B1	HSD17B3	9606	0.984	0.042	0	0.245	0.055	0.059	0.186	0.975
9606.ENSP00000225929	9606.ENSP00000254521	HSD17B1	HSD17B7	9606	0.991	0	0	0	0	0	0.9	0.918
9606.ENSP00000234371	9606.ENSP00000380093	KISS1R	SOX10	9606	0.4	0	0	0	0	0	0	0.4
9606.ENSP00000234371	9606.ENSP00000384708	KISS1R	FSHR	9606	0.439	0	0	0	0	0	0	0.439
9606.ENSP00000234371	9606.ENSP00000343925	KISS1R	ESR2	9606	0.47	0	0	0	0	0	0	0.47
9606.ENSP00000234371	9606.ENSP00000405330	KISS1R	ESR1	9606	0.56	0	0	0	0	0	0	0.56
9606.ENSP00000234371	9606.ENSP00000384092	KISS1R	POMC	9606	0.666	0	0	0	0	0.094	0	0.647
9606.ENSP00000234371	9606.ENSP00000276414	KISS1R	GNRH1	9606	0.969	0	0	0	0	0	0	0.969
9606.ENSP00000254521	9606.ENSP00000274192	HSD17B7	SRD5A1	9606	0.418	0	0	0	0.049	0	0	0.413
9606.ENSP00000254521	9606.ENSP00000364412	HSD17B7	HSD17B3	9606	0.602	0	0	0	0	0	0	0.602
9606.ENSP00000254521	9606.ENSP00000310721	HSD17B7	CYP7B1	9606	0.708	0	0	0	0.133	0.528	0	0.344
9606.ENSP00000261693	9606.ENSP00000310721	SCARB1	CYP7B1	9606	0.411	0	0	0	0.053	0	0	0.404
9606.ENSP00000261693	9606.ENSP00000274192	SCARB1	SRD5A1	9606	0.426	0	0	0	0.074	0	0	0.405
9606.ENSP00000261693	9606.ENSP00000366416	SCARB1	EDNRB	9606	0.456	0	0	0	0.059	0	0	0.446
9606.ENSP00000261693	9606.ENSP00000364412	SCARB1	HSD17B3	9606	0.542	0	0	0	0.067	0	0	0.529
9606.ENSP00000261693	9606.ENSP00000405330	SCARB1	ESR1	9606	0.613	0	0	0	0	0	0	0.613
9606.ENSP00000263321	9606.ENSP00000347583	TYR	MFSD12	9606	0.402	0	0	0	0.085	0	0	0.373
9606.ENSP00000263321	9606.ENSP00000370343	TYR	IRF4	9606	0.515	0	0	0	0.087	0.091	0	0.463
9606.ENSP00000263321	9606.ENSP00000337128	TYR	EDN3	9606	0.57	0	0	0	0	0	0	0.57
9606.ENSP00000263321	9606.ENSP00000366416	TYR	EDNRB	9606	0.691	0	0	0	0.11	0.049	0	0.664
9606.ENSP00000263321	9606.ENSP00000495951	TYR	KITLG	9606	0.697	0	0	0	0.049	0	0	0.694
9606.ENSP00000263321	9606.ENSP00000431840	TYR	SLC24A4	9606	0.739	0	0	0	0.067	0	0	0.732
