species,chosen_accession,assembly_level,annotated,dichromatism,family,pipeline_path
Hylobates muelleri,GCA_963573745.1,Scaffold,False,dichromatic,hylobatidae,miniprot_extract_cds
Hylobates pileatus,GCA_021498465.1,Chromosome,False,dichromatic,hylobatidae,miniprot_extract_cds
Nomascus concolor,GCA_963574845.1,Scaffold,False,dichromatic,hylobatidae,miniprot_extract_cds
Nomascus gabriellae,GCA_963574555.1,Scaffold,False,dichromatic,hylobatidae,miniprot_extract_cds
Nomascus leucogenys,GCF_006542625.1,Chromosome,True,dichromatic,hylobatidae,direct_download_cds
Hylobates agilis,GCA_963574095.1,Scaffold,False,monochromatic,hylobatidae,miniprot_extract_cds
Hylobates klossii,GCA_963574335.1,Scaffold,False,monochromatic,hylobatidae,miniprot_extract_cds
Hylobates moloch,GCF_009828535.3,Scaffold,True,monochromatic,hylobatidae,direct_download_cds
Symphalangus syndactylus,GCF_028878055.3,Chromosome,True,monochromatic,hylobatidae,direct_download_cds
Alouatta caraya,GCA_963575295.1,Scaffold,False,dichromatic,cebidae,miniprot_extract_cds
Pithecia pithecia,GCA_028551515.1,Chromosome,False,dichromatic,cebidae,miniprot_extract_cds
Alouatta belzebul,GCA_963574145.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Alouatta palliata,GCA_004027835.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Alouatta seniculus,GCA_963574235.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Aotus trivirgatus,GCA_963574785.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Ateles belzebuth,GCA_963573605.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Ateles chamek,GCA_963574935.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Ateles fusciceps,GCA_036589455.2,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Ateles geoffroyi,GCA_004024785.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Ateles marginatus,GCA_963573555.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Ateles paniscus,GCA_963573985.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Brachyteles arachnoides,GCA_047496155.1,Contig,False,monochromatic,cebidae,miniprot_extract_cds
Cacajao calvus,GCA_963573955.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Cacajao melanocephalus,GCA_963573385.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Callicebus brunneus,GCA_963573885.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Callicebus caligatus,GCA_963575255.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Callicebus cinerascens,GCA_963573415.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Callicebus cupreus,GCA_040437455.1,Chromosome,True,monochromatic,cebidae,direct_download_cds
Callicebus donacophilus,GCA_004027715.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Callicebus hoffmannsi,GCA_963575245.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Callicebus moloch,GCA_963574105.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Callicebus torquatus,GCA_963574645.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Cebus albifrons,GCA_004027755.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Cebus olivaceus,GCA_963574745.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Chiropotes chiropotes,GCA_963573965.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Lagothrix lagotricha,GCA_963574225.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Pithecia albicans,GCA_963573695.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Saimiri boliviensis,GCF_048565385.1,Chromosome,True,monochromatic,cebidae,direct_download_cds
Saimiri oerstedii,GCA_963574195.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Saimiri sciureus,GCA_963573345.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Saimiri ustus,GCA_963574015.1,Scaffold,False,monochromatic,cebidae,miniprot_extract_cds
Sapajus apella,GCF_009761245.1,Scaffold,True,monochromatic,cebidae,direct_download_cds
Cercopithecus hamlyni,GCA_963574815.1,Scaffold,False,dichromatic,cercopithecidae,miniprot_extract_cds
Colobus angolensis,GCF_000951035.1,Scaffold,True,dichromatic,cercopithecidae,direct_download_cds
Colobus guereza,GCA_030247045.1,Chromosome,False,dichromatic,cercopithecidae,miniprot_extract_cds
Erythrocebus patas,GCA_004027335.1,Scaffold,False,dichromatic,cercopithecidae,miniprot_extract_cds
Macaca arctoides,GCA_021188215.1,Scaffold,False,dichromatic,cercopithecidae,miniprot_extract_cds
Papio hamadryas,GCA_030247225.1,Scaffold,False,dichromatic,cercopithecidae,miniprot_extract_cds
Trachypithecus auratus,GCA_963574155.1,Scaffold,False,dichromatic,cercopithecidae,miniprot_extract_cds
Trachypithecus cristatus,GCA_963574045.1,Scaffold,False,dichromatic,cercopithecidae,miniprot_extract_cds
Trachypithecus francoisi,GCF_009764315.1,Scaffold,True,dichromatic,cercopithecidae,direct_download_cds
Trachypithecus geei,GCA_963573545.1,Scaffold,False,dichromatic,cercopithecidae,miniprot_extract_cds
Trachypithecus johnii,GCA_963574185.1,Scaffold,False,dichromatic,cercopithecidae,miniprot_extract_cds
Trachypithecus obscurus,GCA_963574075.1,Scaffold,False,dichromatic,cercopithecidae,miniprot_extract_cds
Trachypithecus phayrei,GCA_963574125.1,Scaffold,False,dichromatic,cercopithecidae,miniprot_extract_cds
Trachypithecus pileatus,GCA_963573805.1,Scaffold,False,dichromatic,cercopithecidae,miniprot_extract_cds
Allenopithecus nigroviridis,GCA_963574245.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercocebus atys,GCF_000955945.1,Scaffold,True,monochromatic,cercopithecidae,direct_download_cds
Cercocebus torquatus,GCA_963574135.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus ascanius,GCA_963574115.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus campbelli,GCA_963574615.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus cephus,GCA_963575225.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus diana,GCA_963574765.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus lhoesti,GCA_963574325.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus mitis,GCA_028627265.1,Chromosome,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus mona,GCA_014849445.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus neglectus,GCA_963574685.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus nictitans,GCA_963575045.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus petaurista,GCA_963575065.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus pogonias,GCA_963575055.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus preussi,GCA_963574925.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Cercopithecus solatus,GCA_963575195.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Chlorocebus aethiops,GCA_030247385.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Colobus polykomos,GCA_963574725.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Lophocebus aterrimus,GCA_023783235.1,Contig,False,monochromatic,cercopithecidae,miniprot_extract_cds
Macaca assamensis,GCA_030247305.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Macaca cyclopis,GCA_026956025.1,Chromosome,False,monochromatic,cercopithecidae,miniprot_extract_cds
Macaca fascicularis,GCF_037993035.2,Complete Genome,True,monochromatic,cercopithecidae,direct_download_cds
Macaca fuscata,GCA_963573635.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Macaca maura,GCA_963574855.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Macaca mulatta,GCF_049350105.2,Complete Genome,True,monochromatic,cercopithecidae,direct_download_cds
Macaca nemestrina,GCF_043159975.1,Chromosome,True,monochromatic,cercopithecidae,direct_download_cds
Macaca nigra,GCA_928851695.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Macaca radiata,GCA_963573735.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Macaca silenus,GCA_030247295.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Macaca thibetana,GCF_024542745.1,Chromosome,True,monochromatic,cercopithecidae,direct_download_cds
Macaca tonkeana,GCA_963573625.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Mandrillus leucophaeus,GCF_000951045.1,Scaffold,True,monochromatic,cercopithecidae,direct_download_cds
Mandrillus sphinx,GCA_004802615.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Miopithecus talapoin,GCA_028551445.1,Chromosome,False,monochromatic,cercopithecidae,miniprot_extract_cds
Nasalis larvatus,GCA_047834645.1,Chromosome,True,monochromatic,cercopithecidae,direct_download_cds
Papio anubis,GCF_008728515.1,Chromosome,True,monochromatic,cercopithecidae,direct_download_cds
Papio cynocephalus,GCA_963574715.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Papio papio,GCA_028645565.1,Chromosome,False,monochromatic,cercopithecidae,miniprot_extract_cds
Papio ursinus,GCA_963574515.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Presbytis comata,GCA_963573905.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Presbytis melalophos,GCA_963575215.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Presbytis potenziani,GCA_047496705.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Pygathrix cinerea,GCA_963574085.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Pygathrix nemaeus,GCA_004024825.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Pygathrix nigripes,GCA_047655245.1,Chromosome,True,monochromatic,cercopithecidae,direct_download_cds
Rhinopithecus bieti,GCF_001698545.2,Scaffold,True,monochromatic,cercopithecidae,direct_download_cds
Rhinopithecus roxellana,GCF_007565055.1,Chromosome,True,monochromatic,cercopithecidae,direct_download_cds
Semnopithecus entellus,GCA_047655295.1,Contig,True,monochromatic,cercopithecidae,direct_download_cds
Simias concolor,GCA_047496735.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Theropithecus gelada,GCF_003255815.1,Chromosome,True,monochromatic,cercopithecidae,direct_download_cds
