species,dichromatism,family
Hylobates_muelleri,dichromatic,hylobatidae
Hylobates_pileatus,dichromatic,hylobatidae
Nomascus_concolor,dichromatic,hylobatidae
Nomascus_gabriellae,dichromatic,hylobatidae
Nomascus_leucogenys,dichromatic,hylobatidae
Hylobates_agilis,monochromatic,hylobatidae
Hylobates_klossii,monochromatic,hylobatidae
Hylobates_moloch,monochromatic,hylobatidae
Symphalangus_syndactylus,monochromatic,hylobatidae
Alouatta_caraya,dichromatic,cebidae
Pithecia_pithecia,dichromatic,cebidae
Alouatta_belzebul,monochromatic,cebidae
Alouatta_palliata,monochromatic,cebidae
Alouatta_seniculus,monochromatic,cebidae
Aotus_trivirgatus,monochromatic,cebidae
Ateles_belzebuth,monochromatic,cebidae
Ateles_chamek,monochromatic,cebidae
Ateles_fusciceps,monochromatic,cebidae
Ateles_geoffroyi,monochromatic,cebidae
Ateles_marginatus,monochromatic,cebidae
Ateles_paniscus,monochromatic,cebidae
Brachyteles_arachnoides,monochromatic,cebidae
Cacajao_calvus,monochromatic,cebidae
Cacajao_melanocephalus,monochromatic,cebidae
Callicebus_brunneus,monochromatic,cebidae
Callicebus_caligatus,monochromatic,cebidae
Callicebus_cinerascens,monochromatic,cebidae
Callicebus_cupreus,monochromatic,cebidae
Callicebus_donacophilus,monochromatic,cebidae
Callicebus_hoffmannsi,monochromatic,cebidae
Callicebus_moloch,monochromatic,cebidae
Callicebus_torquatus,monochromatic,cebidae
Cebus_albifrons,monochromatic,cebidae
Cebus_olivaceus,monochromatic,cebidae
Chiropotes_chiropotes,monochromatic,cebidae
Lagothrix_lagotricha,monochromatic,cebidae
Pithecia_albicans,monochromatic,cebidae
Saimiri_boliviensis,monochromatic,cebidae
Saimiri_oerstedii,monochromatic,cebidae
Saimiri_sciureus,monochromatic,cebidae
Saimiri_ustus,monochromatic,cebidae
Sapajus_apella,monochromatic,cebidae
Cercopithecus_hamlyni,dichromatic,cercopithecidae
Colobus_angolensis,dichromatic,cercopithecidae
Colobus_guereza,dichromatic,cercopithecidae
Erythrocebus_patas,dichromatic,cercopithecidae
Macaca_arctoides,dichromatic,cercopithecidae
Papio_hamadryas,dichromatic,cercopithecidae
Trachypithecus_auratus,dichromatic,cercopithecidae
Trachypithecus_cristatus,dichromatic,cercopithecidae
Trachypithecus_francoisi,dichromatic,cercopithecidae
Trachypithecus_geei,dichromatic,cercopithecidae
Trachypithecus_johnii,dichromatic,cercopithecidae
Trachypithecus_obscurus,dichromatic,cercopithecidae
Trachypithecus_phayrei,dichromatic,cercopithecidae
Trachypithecus_pileatus,dichromatic,cercopithecidae
Allenopithecus_nigroviridis,monochromatic,cercopithecidae
Cercocebus_atys,monochromatic,cercopithecidae
Cercocebus_torquatus,monochromatic,cercopithecidae
Cercopithecus_ascanius,monochromatic,cercopithecidae
Cercopithecus_campbelli,monochromatic,cercopithecidae
Cercopithecus_cephus,monochromatic,cercopithecidae
Cercopithecus_diana,monochromatic,cercopithecidae
Cercopithecus_lhoesti,monochromatic,cercopithecidae
Cercopithecus_mitis,monochromatic,cercopithecidae
Cercopithecus_mona,monochromatic,cercopithecidae
Cercopithecus_neglectus,monochromatic,cercopithecidae
Cercopithecus_nictitans,monochromatic,cercopithecidae
Cercopithecus_petaurista,monochromatic,cercopithecidae
Cercopithecus_pogonias,monochromatic,cercopithecidae
Cercopithecus_preussi,monochromatic,cercopithecidae
Cercopithecus_solatus,monochromatic,cercopithecidae
Chlorocebus_aethiops,monochromatic,cercopithecidae
Colobus_polykomos,monochromatic,cercopithecidae
Lophocebus_aterrimus,monochromatic,cercopithecidae
Macaca_assamensis,monochromatic,cercopithecidae
Macaca_cyclopis,monochromatic,cercopithecidae
Macaca_fascicularis,monochromatic,cercopithecidae
Macaca_fuscata,monochromatic,cercopithecidae
Macaca_maura,monochromatic,cercopithecidae
Macaca_mulatta,monochromatic,cercopithecidae
Macaca_nemestrina,monochromatic,cercopithecidae
Macaca_nigra,monochromatic,cercopithecidae
Macaca_radiata,monochromatic,cercopithecidae
Macaca_silenus,monochromatic,cercopithecidae
Macaca_thibetana,monochromatic,cercopithecidae
Macaca_tonkeana,monochromatic,cercopithecidae
Mandrillus_leucophaeus,monochromatic,cercopithecidae
Mandrillus_sphinx,monochromatic,cercopithecidae
Miopithecus_talapoin,monochromatic,cercopithecidae
Nasalis_larvatus,monochromatic,cercopithecidae
Papio_anubis,monochromatic,cercopithecidae
Papio_cynocephalus,monochromatic,cercopithecidae
Papio_papio,monochromatic,cercopithecidae
Papio_ursinus,monochromatic,cercopithecidae
Presbytis_comata,monochromatic,cercopithecidae
Presbytis_melalophos,monochromatic,cercopithecidae
Presbytis_potenziani,monochromatic,cercopithecidae
Pygathrix_cinerea,monochromatic,cercopithecidae
