gene,gene_id_sysgo,associations_to_disease,cluster_string_no_expansion,process_1,process_2,process_3,main_location,in_a375,expr_a375_lfq,in_fm55,expr_fm55_lfq,citation,citation_source
ABCB6,ABCB6,Mixed hypo- & hyperpigmentation disorder,,3_1_10_other transporters,Metabolism - Other,Metabolism,01_B_3_Golgi apparatus,,,,,PMC9854651,pmcid
ABCC9,ABCC9,Hyperpigmentation disorder,,3_3_Neuronal System_synapses_channels,Neuronal System_synapses_channels,Neuronal System_synapses_channels,02_B_Cell membrane,,,,,PMC9854651,pmcid
ACD,ACD,Hyperpigmentation disorder,3.0,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
ADAM10,ADAM10,Hyperpigmentation disorder,31.0,2_1_1_Degradation of the extracellular matrix,ECM organisation,ECM organisation,04_EXTRACELLULAR,,,,,PMC9854651,pmcid
ADAR,ADAR,Hyper & mixed,8.0,1_2_Metabolism of nucleotides,Metabolism of nucleotides & phosphates,Metabolism,03_A_Nucleus,ADAR,36889.0,ADAR,47524.333333333336,PMC9854651,pmcid
ADO,ADO,Hypopigmentation disorder,,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,01_A_Cytosol,,,,,PMC9854651,pmcid
ADPRH,ADPRH,Hypopigmentation disorder,,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,03_A_Nucleus,,,,,PMC9854651,pmcid
ALG11,ALG11,Hyperpigmentation disorder,,1_8_15_Asparagine N-linked glycosylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_B_2_Endoplasmic reticulum,,,,,PMC9854651,pmcid
AP3B1,AP3B1,Hypopigmentation disorder,14.0,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_B_3_Golgi apparatus,AP3B1,175235.0,AP3B1,164446.66666666666,PMC9854651,pmcid
AP3D1,AP3D1,Hypopigmentation disorder,14.0,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_B_3_Golgi apparatus,AP3D1,194830.0,AP3D1,209405.0,PMC9854651,pmcid
APC2,APC2,Hyperpigmentation disorder,,3_2_11_Signaling by Wnt,Signaling - Cell fates,Signaling,01_D_3f_Cytokinetic bridge,,,,,PMC9854651,pmcid
ARID5B,ARID5B,Hypopigmentation disorder,,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,,,,,PMC9854651,pmcid
ATM,ATM,Mixed hypo- & hyperpigmentation disorder,14.0,1_26_28_serine/threonine kinase,Protein kinases,Signaling,03_C_Nucleoplasm,ATM,1103831.6666666667,ATM,973830.0,PMC9854651,pmcid
ATP7A,ATP7A,Hypopigmentation disorder,14.0,1_25_2_Detoxification of Reactive Oxygen Species,"Signaling - ROS/hypoxia, heat stress",Signaling,01_B_3_Golgi apparatus,,,,,PMC9854651,pmcid
ATP7B,ATP7B,Hyperpigmentation disorder,27.0,1_25_2_Detoxification of Reactive Oxygen Species,"Signaling - ROS/hypoxia, heat stress",Signaling,01_B_3_Golgi apparatus,,,,,PMC9854651,pmcid
ATXN2,ATXN2,Hypopigmentation disorder,24.0,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,ATXN2,137920.0,ATXN2,152981.66666666666,PMC9854651,pmcid
BACH2,BACH2,Hypopigmentation disorder,,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
BCL2L11,BCL2L11,Hypopigmentation disorder,2.0,4_2_Programmed Cell Death,Cell death,Signaling,01_B_1_Mitochondria,,,,,PMC9854651,pmcid
BCL2L12,BCL2L12,Hypopigmentation disorder,25.0,4_2_Programmed Cell Death,Cell death,Signaling,01_A_Cytosol,,,,,PMC9854651,pmcid
BIVM,BIVM,Mixed hypo- & hyperpigmentation disorder,,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
