gene,a375_lfq_average,a375_log_lfq,fm55_lfq,fm55_log_lfq,citation,citation_source
AAAS,208087.66666666666,5.388548178696697,228344.83333333334,4.743092777785627,PMC9854651,pmcid
AACS,222061.66666666666,6.258569443851991,169361.66666666666,5.252598202486015,PMC9854651,pmcid
AAGAB,84844.0,5.3012072963809915,89969.33333333333,6.392808296544958,PMC9854651,pmcid
AAK1,87088.0,6.121390207522365,86948.0,5.3012072963809915,PMC9854651,pmcid
AAMP,341346.6666666667,5.897129291539122,297925.0,6.183606706536682,PMC9854651,pmcid
AAR2,129548.33333333333,5.3257413721537965,129114.66666666667,5.945067095749867,PMC9854651,pmcid
AARS,838110.0,4.338516254788366,645115.0,5.137048013729519,PMC9854651,pmcid
AARS2,62809.333333333336,5.365282020572183,79016.66666666667,4.29939833006815,PMC9854651,pmcid
AARSD1,217763.33333333334,3.873913209861144,167756.66666666666,5.544330609721612,PMC9854651,pmcid
AASDHPPT,187508.33333333334,4.1988036595113,164593.33333333334,4.189068541056051,PMC9854651,pmcid
AASS,87280.0,5.292699003043929,72391.16666666667,4.186881922981598,PMC9854651,pmcid
ABAT,,,8266.616666666667,4.90563130283167,PMC9854651,pmcid
ABCC11,97476.66666666667,4.353379840591976,102203.66666666667,4.2172461138430934,PMC9854651,pmcid
ABCE1,688335.0,4.697670970625982,664798.3333333334,5.031047412131197,PMC9854651,pmcid
ABCF1,317946.6666666667,4.275814475968299,315756.6666666667,4.922356903707205,PMC9854651,pmcid
ABCF2,145073.33333333334,4.980663028278289,155663.33333333334,5.179350682348487,PMC9854651,pmcid
ABCF3,95546.5,5.083655479872112,71054.83333333333,4.5959901253712445,PMC9854651,pmcid
ABHD10,201288.33333333334,5.13364693633032,228550.0,5.4575539083218105,PMC9854651,pmcid
ABHD14B,493670.0,4.607593332023856,440640.0,5.749818736119083,PMC9854651,pmcid
ABHD17C,9763.333333333334,5.361110573521164,24982.0,3.6960212905707492,PMC9854651,pmcid
ABI1,168921.66666666666,5.866806016063296,144616.66666666666,5.428431784454148,PMC9854651,pmcid
ABI2,36635.333333333336,3.8941129012568916,53906.5,4.324889220203748,PMC9854651,pmcid
ABL2,27464.0,5.432953264952084,22114.833333333332,4.919039719280844,PMC9854651,pmcid
ABR,139695.0,4.2072707325232725,148628.33333333334,5.7358050874016495,PMC9854651,pmcid
ABRACL,174137.0,5.013144214380334,138319.66666666666,5.399835182107659,PMC9854651,pmcid
ACAA1,79468.66666666667,5.72123887121091,73115.0,4.549944439654124,PMC9854651,pmcid
ACAA2,230168.33333333334,5.3858445042581,227416.66666666666,4.754126544228177,PMC9854651,pmcid
ACACA,232768.33333333334,4.8868693926742,196413.33333333334,5.4191403373030465,PMC9854651,pmcid
ACAD10,40395.833333333336,4.807755952445021,20945.5,4.132569179523751,PMC9854651,pmcid
ACAD8,42697.666666666664,5.610669033393123,50780.166666666664,4.476961984208253,PMC9854651,pmcid
ACAD9,35773.666666666664,4.634443512781179,32108.666666666668,4.278818359336687,PMC9854651,pmcid
ACADM,235028.33333333334,4.765949054644191,276570.0,5.926950924356693,PMC9854651,pmcid
ACADSB,118419.5,4.227486489648001,130508.33333333333,4.815455987136225,PMC9854651,pmcid
ACADVL,789608.3333333334,6.017300515241937,792160.0,4.821857290663161,PMC9854651,pmcid
ACAP2,53495.5,4.920459009166456,47873.666666666664,4.63891419168095,PMC9854651,pmcid
ACAT1,504453.3333333333,4.947533379238304,462516.6666666667,5.831543451145611,PMC9854651,pmcid
ACAT2,292930.0,4.09024276474383,175492.66666666666,4.284242686869551,PMC9854651,pmcid
ACBD3,139151.66666666666,5.748565285687517,133431.66666666666,4.514237747918288,PMC9854651,pmcid
ACIN1,1445.9833333333333,4.206352209862062,580.5666666666666,5.416537884129887,PMC9854651,pmcid
ACLY,1055161.6666666667,4.638489256954637,962575.0,4.250517585610485,PMC9854651,pmcid
ACO1,316770.0,5.46214083941272,229920.0,5.809988186644028,PMC9854651,pmcid
ACO2,187328.33333333334,4.20784074060615,179483.33333333334,5.305419446578969,PMC9854651,pmcid
ACOT2;ACOT1,35764.0,5.748091075452744,39134.5,5.1321582569007145,PMC9854651,pmcid
ACOT7,696290.3333333333,5.242052091991643,686976.7416666666,5.311890629237297,PMC9854651,pmcid
ACOT8,43007.5,5.369113767649104,51106.0,4.905827349842315,PMC9854651,pmcid
ACOT9,171575.0,5.19736327300672,149020.0,5.831687447460572,PMC9854651,pmcid
ACOX1,94783.5,4.88250746182041,84826.66666666667,3.6493510876496416,PMC9854651,pmcid
ACOX3,59909.0,4.332724528709193,59588.5,4.414477523903398,PMC9854651,pmcid
ACP1,390478.3333333333,4.678551761679518,348660.0,4.43187817876684,PMC9854651,pmcid
ACP2,38466.5,4.6385724471630905,62816.0,4.0646339177321655,PMC9854651,pmcid
ACP6,95281.16666666667,5.080954608767231,119206.0,4.916338121243757,PMC9854651,pmcid
ACSF2,15968.166666666666,6.116497053409874,16157.266666666668,6.102204949035593,PMC9854651,pmcid
ACSF3,75150.16666666667,5.042711331269501,72149.5,5.047018369650785,PMC9854651,pmcid
ACSL1,23770.5,4.942148658948151,26498.0,4.9503096714519295,PMC9854651,pmcid
ACSL3,485891.6666666667,6.172413177790781,459271.6666666667,6.245516780431816,PMC9854651,pmcid
ACSL4,180066.66666666666,6.104635037591182,147336.66666666666,6.218027568638889,PMC9854651,pmcid
ACSS2,60097.833333333336,6.667261447514613,92972.16666666667,6.6704607818371855,PMC9854651,pmcid
ACSS3,13135.5,3.581247821797243,19484.649999999998,5.35859118944769,PMC9854651,pmcid
ACTB,3655600.0,5.318246340387789,2371346.1666666665,5.228815118869262,PMC9854651,pmcid
ACTC1;ACTG2;ACTA2;ACTA1,12001750.0,5.346473595054636,9568750.0,4.954094502398415,PMC9854651,pmcid
ACTG1,19551500.0,4.928621135292156,18274333.333333332,4.939259596701543,PMC9854651,pmcid
ACTL6A,193513.33333333334,4.939958316972999,146513.33333333334,5.474106948016971,PMC9854651,pmcid
ACTN1,790065.0,5.533195666217017,851670.0,5.110975578367195,PMC9854651,pmcid
ACTN2,15508.333333333334,5.112431830067559,23064.833333333332,5.809637140082691,PMC9854651,pmcid
ACTN4,3951783.3333333335,5.9233010225179425,3749966.6666666665,4.897718704935313,PMC9854651,pmcid
ACTR10,56072.833333333336,4.798024183768805,32436.666666666668,5.224679788090005,PMC9854651,pmcid
ACTR1A,607916.6666666666,5.337984755715584,531053.3333333334,5.216412240626065,PMC9854651,pmcid
ACTR1B,368531.6666666667,5.273020573611791,305756.6666666667,4.859685575838459,PMC9854651,pmcid
ACTR2,735565.0,4.940914737580285,644375.0,3.9173277993174693,PMC9854651,pmcid
ACTR3,707363.3333333334,4.988900669537873,633006.6666666666,5.009466476860682,PMC9854651,pmcid
ACY1,240265.0,5.8377998528319734,256530.0,5.8226899219898876,PMC9854651,pmcid
ACYP1,79232.66666666667,5.502354276226814,83770.0,5.4993525287158285,PMC9854651,pmcid
ADAR,36889.0,5.161587589897989,47524.333333333336,5.192186326079174,PMC9854651,pmcid
ADCK3,22212.833333333332,4.980214782876885,25729.833333333332,4.851593625100948,PMC9854651,pmcid
ADCK4,21867.016666666666,5.303818603921006,16127.533333333333,5.3589812256253495,PMC9854651,pmcid
