source,target,sign,via,via_types,hops
ADCY4,PRKACA,+,cAMP_melan,small_molecule,2
ADCY4,PRKACA,+,cAMP_kerat,small_molecule,2
ADCY4,RAP1A,+,cAMP_melan,small_molecule,2
AKT1,BAD,-,,,1
AKT1,CASP8,-,,,1
AKT1,CREB1,+,,,1
AKT1,CTNNB1,+,,,1
AKT1,EZR,+,,,1
AKT1,FOS,+,,,1
AKT1,GSK3B,-,,,1
AKT1,MSN,+,,,1
AKT1,RDX,+,,,1
BAD,CYCS,+,,,1
BAK1,CYCS,+,,,1
BAX,CYCS,+,,,1
BBC3,BAX,+,,,1
BCL2,BAX,-,,,1
BID,CYCS,+,,,1
CASP3,CDKN1A,-,,,1
CASP3,DFFA,+,DFFB:DFFA_kerat,complex,2
CASP3,DFFB,+,DFFB:DFFA_kerat,complex,2
CASP3,MAP3K1,+,,,1
CASP3,PRKCD,+,,,1
CASP8,BID,+,,,1
CASP8,CASP3,+,,,1
CASP9,CASP3,+,,,1
CASP9,CASP8,+,,,1
CDC42,MAP3K1,+,,,1
CDC42,RAC1,+,,,1
CFLAR,MAP2K7,-,,,1
CHUK,NFKB1,+,,,1
CREB1,BCL2,+,,,1
CREB1,CFLAR,+,,,1
CREB1,DUSP1,+,,,1
CREB1,MITF,+,,,1
CREB1,PTGS2,+,,,1
CSF2,CSF2RA,+,,,1
CSF2RA,STAT3,+,CSF2RA:JAK1_melan,complex,2
CTNNB1,MITF,+,CTNNB1:LEF1_melan,complex,2
CYCS,CASP9,+,APAF1:CYCS_kerat,complex,2
CYCS,TFAP2A,+,,,1
DUSP1,MAPK1,-,,,1
DUSP1,MAPK3,-,,,1
DUSP1,MAPK8,-,,,1
EDN1,EDNRB,+,,,1
EDNRB,ADCY4,+,,,1
EDNRB,PLC,+,,,1
EGFR,HRAS,+,SOS1:GRB2:SHC1_kerat,complex,2
EGFR,PIK3CA,+,,,1
EGFR,STAT1,+,,,1
ELK1,CDKN1A,+,,,1
F10,F2RL1,+,,,1
F2RL1,PLC,+,,,1
F2RL1,RHOA,+,,,1
F7,F2RL1,+,,,1
FAS,CASP8,+,FAS:FADD_kerat,complex,2
FASLG,FAS,+,,,1
FOS,BCL2,+,FOS_kerat:JUN_kerat,complex,2
FOS,CCND1,+,FOS_kerat:JUN_kerat,complex,2
FOS,EDN1,+,FOS_kerat:JUN_kerat,complex,2
FOS,IL1A,+,FOS_kerat:JUN_kerat,complex,2
FOS,IL6,-,FOS_kerat:JUN_kerat,complex,2
FOS,IVL,+,FOS_kerat:JUN_kerat,complex,2
FOS,MMPs,+,FOS_kerat:JUN_kerat,complex,2
FOS,NGF,+,FOS_kerat:JUN_kerat,complex,2
FOS,PTGS2,+,FOS_kerat:JUN_kerat,complex,2
FOS,TNF,+,FOS_kerat:JUN_kerat,complex,2
FZD3,AKT1,+,,,1
GAB1,AKT1,+,GAB1:PIK3CA_melan,complex,2
GSK3B,CTNNB1,-,,,1
GSK3B,NFATC1,-,,,1
GUCY1A2,PRKG1,+,cGMP_melan,small_molecule,2
GUCY1A2,Phosphodiesterase,+,cGMP_melan,small_molecule,2
HGF,MET,+,,,1
HIF1A,KITLG,+,,,1
HIF1A,PMAIP1,+,,,1
HRAS,RAF1,+,,,1
IL1A,IL1R1,+,,,1
IL1R1,IRAK1,+,IL1R1:MYD88:IRAK1:IRAK4_kerat,complex,2
IL6,IL6R,+,,,1
IL6R,JAK1,+,,,1
IRAK1,CHUK,0,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,complex>complex,3
IRAK1,MAP2K3,0,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,complex>complex,3
IRAK1,MAP2K4,0,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,complex>complex,3
IRAK1,MAP2K6,0,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,complex>complex,3
IRAK1,MAP3K1,+,IRAK1_Active:TRAF6_kerat>IRAK1_Active:TRAF6:ECSIT_kerat,complex>complex,3
JAK1,STAT3,+,,,1
JUN,BCL2,+,FOS_kerat:JUN_kerat,complex,2
JUN,CCND1,+,FOS_kerat:JUN_kerat,complex,2
JUN,EDN1,+,FOS_kerat:JUN_kerat,complex,2
JUN,IL1A,+,FOS_kerat:JUN_kerat,complex,2
JUN,IL6,-,FOS_kerat:JUN_kerat,complex,2
JUN,IVL,+,FOS_kerat:JUN_kerat,complex,2
JUN,MMPs,+,FOS_kerat:JUN_kerat,complex,2
JUN,NGF,+,FOS_kerat:JUN_kerat,complex,2
JUN,PTGS2,+,FOS_kerat:JUN_kerat,complex,2
JUN,TNF,+,FOS_kerat:JUN_kerat,complex,2
KIT,HRAS,+,SOS1:GRB2:SHC1_melan,complex,2
KIT,PIK3CA,+,,,1
KITLG,KIT,+,,,1
MAP2K1,MAPK1,+,,,1
MAP2K1,MAPK3,+,,,1
MAP2K2,MAPK1,+,,,1
MAP2K2,MAPK3,+,,,1
MAP2K3,MAPK14,+,,,1
