gene,disease_name,phenotype_mim,inheritance,is_LoF,phenotype_class,bajpai_positive_regulator,bajpai_effect,grn_regulator_sign,signednet_regulator_sign,regulator_call,n_direction_sources,predicted_direction,law_applies,law_concordant,dominant_haploinsufficient_note,exception_mechanism,citation
AP3B1,Hermansky-Pudlak syndrome type 2,608233,AR,True,Hypopigmentation,True,0.9,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
AP3D1,Hermansky-Pudlak syndrome type 10,617050,AR,True,Hypopigmentation,True,2.4,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
BLOC1S3,Hermansky-Pudlak syndrome type 8,614077,AR,True,Hypopigmentation,True,1.8,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
BLOC1S5,Hermansky-Pudlak syndrome type 11,619172,AR,True,Hypopigmentation,True,1.3,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
BLOC1S6,Hermansky-Pudlak syndrome type 9,614171,AR,True,Hypopigmentation,True,1.0,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
DTNBP1,Hermansky-Pudlak syndrome type 7,614076,AR,True,Hypopigmentation,True,1.7,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
EDNRB,ABCD syndrome,600501,AR,True,Hypopigmentation,False,,positive,positive,positive,2,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
FIG4,Charcot-Marie-Tooth disease type 4J,611228,AR,True,Hypopigmentation,True,0.7,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
GPR143,"Oculocutaneous albinism, type 1, Nettleship-Falls type",300500,XL,True,Hypopigmentation,True,1.0,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
HPS1,Hermansky-Pudlak syndrome type 1,203300,AR,True,Hypopigmentation,True,2.0,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
HPS3,Hermansky-Pudlak syndrome type 3,614072,AR,True,Hypopigmentation,True,1.7,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
HPS4,Hermansky-Pudlak syndrome type 4,614073,AR,True,Hypopigmentation,True,2.1,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
HPS5,Hermansky-Pudlak syndrome type 5,614074,AR,True,Hypopigmentation,True,2.1,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
HPS6,Hermansky-Pudlak syndrome type 6,614075,AR,True,Hypopigmentation,True,1.9,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
LYST,Chediak–Higashi syndrome,214500,AR,True,Hypopigmentation,True,1.3,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
MC1R,"Oculocutaneous albinism, type 2",203200,AR,True,Hypopigmentation,False,,positive,positive,positive,2,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
OCA2,"Oculocutaneous albinism, type 2",203200,AR,True,Hypopigmentation,True,1.4,positive,positive,positive,3,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
RAB27A,Griscelli syndrome type 2,607624,AR,True,Hypopigmentation,True,2.0,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
SLC17A5,"Sialic acid storage disorder, infantile",269920,AR,True,Hypopigmentation,True,1.2,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
SLC24A5,"Oculocutaneous albinism, type 6",113750,AR,True,Hypopigmentation,True,1.8,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
SLC45A2,"Oculocutaneous albinism, type 4",606574,AR,True,Hypopigmentation,True,3.8,,,positive,1,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
TYRP1,"Oculocutaneous albinism, type 3",203290,AR,True,Hypopigmentation,False,,positive,positive,positive,2,Hypopigmentation,True,1.0,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
FASLG,Vitiligo,,Acquired,False,Hypopigmentation,False,,,negative,negative,1,Hyperpigmentation,False,,,"Acquired (vitiligo-associated), immune-mediated depigmentation, not a germline melanin-regulator LoF.",OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
HRAS,Costello syndrome,218040,AD,False,Hyperpigmentation,False,,,negative,negative,1,Hyperpigmentation,False,,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
MAP2K1,Cardiofaciocutaneous syndrome 3,615279,AD,False,Hyperpigmentation,False,,,negative,negative,1,Hyperpigmentation,False,,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
RAF1,LEOPARD syndrome 2,611554,AD,False,Hyperpigmentation,False,,,negative,negative,1,Hyperpigmentation,False,,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
BNC2,Dermal melanocytosis,,Congenital,False,Hyperpigmentation,True,1.4,,,positive,1,Hypopigmentation,False,,,"Congenital dermal melanocytosis: ectopic/retained dermal melanocytes (developmental), not melanogenic output change.",OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
CDKN2A,Melanoma and neural system tumor syndrome,155755,AD,False,Hyperpigmentation,True,1.7,,,positive,1,Hypopigmentation,False,,,"Tumor suppressor; dominant LoF drives melanocyte proliferation/melanoma (more pigment cells), not less melanin per cell.",OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
KIT,"Mastocytosis, cutaneous",154800,AD,False,Hyperpigmentation,False,,positive,positive,positive,2,Hypopigmentation,False,,,Piebaldism (dominant-negative/haploinsufficiency) + KIT-GoF hyperpigmented lesions; dominant allele class is not simple LoF.,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
MITF,Tietz albinism-deafness syndrome,103500,AD,False,Hypopigmentation,False,,positive,positive,positive,2,Hypopigmentation,False,,Haploinsufficient master TF (Waardenburg 2A) - dosage-sensitive positive regulator; LoF logic holds under dominance.,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
PAX3,Waardenburg syndrome type 1,193500,AD,False,Hypopigmentation,False,,,positive,positive,1,Hypopigmentation,False,,Haploinsufficient master TF (Waardenburg 1/3) - dosage-sensitive positive regulator.,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
PPP3CA,Vitiligo,,Acquired,False,Hypopigmentation,False,,,positive,positive,1,Hypopigmentation,False,,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
PSENEN,"Acne inversa, familial, 2, with or without Dowling-Degos disease",613736,AD,False,Hyperpigmentation,True,1.2,,,positive,1,Hypopigmentation,False,,,"gamma-secretase subunit; haploinsufficiency acts via keratinocyte/Notch (Dowling-Degos), not melanocyte-autonomous melanin loss.",OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
SOX10,Waardenburg syndrome 4C; PCWH syndrome,613266; 609136,AD,False,Hypopigmentation,False,,positive,positive,positive,2,Hypopigmentation,False,,Haploinsufficient master TF (Waardenburg 2E/PCWH) - dosage-sensitive positive regulator.,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
TYR,"{Melanoma, cutaneous malignant, susceptibility to, 8}",601800,AD,False,Hyperpigmentation,True,4.1,positive,positive,positive,3,Hypopigmentation,False,,,"Allelic series: recessive TYR LoF = OCA1 albinism (hypo, concordant); dominant entry = melanoma-susceptibility (proliferative), not per-cell melanin loss.",OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
ABCC9,Hypertrichotic osteochondrodysplasia / Cantu syndrome,239850,AD,False,Hyperpigmentation,False,,,,,0,,False,,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
ACD,"Dyskeratosis congenita, autosomal dominant 6, autosomal recessive 7",616553,"AD, AR",True,Hyperpigmentation,False,,,,,0,,False,,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
ADAM10,Reticulate acropigmentation of Kitamura,615537,AD,False,Hyperpigmentation,False,,,,,0,,False,,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
ADAR,Aicardi-Goutieres syndrome 6,615010,AR,True,Hyperpigmentation,False,,,,,0,,False,,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
ADO,Vogt-Koyanagi-Harada disease,,Acquired,False,Hypopigmentation,False,,,,,0,,False,,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
ADPRH,Vitiligo,,Acquired,False,Hypopigmentation,False,,,,,0,,False,,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
ALG11,Wilson disease,277900,Congenital,False,Hyperpigmentation,False,,,,,0,,False,,,,OMIM via D'Arcy 2023 PMC9854651; Bajpai 2023 DOI 10.1126/science.ade6289; NB6 GRN; NB7 signed network
