gene_a,gene_b,darcy_s4_combined_score,our_string_v12_score,in_darcy_s4,in_our_pull,agreement,citation,citation_source
ACD,BLM,0.924,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ACD,CTC1,0.891,0.906,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ACD,DKC1,0.778,0.747,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ACD,GAR1,,0.7,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ACD,NHP2,0.792,0.759,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ACD,NOP10,0.793,0.744,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ACD,RTEL1,0.765,0.701,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ACD,TERT,0.932,0.982,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ACD,TINF2,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ACD,WRAP53,0.78,0.72,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ACD,WRN,0.937,0.738,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ADAM10,PSENEN,0.81,0.819,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ADAR,HLA-B,0.904,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ADAR,IRF3,0.944,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ADAR,IRF4,0.902,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3B1,AP3D1,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3B1,BLOC1S3,,0.914,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3B1,BLOC1S6,0.757,0.857,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3B1,DTNBP1,0.729,0.878,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3B1,HPS3,0.75,0.929,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3B1,HPS4,0.772,0.935,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3B1,HPS5,,0.827,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3B1,HPS6,,0.842,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3B1,LYST,0.772,0.805,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3B1,RAB5C,0.901,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3B1,RAF1,0.904,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3D1,HPS3,,0.727,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
AP3D1,HPS5,,0.728,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,BLM,0.997,0.991,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,BRAF,,0.778,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,BRCA2,0.996,0.995,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,BRIP1,0.915,0.933,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,CDKN2A,0.75,0.847,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,DDB2,,0.712,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,ERCC1,0.983,0.975,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,ERCC2,0.736,0.914,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,ERCC3,0.81,0.863,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,ERCC4,0.969,0.965,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,ERCC5,0.962,0.975,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,FANCA,0.727,0.737,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,FANCC,,0.775,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,FANCD2,0.993,0.989,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
ATM,FANCI,0.99,0.946,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
