gene,set,K,p,n_tips,n_fg,fg_branch_len,tree_len,pct_gaps,aln_ref_ratio,flags
AKR1C1,hormone,1.192827107922805,0.9596767016351877,6,4,0.10553,0.49206,1.5,0.907,clean
AKR1C3,hormone,16.79982083273731,0.02943620714118966,6,4,0.00934,0.38781,1.5,1.0,near_zero_fg
AKR1C4,hormone,0.314911901328233,0.3585676550806027,7,4,0.13684,1219.50887,2.87,1.019,branch_len_blowup
AKR1C8,hormone,1.692537135044193,0.05976094535738841,7,4,0.11302,0.1246,12.18,1.06,clean
AR,hormone,1.146849804201026,0.1390010875380131,9,5,4.23099,9.17607,48.98,3.391,branch_len_blowup|aln_gt_1.2x_ref|gaps_gt_20pct
BNC2,pigmentation,6.375367088626228,0,8,4,0.88185,0.88851,14.58,0.967,clean
CYP11A1,hormone,4.08588528218298,0.1663625551819305,7,4,0.00995,0.01161,37.35,1.0,near_zero_fg|gaps_gt_20pct
CYP11B1,hormone,0.3074598692432083,0.004742292229388489,6,4,0.1484,2689984.25466,38.49,1.002,branch_len_blowup|gaps_gt_20pct
CYP11B2,hormone,0.8475575759060027,0.4684194886438637,7,4,0.05786,0.09009,33.02,1.002,gaps_gt_20pct
CYP19A1,hormone,3.677043986531097,0.1191507186026077,7,4,0.04375,0.05581,26.5,1.0,gaps_gt_20pct
CYP21A2,hormone,7.483544569425538,0.1218375776205364,7,4,0.01454,0.03067,0.34,0.978,clean
CYP7B1,hormone,0.6914836592474272,0.08134842703908418,7,4,0.04862,1.43012,28.45,1.119,gaps_gt_20pct
DCT,pigmentation,0.8671739480971581,0.2471132903632066,9,5,0.06441,0.13179,19.71,1.0,clean
EDN3,pigmentation,0.8859202637488954,0.4184026739690102,8,5,1.29613,6.65571,20.88,1.004,branch_len_blowup|gaps_gt_20pct
EDNRB,pigmentation,0.7379163415085895,0.7898316938703498,9,5,0.00324,0.01301,2.76,1.009,near_zero_fg
ESR1,hormone,2.855419327917605,3.792842355709869e-05,8,5,6.41979,6.60528,45.03,1.049,branch_len_blowup|gaps_gt_20pct
ESR2,hormone,1.108099209984531,0.5505766671482222,9,5,0.05174,0.1098,36.5,1.0,gaps_gt_20pct
FKBP5,hormone,2.032095924793047,0.04317071115548188,9,5,0.02072,5.0229,17.57,1.013,branch_len_blowup
FOXD3,pigmentation,0.5090979209748726,0.3206307450174799,9,5,0.00559,0.01543,0.12,1.002,near_zero_fg
FSHB,hormone,1.694306665091801e-11,0.3276714482582964,9,5,0.00532,0.01341,0.0,1.0,K_boundary|near_zero_fg
FSHR,hormone,1,1,9,5,0.02012,0.04464,15.26,1.009,clean
GNA11,hormone,0.704780485520064,0.3993048710567108,6,4,0.82599,0.83601,0.0,1.0,clean
GNAQ,hormone,1,0.9999756148534533,6,4,683.0582,686.4461,0.0,1.0,branch_len_blowup
GNRH1,hormone,3.257751658549795e-12,0.4169571916221746,9,5,0.00354,0.02457,0.0,0.914,K_boundary|near_zero_fg
GNRHR,hormone,0.340409597617607,0.6455937288739755,9,5,0.01141,0.02735,13.72,1.0,clean
GPER1,hormone,40.0961114261092,0.2899413604235939,9,5,0.00454,0.01935,0.0,1.0,near_zero_fg
HERC2,pigmentation,1.065768193366627,0.7530698995317446,8,4,0.03591,0.09643,40.98,1.006,gaps_gt_20pct
HSD17B11,hormone,0.9802540033681757,0.9088042705039938,9,5,1.01704,1.49997,13.22,0.997,clean
HSD17B12,hormone,0,0.3062614663980849,4,2,0.00428,0.01176,0.0,1.0,K_boundary|near_zero_fg|low_power
HSD17B2,hormone,12.24764979477817,0.003861567155879264,9,5,0.35912,0.38129,26.61,1.0,gaps_gt_20pct
HSD17B6,hormone,1.000541341207672,0.9905014245226216,6,4,0.61519,1.22393,0.0,0.975,clean
HSD17B7,hormone,0.75716645280389,0.7094924578685661,9,5,20237.83048,3833300.40792,18.93,1.0,branch_len_blowup
HSD17B8,hormone,2.657018931171549e-09,0.0472772014706877,9,5,0.00772,0.77733,4.88,1.046,K_boundary|near_zero_fg
HSD3B1,hormone,1.003497074631767,0.9856639561166374,6,3,0.04553,0.05543,2.1,1.0,clean
IRF4,pigmentation,1.141113518015902,0.694171241021482,9,5,0.00921,0.02347,4.16,1.0,near_zero_fg
KISS1,hormone,0.2532096855859283,0.8630808465176156,9,5,0.00726,0.01693,0.0,0.945,near_zero_fg
KISS1R,hormone,0.2278642301005478,0.005597077078460577,9,5,0.00696,0.05679,1.22,1.008,near_zero_fg
KIT,pigmentation,0.5937705593546412,0.7456870174813899,6,3,0.00448,0.0138,0.0,0.974,near_zero_fg
KITLG,pigmentation,9.809410935049407,6.390696971614318e-09,9,5,0.34656,0.35426,12.21,1.0,clean
LDLR,hormone,1,1,8,4,124.46276,259.23774,25.83,1.083,branch_len_blowup|gaps_gt_20pct
LEF1,pigmentation,7.985732404821343,0.0006556916834280502,9,5,0.15552,1.29274,25.03,1.002,gaps_gt_20pct
LHCGR,hormone,0.1445312012478697,0.09356982840871586,9,5,0.00484,0.03244,19.07,0.997,near_zero_fg
MC1R,pigmentation,0.421531831184058,0.3341146507653669,6,4,0.00643,0.03112,0.0,1.0,near_zero_fg
MITF,pigmentation,0.9493813338081231,0.9693948753028558,9,5,0.00661,0.01733,31.01,1.0,near_zero_fg|gaps_gt_20pct
MLANA,pigmentation,4.191886081620883,0.8862904378729387,9,5,0.01404,0.01972,16.38,1.0,clean
MRAP2,pigmentation,2.217714817935154,0.4257950241983369,9,5,0.00584,0.01518,27.96,1.19,near_zero_fg|gaps_gt_20pct
NCOA1,hormone,1.298688290733031,0.05537192534429047,9,5,0.35285,0.43933,27.24,1.007,gaps_gt_20pct
NCOA2,hormone,5.086944785346563e-07,0.5520141987151304,9,5,0.00298,0.0092,20.78,1.042,K_boundary|near_zero_fg|gaps_gt_20pct
NCOA3,hormone,0.8458554365964188,0.2074686056079218,9,5,0.00803,0.02104,13.78,1.008,near_zero_fg
NCOR1,hormone,0.2286439726609184,0.6785165806988156,9,5,0.00292,0.02816,33.64,1.036,near_zero_fg|gaps_gt_20pct
NCOR2,hormone,1.184157387369961,0.2980718898418225,9,5,0.01022,0.02329,28.0,1.028,gaps_gt_20pct
OCA2,pigmentation,0.316398150221064,0.01644154071003245,6,3,0.00552,9.48028,11.46,1.0,near_zero_fg|branch_len_blowup
PAX3,pigmentation,0.5882314106527171,0.8702498121409847,9,5,0.00216,0.01599,30.3,1.039,near_zero_fg|gaps_gt_20pct
PMEL,pigmentation,0.0931371125500765,0.05450548885888107,9,5,0.00148,0.45215,14.8,1.15,near_zero_fg
POMC,pigmentation,1.13002547834231,0.4977886825362214,5,3,1.2023,2.02183,18.47,0.969,clean
SCARB1,hormone,0.9920319042553616,0.9354129981188639,5,2,6.88162,9.66831,18.06,1.19,branch_len_blowup|low_power
SHBG,hormone,46.24762869203404,0.2482621629152022,5,3,0.00098,0.01103,14.62,1.022,near_zero_fg
SLC24A4,pigmentation,2.39768634488092,0.1383009623384257,9,5,1.12221,1.15628,27.94,1.0,gaps_gt_20pct
SLC24A5,pigmentation,1.387774043523256,0.1238215977129987,9,5,0.01361,0.0325,15.34,1.062,clean
SLC45A2,pigmentation,1.317741589966224,0.1484629042897593,9,5,0.06021,0.11312,26.23,1.0,gaps_gt_20pct
SOX10,pigmentation,1,1,9,5,1177.81731,1178.03022,22.57,1.101,branch_len_blowup|gaps_gt_20pct
SRD5A1,hormone,0.1393558418278761,6.688110101293887e-07,4,2,0.00776,3.15628,4.64,1.046,near_zero_fg|low_power
SRD5A2,hormone,1.358321574050675,1,9,5,0.0,0.0127,20.34,1.0,near_zero_fg|gaps_gt_20pct
STAR,hormone,1.008032096256642,1,8,4,0.0,0.94809,17.72,1.0,near_zero_fg
STS,hormone,5.629043004916713,0.004937787735701415,8,4,66484.45722,66627.13285,26.31,1.003,branch_len_blowup|gaps_gt_20pct
SULT1E1,hormone,1.306422015027308,0.4047925221367191,9,5,0.02745,0.0981,23.24,1.0,gaps_gt_20pct
TFAP2A,pigmentation,1,0.9997743818142923,9,5,226563.46419,1171618.64412,11.63,1.11,branch_len_blowup
TYR,pigmentation,0.9722529691012487,0.960422580677603,8,4,88841.79945,949995.80719,24.95,1.0,branch_len_blowup|gaps_gt_20pct
TYRP1,pigmentation,1.086704960909612,0.8976535039544923,9,5,0.0054,0.01844,9.6,1.0,near_zero_fg
