gene,category,set
TYR,enzyme,pigmentation
TYRP1,enzyme,pigmentation
DCT,enzyme,pigmentation
PMEL,melanosome,pigmentation
MLANA,melanosome,pigmentation
OCA2,melanosome_transport,pigmentation
SLC45A2,melanosome_transport,pigmentation
SLC24A5,melanosome_transport,pigmentation
MFSD12,melanosome_transport,pigmentation
SLC24A4,melanosome_transport,pigmentation
MC1R,receptor_signaling,pigmentation
ASIP,receptor_signaling,pigmentation
POMC,receptor_signaling,pigmentation
MRAP2,receptor_signaling,pigmentation
EDN3,receptor_signaling,pigmentation
EDNRB,receptor_signaling,pigmentation
KIT,receptor_signaling,pigmentation
KITLG,receptor_signaling,pigmentation
MITF,transcription,pigmentation
SOX10,transcription,pigmentation
PAX3,transcription,pigmentation
TFAP2A,transcription,pigmentation
LEF1,transcription,pigmentation
FOXD3,transcription,pigmentation
IRF4,transcription,pigmentation
BNC2,transcription,pigmentation
HERC2,regulatory,pigmentation
AKR1C3,androgen_axis,hormone
AR,androgen_axis,hormone
CYP17A1,androgen_axis,hormone
HSD17B3,androgen_axis,hormone
SRD5A1,androgen_axis,hormone
SRD5A2,androgen_axis,hormone
SRD5A3,androgen_axis,hormone
CYP19A1,estrogen_axis,hormone
ESR1,estrogen_axis,hormone
ESR2,estrogen_axis,hormone
GPER1,estrogen_axis,hormone
HSD17B1,estrogen_axis,hormone
STS,estrogen_axis,hormone
SULT1E1,estrogen_axis,hormone
CGA,hpg_axis,hormone
FSHB,hpg_axis,hormone
FSHR,hpg_axis,hormone
GNRH1,hpg_axis,hormone
GNRH2,hpg_axis,hormone
GNRHR,hpg_axis,hormone
KISS1,hpg_axis,hormone
KISS1R,hpg_axis,hormone
LHB,hpg_axis,hormone
LHCGR,hpg_axis,hormone
AKR1C1,steroid_biosynthesis,hormone
AKR1C2,steroid_biosynthesis,hormone
AKR1C4,steroid_biosynthesis,hormone
AKR1C8,steroid_biosynthesis,hormone
CYP11A1,steroid_biosynthesis,hormone
CYP11B1,steroid_biosynthesis,hormone
CYP11B2,steroid_biosynthesis,hormone
CYP21A2,steroid_biosynthesis,hormone
CYP7B1,steroid_biosynthesis,hormone
HSD17B11,steroid_biosynthesis,hormone
HSD17B12,steroid_biosynthesis,hormone
HSD17B2,steroid_biosynthesis,hormone
HSD17B6,steroid_biosynthesis,hormone
HSD17B7,steroid_biosynthesis,hormone
HSD17B8,steroid_biosynthesis,hormone
HSD3B1,steroid_biosynthesis,hormone
HSD3B2,steroid_biosynthesis,hormone
LDLR,steroid_biosynthesis,hormone
SCARB1,steroid_biosynthesis,hormone
STAR,steroid_biosynthesis,hormone
GNA11,gnrh_signaling,hormone
GNAQ,gnrh_signaling,hormone
FKBP5,coactivator_corepressor_carrier,hormone
NCOA1,coactivator_corepressor_carrier,hormone
NCOA2,coactivator_corepressor_carrier,hormone
NCOA3,coactivator_corepressor_carrier,hormone
NCOR1,coactivator_corepressor_carrier,hormone
NCOR2,coactivator_corepressor_carrier,hormone
SHBG,coactivator_corepressor_carrier,hormone
