gene_string,gene_sysgo,process_1,process_2,process_3,main_location,disease_gene_flag,disease_gene_class,in_a375,expr_a375_lfq,in_fm55,expr_fm55_lfq,citation,citation_source
ABL1,ABL1,1_26_30_non-receptor tyrosine kinase,Protein kinases,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
ACD,ACD,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,ACD,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
ADAM10,ADAM10,2_1_1_Degradation of the extracellular matrix,ECM organisation,ECM organisation,04_EXTRACELLULAR,ADAM10,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
ADAR,ADAR,1_2_Metabolism of nucleotides,Metabolism of nucleotides & phosphates,Metabolism,03_A_Nucleus,ADAR,Hyper & mixed,ADAR,36889.0,ADAR,47524.333333333336,PMC9854651,pmcid
AP3B1,AP3B1,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_B_3_Golgi apparatus,AP3B1,Hypopigmentation disorder,AP3B1,175235.0,AP3B1,164446.66666666666,PMC9854651,pmcid
AP3D1,AP3D1,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_B_3_Golgi apparatus,AP3D1,Hypopigmentation disorder,AP3D1,194830.0,AP3D1,209405.0,PMC9854651,pmcid
AP3M1,AP3M1,1_8_2_Protein folding,Adapters/scaffolds,"Protein translation, folding, modification & degradation",01_B_3_Golgi apparatus,,,AP3M1,175241.66666666666,AP3M1,188138.33333333334,PMC9854651,pmcid
AP3S1,AP3S1,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_B_3_Golgi apparatus,,,AP3S1,231563.33333333334,AP3S1,166673.33333333334,PMC9854651,pmcid
APC2,APC2,3_2_11_Signaling by Wnt,Signaling - Cell fates,Signaling,01_D_3f_Cytokinetic bridge,APC2,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
APH1A,APH1A,3_9_Development,Developmental,Developmental,01_B_2_Endoplasmic reticulum,,,,,,,PMC9854651,pmcid
APITD1,CENPS,1_15_4_Tubulin,Cytoskeleton,Cytoskeleton,01_D_3h_Mitotic spindle,,,,,,,PMC9854651,pmcid
ARRB2,ARRB2,1_26_42_arrestin,Signaling - Other,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
ATM,ATM,1_26_28_serine/threonine kinase,Protein kinases,Signaling,03_C_Nucleoplasm,ATM,Mixed hypo- & hyperpigmentation disorder,ATM,1103831.6666666667,ATM,973830.0,PMC9854651,pmcid
ATOX1,ATOX1,1_25_2_Detoxification of Reactive Oxygen Species,"Signaling - ROS/hypoxia, heat stress",Signaling,01_A_Cytosol,,,ATOX1,152466.16666666666,ATOX1,135958.5,PMC9854651,pmcid
ATP7A,ATP7A,1_25_2_Detoxification of Reactive Oxygen Species,"Signaling - ROS/hypoxia, heat stress",Signaling,01_B_3_Golgi apparatus,ATP7A,Hypopigmentation disorder,,,,,PMC9854651,pmcid
ATP7B,ATP7B,1_25_2_Detoxification of Reactive Oxygen Species,"Signaling - ROS/hypoxia, heat stress",Signaling,01_B_3_Golgi apparatus,ATP7B,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
ATXN2,ATXN2,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,ATXN2,Hypopigmentation disorder,ATXN2,137920.0,ATXN2,152981.66666666666,PMC9854651,pmcid
B2M,B2M,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,04_EXTRACELLULAR,,,B2M,30559.0,B2M,54701.666666666664,PMC9854651,pmcid
BCL10,BCL10,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,03_C_Nucleoplasm,,,BCL10,62909.5,BCL10,47026.666666666664,PMC9854651,pmcid
BCL2L1,BCL2L1,4_2_Programmed Cell Death,Cell death,Signaling,01_B_1_Mitochondria,,,,,,,PMC9854651,pmcid
BCL2L11,BCL2L11,4_2_Programmed Cell Death,Cell death,Signaling,01_B_1_Mitochondria,BCL2L11,Hypopigmentation disorder,,,,,PMC9854651,pmcid
BCL2L12,BCL2L12,4_2_Programmed Cell Death,Cell death,Signaling,01_A_Cytosol,BCL2L12,Hypopigmentation disorder,,,,,PMC9854651,pmcid
BLM,BLM,1_8_4_SUMOylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_A_Nucleus,BLM,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
BLOC1S3,BLOC1S3,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,BLOC1S3,Hypopigmentation disorder,,,,,PMC9854651,pmcid
BLOC1S5,BLOC1S5,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,BLOC1S5,Hypopigmentation disorder,,,,,PMC9854651,pmcid
BLOC1S6,BLOC1S6,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,BLOC1S6,Hypopigmentation disorder,,,,,PMC9854651,pmcid
BOP1,BOP1,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,03_H_Necleoli,,,,,,,PMC9854651,pmcid
BRAF,BRAF,1_26_16_mitogen-activated protein kinase kinase kinase,Protein kinases,Signaling,01_A_Cytosol,BRAF,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
BRCA1,BRCA1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
BRCA2,BRCA2,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,BRCA2,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
BRIP1,BRIP1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,BRIP1,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
BTNL2,BTNL2,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,04_EXTRACELLULAR,BTNL2,Hypopigmentation disorder,,,,,PMC9854651,pmcid
BTRC,BTRC,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
C10ORF11,LRMDA,4_5_Cell fate_differentiation,Signaling - Cell fates,Signaling,05_UNKNOWN,LRMDA,Hypopigmentation disorder,,,,,PMC9854651,pmcid
C17ORF70,FAAP100,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
C19ORF40,FAAP24,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
C1ORF86,FAAP20,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
CAB39,CAB39,1_26_43_calcium binding protein,Signaling - Other,Signaling,01_A_Cytosol,,,CAB39,156956.66666666666,CAB39,137920.0,PMC9854651,pmcid
CAND1,CAND1,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,CAND1,1014548.3333333334,CAND1,927735.0,PMC9854651,pmcid
CASP1,CASP1,4_2_Programmed Cell Death,Cell death,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
CASP7,CASP7,4_2_Programmed Cell Death,Cell death,Signaling,01_A_Cytosol,CASP7,Hypopigmentation disorder,CASP7,95720.33333333333,CASP7,70894.66666666667,PMC9854651,pmcid
CASP8,CASP8,4_2_Programmed Cell Death,Cell death,Signaling,01_A_Cytosol,,,CASP8,175738.33333333334,CASP8,146448.33333333334,PMC9854651,pmcid
CBSL,CBSL,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,03_H_Necleoli,,,,,,,PMC9854651,pmcid
CCL20,CCL20,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,04_EXTRACELLULAR,,,,,,,PMC9854651,pmcid
CCNA2,CCNA2,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,,,,,,,PMC9854651,pmcid
CCNH,CCNH,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,,,CCNH,42637.333333333336,CCNH,25318.166666666668,PMC9854651,pmcid
CD22,CD22,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
CD28,CD28,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
CD74,CD74,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,,,CD74,58383.0,CD74,91175.16666666667,PMC9854651,pmcid
CD80,CD80,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,CD80,Hypopigmentation disorder,,,,,PMC9854651,pmcid
CD86,CD86,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
CDC34,CDC34,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,,,,,,,PMC9854651,pmcid
CDC45,CDC45,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,,,CDC45,15163.5,CDC45,7216.166666666667,PMC9854651,pmcid
CDC6,CDC6,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,,,,,,,PMC9854651,pmcid
CDC7,CDC7,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,,,,,,,PMC9854651,pmcid
CDH23,CDH23,3_4_Cell_cell_junctions_adhesion,Cell_cell_junctions_adhesion,Cell junction & adhesion,02_A_Cell-cell-junctions,CDH23,Hypopigmentation disorder,,,,,PMC9854651,pmcid
CDH3,CDH3,3_4_Cell_cell_junctions_adhesion,Cell_cell_junctions_adhesion,Cell junction & adhesion,02_A_Cell-cell-junctions,CDH3,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
CDK2,CDK2,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_C_Nucleoplasm,,,CDK2,149666.66666666666,CDK2,103078.33333333333,PMC9854651,pmcid
CDK4,CDK4,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,,,CDK4,100951.16666666667,CDK4,79261.5,PMC9854651,pmcid
CDK5RAP2,CDK5RAP2,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,02_A_Cell-cell-junctions,,,CDK5RAP2,22579.833333333332,CDK5RAP2,14520.5,PMC9854651,pmcid
CDK6,CDK6,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_C_Nucleoplasm,,,CDK6,279968.3333333333,CDK6,243488.33333333334,PMC9854651,pmcid
CDK7,CDK7,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,,,CDK7,96660.33333333333,CDK7,69908.0,PMC9854651,pmcid
CDKN2A,CDKN2A,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,CDKN2A,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
CDT1,CDT1,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
CETN2,CETN2,1_15_4_Tubulin,Cytoskeleton,Cytoskeleton,01_D_3_Microtubules,,,CETN2,120579.0,CETN2,97659.5,PMC9854651,pmcid
CHEK2,CHEK2,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,,,,,,,PMC9854651,pmcid
CHUK,CHUK,1_26_34_other_kinases,Protein kinases,Signaling,03_C_Nucleoplasm,,,CHUK,39881.333333333336,CHUK,26494.333333333332,PMC9854651,pmcid
CNOT1,CNOT1,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,CNOT1,170835.0,CNOT1,164326.66666666666,PMC9854651,pmcid
CREBBP,CREBBP,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,CREBBP,27248.5,CREBBP,26167.333333333332,PMC9854651,pmcid
CTC1,CTC1,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,CTC1,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
CTH,CTH,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,01_A_Cytosol,,,CTH,27390.833333333332,CTH,30206.333333333332,PMC9854651,pmcid
CTLA4,CTLA4,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,CTLA4,Hypopigmentation disorder,,,,,PMC9854651,pmcid
CTNNB1,CTNNB1,3_4_Cell_cell_junctions_adhesion,Cell_cell_junctions_adhesion,Cell junction & adhesion,02_A_Cell-cell-junctions,,,CTNNB1,131545.0,CTNNB1,95901.33333333333,PMC9854651,pmcid
CUL1,CUL1,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,CUL1,211360.0,CUL1,185976.66666666666,PMC9854651,pmcid
CUL2,CUL2,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,CUL2,123293.33333333333,CUL2,93369.16666666667,PMC9854651,pmcid
CUL3,CUL3,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_B_3_Golgi apparatus,,,CUL3,211015.0,CUL3,179608.33333333334,PMC9854651,pmcid
CUL4A,CUL4A,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_C_Nucleoplasm,,,CUL4A,130142.0,CUL4A,123796.66666666667,PMC9854651,pmcid
