input_symbol,resolved_official_symbol,entrez,ensembl,match_type,notes
ATRN,ATRN,8455,ENSG00000088812,exact,
BNC2,BNC2,54796,ENSG00000173068,exact,
EGFR,EGFR,1956,ENSG00000146648,exact,
EMCN,EMCN,51705,ENSG00000164035,exact,
HERC2,HERC2,8924,ENSG00000128731;ENSG00000277278;ENSG00000276802,exact,
IRF4,IRF4,3662,ENSG00000137265,exact,
KALRN,KALRN,8997,ENSG00000160145,exact,
KITLG,KITLG,4254,ENSG00000049130,exact,
LRMDA,LRMDA,83938,ENSG00000148655,exact,
MANBA,MANBA,4126,ENSG00000109323,exact,
MC1R,MC1R,4157,ENSG00000258839,exact,
MFSD12,MFSD12,126321,ENSG00000161091,exact,
MSX2,MSX2,4488,ENSG00000120149,exact,
NPLOC4,NPLOC4,55666,ENSG00000182446,exact,
OCA2,OCA2,4948,ENSG00000277361;ENSG00000104044,exact,
ORAOV1,LTO1,220064,ENSG00000149716,alias,input 'ORAOV1' is a deprecated/alias symbol; resolved via alias scope to current official symbol 'LTO1'
PAX3,PAX3,5077,ENSG00000135903,exact,
PKHD1,PKHD1,5314,ENSG00000170927,exact,
POMC,POMC,5443,ENSG00000115138,exact,
PPP3CA,PPP3CA,5530,ENSG00000138814,exact,
RALY,RALY,22913,ENSG00000125970,exact,
SIK1,SIK1,150094,ENSG00000142178,exact,
SLC24A4,SLC24A4,123041,ENSG00000140090,exact,
SLC24A5,SLC24A5,283652,ENSG00000188467,exact,
SLC39A8,SLC39A8,64116,ENSG00000138821,exact,
SLC45A2,SLC45A2,51151,ENSG00000164175;ENSG00000281919,exact,
SYT6,SYT6,148281,ENSG00000134207,exact,
TACR3,TACR3,6870,ENSG00000169836,exact,
TSPAN10,TSPAN10,83882,ENSG00000182612,exact,
TYR,TYR,7299,ENSG00000077498,exact,
TYRP1,TYRP1,7306,ENSG00000107165,exact,
