gene,module,category,status,justification,n_primate_orth,n_within_paralog,ortholog_risk
TYR,pigmentation,enzyme,already_run,OMIM:Hyperpigmentation|Hypopigmentation|Pigmentation phenotype;Baxter2018;melanogenesis-mechanism;CRISPR-screen,,,already_analyzed
TYRP1,pigmentation,enzyme,already_run,OMIM:Hypopigmentation;Baxter2018;melanogenesis-mechanism,,,already_analyzed
DCT,pigmentation,enzyme,already_run,Baxter2018;melanogenesis-mechanism;CRISPR-screen,,,already_analyzed
PMEL,pigmentation,melanosome,already_run,Baxter2018;melanogenesis-mechanism,,,already_analyzed
MLANA,pigmentation,melanosome,already_run,Baxter2018;melanogenesis-mechanism,,,already_analyzed
OCA2,pigmentation,melanosome_transport,already_run,OMIM:Hypopigmentation;Baxter2018;melanogenesis-mechanism;CRISPR-screen,,,already_analyzed
SLC45A2,pigmentation,melanosome_transport,already_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,,,already_analyzed
SLC24A5,pigmentation,melanosome_transport,already_run,OMIM:Hypopigmentation|Pigmentation phenotype;Baxter2018;CRISPR-screen,,,already_analyzed
MFSD12,pigmentation,melanosome_transport,already_run,core melanogenesis (canonical),,,already_analyzed
SLC24A4,pigmentation,melanosome_transport,already_run,core melanogenesis (canonical),,,already_analyzed
MC1R,pigmentation,receptor_signaling,already_run,OMIM:Hypopigmentation;Baxter2018;melanogenesis-mechanism,,,already_analyzed
ASIP,pigmentation,receptor_signaling,already_run,Baxter2018,,,already_analyzed
POMC,pigmentation,receptor_signaling,already_run,OMIM:Hypopigmentation;Baxter2018;melanogenesis-mechanism,,,already_analyzed
MRAP2,pigmentation,receptor_signaling,already_run,core melanogenesis (canonical),,,already_analyzed
EDN3,pigmentation,receptor_signaling,already_run,OMIM:Hypopigmentation;Baxter2018,,,already_analyzed
EDNRB,pigmentation,receptor_signaling,already_run,OMIM:Hypopigmentation;Baxter2018;melanogenesis-mechanism,,,already_analyzed
KIT,pigmentation,receptor_signaling,already_run,OMIM:Hyperpigmentation|Hypopigmentation;Baxter2018;melanogenesis-mechanism,,,already_analyzed
KITLG,pigmentation,receptor_signaling,already_run,OMIM:Mixed|Pigmentation phenotype;Baxter2018;melanogenesis-mechanism,,,already_analyzed
MITF,pigmentation,transcription,already_run,OMIM:Hypopigmentation;Baxter2018;melanogenesis-mechanism,,,already_analyzed
SOX10,pigmentation,transcription,already_run,OMIM:Hypopigmentation;Baxter2018;melanogenesis-mechanism;melanosome-proteome,,,already_analyzed
PAX3,pigmentation,transcription,already_run,OMIM:Hypopigmentation;Baxter2018;melanogenesis-mechanism,,,already_analyzed
TFAP2A,pigmentation,transcription,already_run,Baxter2018;melanogenesis-mechanism,,,already_analyzed
LEF1,pigmentation,transcription,already_run,Baxter2018;melanogenesis-mechanism,,,already_analyzed
FOXD3,pigmentation,transcription,already_run,Baxter2018,,,already_analyzed
IRF4,pigmentation,transcription,already_run,OMIM:Hyperpigmentation|Hypopigmentation|Pigmentation phenotype;Baxter2018,,,already_analyzed
BNC2,pigmentation,transcription,already_run,OMIM:Hyperpigmentation;Baxter2018;CRISPR-screen,,,already_analyzed
HERC2,pigmentation,regulatory,already_run,OMIM:Hypopigmentation;melanosome-proteome,,,already_analyzed
AKR1C3,hormone,androgen_axis,already_run,endocrine pathway: androgen_axis,,,already_analyzed
AR,hormone,androgen_axis,already_run,endocrine pathway: androgen_axis,,,already_analyzed
CYP17A1,hormone,androgen_axis,already_run,endocrine pathway: androgen_axis,,,already_analyzed
HSD17B3,hormone,androgen_axis,already_run,endocrine pathway: androgen_axis,,,already_analyzed
SRD5A1,hormone,androgen_axis,already_run,endocrine pathway: androgen_axis,,,already_analyzed
SRD5A2,hormone,androgen_axis,already_run,endocrine pathway: androgen_axis,,,already_analyzed
SRD5A3,hormone,androgen_axis,already_run,endocrine pathway: androgen_axis,,,already_analyzed
CYP19A1,hormone,estrogen_axis,already_run,endocrine pathway: estrogen_axis,,,already_analyzed
ESR1,hormone,estrogen_axis,already_run,endocrine pathway: estrogen_axis,,,already_analyzed
ESR2,hormone,estrogen_axis,already_run,endocrine pathway: estrogen_axis,,,already_analyzed
GPER1,hormone,estrogen_axis,already_run,endocrine pathway: estrogen_axis,,,already_analyzed
HSD17B1,hormone,estrogen_axis,already_run,endocrine pathway: estrogen_axis,,,already_analyzed
STS,hormone,estrogen_axis,already_run,endocrine pathway: estrogen_axis,,,already_analyzed
SULT1E1,hormone,estrogen_axis,already_run,endocrine pathway: estrogen_axis,,,already_analyzed
CGA,hormone,hpg_axis,already_run,endocrine pathway: hpg_axis,,,already_analyzed
FSHB,hormone,hpg_axis,already_run,endocrine pathway: hpg_axis,,,already_analyzed
FSHR,hormone,hpg_axis,already_run,endocrine pathway: hpg_axis,,,already_analyzed
GNRH1,hormone,hpg_axis,already_run,endocrine pathway: hpg_axis,,,already_analyzed
GNRH2,hormone,hpg_axis,already_run,endocrine pathway: hpg_axis,,,already_analyzed
GNRHR,hormone,hpg_axis,already_run,endocrine pathway: hpg_axis,,,already_analyzed
KISS1,hormone,hpg_axis,already_run,endocrine pathway: hpg_axis,,,already_analyzed
KISS1R,hormone,hpg_axis,already_run,endocrine pathway: hpg_axis,,,already_analyzed
LHB,hormone,hpg_axis,already_run,endocrine pathway: hpg_axis,,,already_analyzed
LHCGR,hormone,hpg_axis,already_run,endocrine pathway: hpg_axis,,,already_analyzed
AKR1C1,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
AKR1C2,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
AKR1C4,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
AKR1C8,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
CYP11A1,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
CYP11B1,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
CYP11B2,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
CYP21A2,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
CYP7B1,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
HSD17B11,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
HSD17B12,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
HSD17B2,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
HSD17B6,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
HSD17B7,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
HSD17B8,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
HSD3B1,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
HSD3B2,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
LDLR,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
SCARB1,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
STAR,hormone,steroid_biosynthesis,already_run,endocrine pathway: steroid_biosynthesis,,,already_analyzed
GNA11,hormone,gnrh_signaling,already_run,endocrine pathway: gnrh_signaling,,,already_analyzed
GNAQ,hormone,gnrh_signaling,already_run,endocrine pathway: gnrh_signaling,,,already_analyzed
FKBP5,hormone,coactivator_corepressor_carrier,already_run,endocrine pathway: coactivator_corepressor_carrier,,,already_analyzed
NCOA1,hormone,coactivator_corepressor_carrier,already_run,endocrine pathway: coactivator_corepressor_carrier,,,already_analyzed
NCOA2,hormone,coactivator_corepressor_carrier,already_run,endocrine pathway: coactivator_corepressor_carrier,,,already_analyzed
NCOA3,hormone,coactivator_corepressor_carrier,already_run,endocrine pathway: coactivator_corepressor_carrier,,,already_analyzed
NCOR1,hormone,coactivator_corepressor_carrier,already_run,endocrine pathway: coactivator_corepressor_carrier,,,already_analyzed
NCOR2,hormone,coactivator_corepressor_carrier,already_run,endocrine pathway: coactivator_corepressor_carrier,,,already_analyzed
SHBG,hormone,coactivator_corepressor_carrier,already_run,endocrine pathway: coactivator_corepressor_carrier,,,already_analyzed
AP3B1,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;melanosome-proteome;CRISPR-screen,12.0,0.0,clean
AP3D1,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;melanosome-proteome;CRISPR-screen,12.0,0.0,clean
BCL2,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism,11.0,2.0,paralog_check
BLOC1S3,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,7.0,0.0,low_ortholog_cov
BLOC1S5,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,9.0,0.0,low_ortholog_cov
BLOC1S6,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,12.0,0.0,clean
CDC42,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism;melanosome-proteome,12.0,0.0,clean
CDH2,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism;melanosome-proteome,12.0,0.0,clean
CTNNB1,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism;melanosome-proteome,12.0,0.0,clean
CTNS,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018,12.0,0.0,clean
EDN1,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism,12.0,2.0,paralog_check
