gene,dark_matter_class,track_a_resolution_class,rsid,nearest_gene_label,likely_functional_target,target_in_168_network,pigmentation_traits,eqtl_target_gene,eqtl_dataset_pvalue,case_papers,evidence_citation,notes
MFSD12,genuinely_novel,genuinely_novel,rs2240751,MFSD12,MFSD12 - (self; functionally validated melanosome pH/lysosome regulator),False,facial pigmentation (polar/UV light); skin pigmentation; cutaneous melanoma,"CACTIN (weak, GTEx_fibroblast p=0.023; not dominant over self)",GTEx_fibroblast QTD000216 (CACTIN) p=0.0226,Crawford2017_Science_AfricanPigmentation,"PMID:29489754 (Crawford et al. 2017, Science) - MFSD12 knockdown/knockout in zebrafish and mouse alters pigmentation","MFSD12 is a functionally validated causal pigmentation gene independent of eQTL evidence - correctly labeled, just absent from the 168-gene network. The weak CACTIN eQTL signal does not override direct functional evidence for MFSD12 itself."
PKHD1,genuinely_novel,genuinely_novel,rs9463733,PKHD1,PKHD1 - (self),False,hair color (strand of hair color; red vs brown/black),PKHD1 (self),"TwinsUK_skin QTD000544 p=3.03e-14 (dominant, self, over TRAM2/PAQR8/GSTA1 secondary hits)",Morgan2018_NatCommun_HairColour_MC1R,"eQTL Catalogue query (this project, TwinsUK skin dataset QTD000544)","PKHD1 is confirmed as its own eQTL target in skin (p=3e-14), dominant over all nearby genes queried. Correctly-labeled locus; PKHD1 itself is simply absent from the 168-gene network."
SLC24A4,genuinely_novel,genuinely_novel,rs941799,SLC24A4,"SLC24A4 - (self; established melanosomal cation exchanger, paralog of SLC24A5)",False,hair color (blond vs brown/black); eye color; suntan,SLC24A4 self not significant in queried bulk datasets; ATXN3 secondary hit weak/not dominant,"GTEx_fibroblast QTD000216 (ATXN3) p=0.037 (secondary, not dominant)",Abbatangelo2026_SciRep_eyecolour_discordance;Meyer2020_PLoSONE_GGbrowneyes;Pospiech2016_IntJLegalMed_IrisPlex_population,"Sulem et al. 2007, Nat Genet 39:1443 (established GWAS hair/eye-colour gene)","SLC24A4 is an established, functionally-plausible causal pigmentation gene; no significant bulk-tissue eQTL redirect to a different network gene was found. Correctly-labeled; simply absent from the 168-gene network."
TSPAN10,genuinely_novel,genuinely_novel,rs9747347,NPLOC4 / TSPAN10 (dual-mapped),TSPAN10 - (self),False,hair color (strand of hair color); eye color,TSPAN10 (self),"GTEx_fibroblast QTD000216 p<1e-300; GTEx_skin_suprapubic QTD000311 p<1e-300 (dominant, self, across all 5 datasets)",Abbatangelo2026_SciRep_eyecolour_discordance;Morgan2018_NatCommun_HairColour_MC1R,eQTL Catalogue query (this project),"TSPAN10 is co-mapped with NPLOC4 by the GWAS Catalog pipeline at this locus. Our eQTL query confirms TSPAN10 itself as the dominant target gene (self-eQTL p<1e-300 across every skin/fibroblast dataset). TSPAN10 is the better-supported causal gene at this locus relative to NPLOC4, but TSPAN10 itself remains outside the 168-gene network."
NPLOC4,redirects_to_other_gene,resolves_to_other_gene,rs9747347,NPLOC4,"TSPAN10 - (dominant skin/fibroblast eQTL target, co-mapped locus)",False,hair color (strand of hair color); eye color,TSPAN10,GTEx_fibroblast QTD000216 p<1e-300; GTEx_skin_suprapubic QTD000311 p<1e-300; consistent across TwinsUK/GENCORD,Abbatangelo2026_SciRep_eyecolour_discordance,"eQTL Catalogue query (this project, GTEx v8 + TwinsUK + GENCORD skin/fibroblast datasets)","NPLOC4 and TSPAN10 share the same GWAS-mapped variants at this locus. Our eQTL query shows TSPAN10 as the dominant, highly significant target across every skin/fibroblast dataset queried, while NPLOC4 itself does not appear among top hits. TSPAN10 is itself dark-matter (absent from network), so this locus does not collapse into an EXISTING network node, but TSPAN10 is the better-supported functional target relative to NPLOC4."
SIK1,redirects_to_other_gene,resolves_to_other_gene,rs672948,SIK1,"LINC01679 - (non-coding RNA; dominant eQTL target, not eligible for the protein-coding 168-gene network)",False,hair color (strand of hair color); eye color,LINC01679 (long non-coding RNA),"TwinsUK_skin QTD000544 p=1.17e-10; GTEx_fibroblast QTD000216 p=1.95e-05 (dominant over SIK1 self, best p=1.3e-3)",Morgan2018_NatCommun_HairColour_MC1R,"eQTL Catalogue query (this project, TwinsUK skin + GTEx fibroblast)","SIK1's top pigmentation variant shows a dominant eQTL effect on the adjacent long non-coding RNA LINC01679, not on SIK1 itself (SIK1 self-eQTL ~2 orders of magnitude weaker). LINC01679 is non-coding and outside the scope of the protein-coding 168-gene network, so this locus does not collapse into an existing network node, but SIK1 is unlikely to be the functional target."
KALRN,signal_no_eQTL_redirect,no_regulatory_evidence_found,rs676091,KALRN,"none confidently identified - no dominant, trait-relevant eQTL signal for this variant",False,"skin pigmentation (single Chinese-population study, MAF 0.017); independently observed by Ang2023 in Kalinago cohort at the SAME rsid (MAF=0.017) but explicitly flagged as too rare/inconsistent with an AFR/NAM-differentiating causal allele and 'does NOT warrant further investigation'","UMPS (top hit, weak, GTEx_fibroblast); KALRN self does NOT appear among eQTL Catalogue rows for this rsid in any queried dataset",GTEx_fibroblast QTD000216 (UMPS) p=0.0459502; GTEx_skin_sun_exposed QTD000316 (UMPS) p=0.80481,Ang2023_eLife_Kalinago,"PMID:37294081 (Chen et al., single population-specific GWAS); Ang2023_eLife (independent low-MAF replication + explicit caution)","KALRN does carry a genuine pigmentation-trait GWAS hit (unlike ATRN/EMCN/MANBA/SLC39A8/TACR3), but at MAF=0.017 in a single population and independently flagged as unreliable in the case cohort. CORRECTION: an earlier draft of this row incorrectly attributed a 'KALRN self-eQTL p=0.010 (TwinsUK)' value to rs676091; re-verification of handoff/eqtl_results.json shows that self-eQTL value actually belongs to a DIFFERENT KALRN variant, rs2332719 (TwinsUK_skin QTD000544, p=0.0100798) - and rs2332719 is not itself a validated pigmentation variant (its GWAS hit is for educational attainment, not pigmentation, so it was correctly excluded from this table). rs676091 itself has zero KALRN self-eQTL rows in any queried dataset; its only eQTL hits are weak, non-dominant UMPS/OSBPL11 associations. Insufficient evidence for a network redirect."
MSX2,signal_no_eQTL_redirect,no_regulatory_evidence_found,rs4242182,MSX2,"MSX2 or SFXN1 - undetermined, no dominant eQTL redirect found",False,hair color (strand of hair color; blond vs brown/black),"SFXN1 (not significant across datasets, best p=0.033)","GTEx_fibroblast QTD000216 (SFXN1) p=0.033 (weak, not dominant)",Morgan2018_NatCommun_HairColour_MC1R,"PMID:30595370 (hair-colour GWAS; gene-label only, no mechanism paper located)","MSX2 carries a real, replicated hair-colour GWAS signal (genuine pigmentation trait), but neither MSX2 self nor neighboring SFXN1 shows a dominant, significant skin/fibroblast eQTL in datasets queried. Locus target remains unresolved."
SYT6,signal_no_eQTL_redirect,no_regulatory_evidence_found,rs183827287,SYT6,none identified - variant not present in queried eQTL panels at this allele frequency,False,"skin pigmentation (single study GCST90269965, MAF=0.012); independently observed by Ang2023 case cohort at a similar rare variant near the same locus, explicitly flagged as inconsistent with an AFR/NAM-differentiating pattern and 'does NOT warrant further investigation'",not tested - zero rows returned in all 5 queried eQTL Catalogue skin/fibroblast datasets (MAF too low for these panels),0 rows returned across QTD000316/544/311/100/216,Ang2023_eLife_Kalinago,"PMID:37294081; Ang2023_eLife (independent low-MAF pigmentation hit, same locus)","SYT6 carries a rare-variant (MAF~1-2%) pigmentation GWAS signal replicated independently in two population-specific studies, but was not testable in the eQTL Catalogue datasets queried (zero rows - insufficient allele frequency for these panels). No regulatory redirect evidence available at this MAF."
ATRN,LD_passenger_or_no_signal,no_pigmentation_GWAS_signal,"rs562926 (Quillen2012 candidate, retested in Ang2023)",ATRN,none identified - no pigmentation signal exists to resolve,False,"NO pigmentation GWAS trait in catalog (0/50 associations pigmentation-labeled). Candidate variant from Quillen 2012 retested directly in Kalinago cohort: BETA=0.85 MI, P_adj=0.14 (NOT significant).",not queried - no pigmentation GWAS signal to anchor an eQTL search,,Ang2023_eLife_Kalinago,"Ang2023_eLife (case-cohort direct retest); GWAS Catalog scan (this project, gwas_associations_for_gene)","ATRN carries no genome-wide-significant pigmentation GWAS association in the catalog scan. The one literature candidate variant, tested directly in the case cohort, was not significant. Its 50 catalog associations are for unrelated traits (e.g. colorectal cancer) with co-mapped genes that are NOT pigmentation-linked."
EMCN,LD_passenger_or_no_signal,no_pigmentation_GWAS_signal,"rs3733437 (chr4 IBD-block candidate, Ang2023)",EMCN,none identified - no pigmentation signal exists to resolve,False,"NO pigmentation GWAS trait in catalog (0/128 associations pigmentation-labeled; top associations are COVID-19 susceptibility, brain iron levels, drug response). EMCN's GWAS co-mapping with PPP3CA occurs ONLY via these UNRELATED traits, not any pigmentation signal - PPP3CA is NOT implicated as a pigmentation target through EMCN's GWAS record.",not queried - no pigmentation GWAS signal to anchor an eQTL search,,Ang2023_eLife_Kalinago,Ang2023_eLife (case-cohort direct retest); GWAS Catalog scan (this project),"EMCN sits within a chr4 segment that was homozygous-by-descent in one albino individual by shared ancestry, not causality, and was excluded by the source paper. No independent pigmentation GWAS signal exists in the catalog for EMCN; the PPP3CA co-mapping seen for some EMCN association rows is driven by iron-level and drug-response traits, not pigmentation, so PPP3CA is NOT treated as a resolved target here despite being in-network."
LTO1,LD_passenger_or_no_signal,no_pigmentation_GWAS_signal,,LTO1,none identified - no pigmentation signal exists to resolve,False,NO pigmentation GWAS trait in catalog (0/52 associations pigmentation-labeled),not queried - no pigmentation GWAS signal,,Morgan2018_NatCommun_HairColour_MC1R,"GWAS Catalog scan (this project, gwas_associations_for_gene)",No pigmentation-trait GWAS association for LTO1 found in the catalog scan. Listed as a hair-colour candidate by the source case paper (Morgan2018) but no locus-level pigmentation record was found/replicated in our direct catalog query.
MANBA,LD_passenger_or_no_signal,no_pigmentation_GWAS_signal,"rs227284 (chr4 IBD-block candidate, Ang2023)",MANBA,none identified - strong self-eQTL exists but no pigmentation trait to attach it to,False,"NO pigmentation GWAS trait in catalog (0/93 associations pigmentation-labeled; top associations are ADHD, substance-use disorder, brain iron). MANBA's GWAS co-mapping with NFKB1/UBE2D3 occurs ONLY via these UNRELATED traits, not any pigmentation signal.","MANBA (self, strong constitutive eQTL, p~0 in fibroblast/GENCORD) but this is unrelated to any pigmentation trait - no trait to anchor it to",GTEx_fibroblast QTD000216 p<1e-300; GENCORD_fibroblast QTD000100 p<1e-300 (self; not trait-anchored),Ang2023_eLife_Kalinago,Ang2023_eLife (case-cohort direct retest); GWAS Catalog scan (this project),"MANBA has a very strong constitutive self-eQTL, but no pigmentation-trait GWAS association exists to make that eQTL relevant. Its chr4 candidacy in the case cohort was chance co-location in an excluded IBD block. NFKB1/UBE2D3 co-mapping is via unrelated traits (ADHD, brain iron), not pigmentation."
SLC39A8,LD_passenger_or_no_signal,no_pigmentation_GWAS_signal,,SLC39A8,none identified - no pigmentation signal exists to resolve,False,"NO pigmentation GWAS trait in catalog (0/500 capped-of-1578 associations pigmentation-labeled; top associations are substance-use disorder, brain iron, blood pressure). Kalinago-cohort candidate 3'UTR SNP co-segregating with unrelated chr4 homozygous-by-descent block; explicitly ruled NOT causal.",not queried - no pigmentation GWAS signal,,Ang2023_eLife_Kalinago,Ang2023_eLife (case-cohort direct retest); GWAS Catalog scan (this project),"SLC39A8 is a well-known pleiotropic metal-transporter gene with major GWAS hits for many traits, but no genome-wide-significant pigmentation association was found in the top 500 (of 1578 total) associations checked. The one candidate variant tested in the case cohort was excluded as non-causal."
TACR3,LD_passenger_or_no_signal,no_pigmentation_GWAS_signal,,TACR3,none identified - no pigmentation signal exists to resolve,False,"NO pigmentation GWAS trait in catalog (0/63 associations pigmentation-labeled). The only near-keyword hits are 'color vision disorder' (Tritan/Deutan-Protan defects) - a distinct retinal photoreceptor trait, NOT skin/hair/eye pigmentation. Kalinago-cohort candidate 5'UTR SNP co-segregating with unrelated chr4 homozygous-by-descent block; explicitly ruled NOT causal.",not queried - no pigmentation GWAS signal,,Ang2023_eLife_Kalinago,Ang2023_eLife (case-cohort direct retest); GWAS Catalog scan (this project),"TACR3's only catalog hits near a pigmentation-adjacent keyword are for colour-VISION defects (photoreceptor trait), a distinct phenotype from skin/hair/eye pigmentation. No genuine pigmentation GWAS signal found."
