gene_a,gene_b,raghunath_sign,raghunath_citation,both_string_mappable,string_edge_present_score700,citation,citation_source
ADCY4,PRKACA,+,relayed via cAMP_melan (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via cAMP_melan (backbone-derived; see topology layer),string_db+inherited_backbone
ADCY4,RAP1A,+,relayed via cAMP_melan (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via cAMP_melan (backbone-derived; see topology layer),string_db+inherited_backbone
AKT1,BAD,-,PMID:16888633; PMID:16932738,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:16888633; PMID:16932738,string_db+inherited_backbone
AKT1,CASP8,-,NetProTM (Molecular Connections curated interaction DB); PMID:12952968,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:12952968,string_db+inherited_backbone
AKT1,CREB1,+,PMID:10761990,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:10761990,string_db+inherited_backbone
AKT1,CTNNB1,+,PMID:21802267,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:21802267,string_db+inherited_backbone
AKT1,EZR,+,PMID:18983538,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18983538,string_db+inherited_backbone
AKT1,FOS,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
AKT1,GSK3B,-,PMID:12489109; PMID:14632202,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12489109; PMID:14632202,string_db+inherited_backbone
AKT1,MSN,+,PMID:18983538,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18983538,string_db+inherited_backbone
AKT1,RDX,+,PMID:18983538,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18983538,string_db+inherited_backbone
BAD,CYCS,+,PMID:14678993; PMID:16932738,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:14678993; PMID:16932738,string_db+inherited_backbone
BAK1,CYCS,+,PMID:16901898,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:16901898,string_db+inherited_backbone
BAX,CYCS,+,NetProTM (Molecular Connections curated interaction DB); PMID:15304079,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:15304079,string_db+inherited_backbone
BAX,BBC3,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
BAX,BCL2,-,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
BID,CYCS,+,PMID:20019748,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:20019748,string_db+inherited_backbone
CASP3,CDKN1A,-,PMID:9660939,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:9660939,string_db+inherited_backbone
