gene,species,state
AKR1C1,Hylobates_muelleri,dichromatic
AKR1C1,Hylobates_agilis,monochromatic
AKR1C1,Nomascus_gabriellae,dichromatic
AKR1C1,Hylobates_pileatus,dichromatic
AKR1C1,Hylobates_klossii,monochromatic
AKR1C1,Nomascus_concolor,dichromatic
AKR1C2,Hylobates_muelleri,dichromatic
AKR1C2,Hylobates_agilis,monochromatic
AKR1C2,Nomascus_gabriellae,dichromatic
AKR1C2,Hylobates_pileatus,dichromatic
AKR1C2,Hylobates_klossii,monochromatic
AKR1C2,Nomascus_concolor,dichromatic
AKR1C3,Hylobates_muelleri,dichromatic
AKR1C3,Hylobates_agilis,monochromatic
AKR1C3,Nomascus_gabriellae,dichromatic
AKR1C3,Hylobates_pileatus,dichromatic
AKR1C3,Hylobates_klossii,monochromatic
AKR1C3,Nomascus_concolor,dichromatic
AKR1C4,Hylobates_muelleri,dichromatic
AKR1C4,Hylobates_agilis,monochromatic
AKR1C4,Nomascus_gabriellae,dichromatic
AKR1C4,Hylobates_pileatus,dichromatic
AKR1C4,Hylobates_moloch,monochromatic
AKR1C4,Hylobates_klossii,monochromatic
AKR1C4,Nomascus_concolor,dichromatic
AKR1C8,Hylobates_muelleri,dichromatic
AKR1C8,Hylobates_agilis,monochromatic
AKR1C8,Nomascus_gabriellae,dichromatic
AKR1C8,Hylobates_pileatus,dichromatic
AKR1C8,Hylobates_moloch,monochromatic
AKR1C8,Hylobates_klossii,monochromatic
AKR1C8,Nomascus_concolor,dichromatic
AR,Nomascus_leucogenys,dichromatic
AR,Hylobates_muelleri,dichromatic
AR,Hylobates_agilis,monochromatic
AR,Nomascus_gabriellae,dichromatic
AR,Hylobates_pileatus,dichromatic
AR,Hylobates_moloch,monochromatic
AR,Hylobates_klossii,monochromatic
AR,Symphalangus_syndactylus,monochromatic
AR,Nomascus_concolor,dichromatic
BNC2,Nomascus_leucogenys,dichromatic
BNC2,Hylobates_muelleri,dichromatic
BNC2,Hylobates_agilis,monochromatic
BNC2,Nomascus_gabriellae,dichromatic
BNC2,Hylobates_moloch,monochromatic
BNC2,Hylobates_klossii,monochromatic
BNC2,Symphalangus_syndactylus,monochromatic
BNC2,Nomascus_concolor,dichromatic
CGA,Nomascus_leucogenys,dichromatic
CGA,Hylobates_muelleri,dichromatic
CGA,Hylobates_agilis,monochromatic
CGA,Nomascus_gabriellae,dichromatic
CGA,Hylobates_pileatus,dichromatic
CGA,Hylobates_moloch,monochromatic
CGA,Hylobates_klossii,monochromatic
CGA,Symphalangus_syndactylus,monochromatic
CGA,Nomascus_concolor,dichromatic
CYP11A1,Hylobates_muelleri,dichromatic
CYP11A1,Hylobates_agilis,monochromatic
CYP11A1,Nomascus_gabriellae,dichromatic
CYP11A1,Hylobates_pileatus,dichromatic
CYP11A1,Hylobates_klossii,monochromatic
CYP11A1,Symphalangus_syndactylus,monochromatic
CYP11A1,Nomascus_concolor,dichromatic
CYP11B1,Hylobates_muelleri,dichromatic
CYP11B1,Hylobates_agilis,monochromatic
CYP11B1,Nomascus_gabriellae,dichromatic
CYP11B1,Hylobates_pileatus,dichromatic
CYP11B1,Hylobates_klossii,monochromatic
CYP11B1,Nomascus_concolor,dichromatic
CYP11B2,Hylobates_muelleri,dichromatic
CYP11B2,Hylobates_agilis,monochromatic
CYP11B2,Nomascus_gabriellae,dichromatic
CYP11B2,Hylobates_pileatus,dichromatic
CYP11B2,Hylobates_klossii,monochromatic
CYP11B2,Symphalangus_syndactylus,monochromatic
CYP11B2,Nomascus_concolor,dichromatic
CYP19A1,Hylobates_muelleri,dichromatic
CYP19A1,Hylobates_agilis,monochromatic
CYP19A1,Nomascus_gabriellae,dichromatic
CYP19A1,Hylobates_pileatus,dichromatic
CYP19A1,Hylobates_klossii,monochromatic
CYP19A1,Symphalangus_syndactylus,monochromatic
CYP19A1,Nomascus_concolor,dichromatic
CYP21A2,Hylobates_muelleri,dichromatic
CYP21A2,Hylobates_agilis,monochromatic
CYP21A2,Nomascus_gabriellae,dichromatic
CYP21A2,Hylobates_pileatus,dichromatic
CYP21A2,Hylobates_klossii,monochromatic
CYP21A2,Symphalangus_syndactylus,monochromatic
CYP21A2,Nomascus_concolor,dichromatic
CYP7B1,Hylobates_muelleri,dichromatic
CYP7B1,Hylobates_agilis,monochromatic
CYP7B1,Nomascus_gabriellae,dichromatic
CYP7B1,Hylobates_pileatus,dichromatic
CYP7B1,Hylobates_klossii,monochromatic
CYP7B1,Symphalangus_syndactylus,monochromatic
CYP7B1,Nomascus_concolor,dichromatic
DCT,Nomascus_leucogenys,dichromatic
DCT,Hylobates_muelleri,dichromatic
DCT,Hylobates_agilis,monochromatic
DCT,Nomascus_gabriellae,dichromatic
DCT,Hylobates_pileatus,dichromatic
DCT,Hylobates_moloch,monochromatic
DCT,Hylobates_klossii,monochromatic
DCT,Symphalangus_syndactylus,monochromatic
DCT,Nomascus_concolor,dichromatic
EDN3,Nomascus_leucogenys,dichromatic
EDN3,Hylobates_muelleri,dichromatic
EDN3,Hylobates_agilis,monochromatic
EDN3,Nomascus_gabriellae,dichromatic
EDN3,Hylobates_pileatus,dichromatic
EDN3,Hylobates_klossii,monochromatic
EDN3,Symphalangus_syndactylus,monochromatic
EDN3,Nomascus_concolor,dichromatic
EDNRB,Nomascus_leucogenys,dichromatic
EDNRB,Hylobates_muelleri,dichromatic
EDNRB,Hylobates_agilis,monochromatic
EDNRB,Nomascus_gabriellae,dichromatic
EDNRB,Hylobates_pileatus,dichromatic
EDNRB,Hylobates_moloch,monochromatic
EDNRB,Hylobates_klossii,monochromatic
EDNRB,Symphalangus_syndactylus,monochromatic
EDNRB,Nomascus_concolor,dichromatic
ESR1,Nomascus_leucogenys,dichromatic
ESR1,Hylobates_muelleri,dichromatic
ESR1,Hylobates_agilis,monochromatic
ESR1,Nomascus_gabriellae,dichromatic
ESR1,Hylobates_pileatus,dichromatic
ESR1,Hylobates_klossii,monochromatic
ESR1,Symphalangus_syndactylus,monochromatic
ESR1,Nomascus_concolor,dichromatic
ESR2,Nomascus_leucogenys,dichromatic
ESR2,Hylobates_muelleri,dichromatic
ESR2,Hylobates_agilis,monochromatic
ESR2,Nomascus_gabriellae,dichromatic
ESR2,Hylobates_pileatus,dichromatic
ESR2,Hylobates_moloch,monochromatic
ESR2,Hylobates_klossii,monochromatic
ESR2,Symphalangus_syndactylus,monochromatic
ESR2,Nomascus_concolor,dichromatic
FKBP5,Nomascus_leucogenys,dichromatic
FKBP5,Hylobates_muelleri,dichromatic
FKBP5,Hylobates_agilis,monochromatic
FKBP5,Nomascus_gabriellae,dichromatic
FKBP5,Hylobates_pileatus,dichromatic
FKBP5,Hylobates_moloch,monochromatic
FKBP5,Hylobates_klossii,monochromatic
FKBP5,Symphalangus_syndactylus,monochromatic
FKBP5,Nomascus_concolor,dichromatic
FOXD3,Nomascus_leucogenys,dichromatic
FOXD3,Hylobates_muelleri,dichromatic
FOXD3,Hylobates_agilis,monochromatic
FOXD3,Nomascus_gabriellae,dichromatic
FOXD3,Hylobates_pileatus,dichromatic
FOXD3,Hylobates_moloch,monochromatic
FOXD3,Hylobates_klossii,monochromatic
FOXD3,Symphalangus_syndactylus,monochromatic
FOXD3,Nomascus_concolor,dichromatic
FSHB,Nomascus_leucogenys,dichromatic
FSHB,Hylobates_muelleri,dichromatic
FSHB,Hylobates_agilis,monochromatic
FSHB,Nomascus_gabriellae,dichromatic
FSHB,Hylobates_pileatus,dichromatic
FSHB,Hylobates_moloch,monochromatic
FSHB,Hylobates_klossii,monochromatic
FSHB,Symphalangus_syndactylus,monochromatic
FSHB,Nomascus_concolor,dichromatic
FSHR,Nomascus_leucogenys,dichromatic
FSHR,Hylobates_muelleri,dichromatic
FSHR,Hylobates_agilis,monochromatic
FSHR,Nomascus_gabriellae,dichromatic
FSHR,Hylobates_pileatus,dichromatic
FSHR,Hylobates_moloch,monochromatic
FSHR,Hylobates_klossii,monochromatic
FSHR,Symphalangus_syndactylus,monochromatic
FSHR,Nomascus_concolor,dichromatic
GNA11,Nomascus_leucogenys,dichromatic
GNA11,Nomascus_gabriellae,dichromatic
GNA11,Hylobates_pileatus,dichromatic
GNA11,Hylobates_moloch,monochromatic
GNA11,Symphalangus_syndactylus,monochromatic
GNA11,Nomascus_concolor,dichromatic
GNAQ,Nomascus_leucogenys,dichromatic
GNAQ,Nomascus_gabriellae,dichromatic
GNAQ,Hylobates_pileatus,dichromatic
GNAQ,Hylobates_moloch,monochromatic
GNAQ,Symphalangus_syndactylus,monochromatic
GNAQ,Nomascus_concolor,dichromatic
GNRH1,Nomascus_leucogenys,dichromatic
GNRH1,Hylobates_muelleri,dichromatic
GNRH1,Hylobates_agilis,monochromatic
GNRH1,Nomascus_gabriellae,dichromatic
GNRH1,Hylobates_pileatus,dichromatic
GNRH1,Hylobates_moloch,monochromatic
GNRH1,Hylobates_klossii,monochromatic
GNRH1,Symphalangus_syndactylus,monochromatic
GNRH1,Nomascus_concolor,dichromatic
GNRH2,Hylobates_muelleri,dichromatic
GNRH2,Hylobates_agilis,monochromatic
GNRH2,Nomascus_gabriellae,dichromatic
GNRH2,Hylobates_pileatus,dichromatic
GNRH2,Hylobates_klossii,monochromatic
GNRH2,Nomascus_concolor,dichromatic
GNRHR,Nomascus_leucogenys,dichromatic
GNRHR,Hylobates_muelleri,dichromatic
GNRHR,Hylobates_agilis,monochromatic
GNRHR,Nomascus_gabriellae,dichromatic
GNRHR,Hylobates_pileatus,dichromatic
GNRHR,Hylobates_moloch,monochromatic
GNRHR,Hylobates_klossii,monochromatic
GNRHR,Symphalangus_syndactylus,monochromatic
GNRHR,Nomascus_concolor,dichromatic
GPER1,Nomascus_leucogenys,dichromatic
GPER1,Hylobates_muelleri,dichromatic
GPER1,Hylobates_agilis,monochromatic
GPER1,Nomascus_gabriellae,dichromatic
GPER1,Hylobates_pileatus,dichromatic
GPER1,Hylobates_moloch,monochromatic
GPER1,Hylobates_klossii,monochromatic
GPER1,Symphalangus_syndactylus,monochromatic
GPER1,Nomascus_concolor,dichromatic
HERC2,Nomascus_leucogenys,dichromatic
HERC2,Hylobates_muelleri,dichromatic
HERC2,Hylobates_agilis,monochromatic
HERC2,Nomascus_gabriellae,dichromatic
HERC2,Hylobates_moloch,monochromatic
HERC2,Hylobates_klossii,monochromatic
HERC2,Symphalangus_syndactylus,monochromatic
HERC2,Nomascus_concolor,dichromatic
HSD17B11,Nomascus_leucogenys,dichromatic
HSD17B11,Hylobates_muelleri,dichromatic
HSD17B11,Hylobates_agilis,monochromatic
HSD17B11,Nomascus_gabriellae,dichromatic
HSD17B11,Hylobates_pileatus,dichromatic
HSD17B11,Hylobates_moloch,monochromatic
HSD17B11,Hylobates_klossii,monochromatic
HSD17B11,Symphalangus_syndactylus,monochromatic
HSD17B11,Nomascus_concolor,dichromatic
