node1,node2,combined_score,citation,citation_source
ABL1,MLH1,0.735,PMC9854651,pmcid
ABL1,CDK4,0.922,PMC9854651,pmcid
ABL1,MDM2,0.991,PMC9854651,pmcid
ABL1,TP63,0.928,PMC9854651,pmcid
ABL1,NRP1,0.906,PMC9854651,pmcid
ABL1,CDK6,0.919,PMC9854651,pmcid
ABL1,CDK2,0.925,PMC9854651,pmcid
ABL1,TP53,0.99,PMC9854651,pmcid
ABL1,CCNA2,0.933,PMC9854651,pmcid
ABL1,EGFR,0.89,PMC9854651,pmcid
ABL1,NTRK2,0.847,PMC9854651,pmcid
ABL1,ATM,0.999,PMC9854651,pmcid
ABL1,TERT,0.953,PMC9854651,pmcid
ABL1,HSP90AA1,0.974,PMC9854651,pmcid
ABL1,LCK,0.907,PMC9854651,pmcid
ABL1,CTNNB1,0.992,PMC9854651,pmcid
ABL1,RAD52,0.955,PMC9854651,pmcid
ABL1,JUN,0.856,PMC9854651,pmcid
ABL1,PTPN1,0.957,PMC9854651,pmcid
ABL1,YWHAZ,0.747,PMC9854651,pmcid
ABL1,BRCA1,0.788,PMC9854651,pmcid
ABL1,PIK3R1,0.921,PMC9854651,pmcid
ABL1,CYFIP1,0.939,PMC9854651,pmcid
ABL1,SOS1,0.953,PMC9854651,pmcid
ABL1,CDKN2A,0.962,PMC9854651,pmcid
ABL1,GRB2,0.99,PMC9854651,pmcid
ABL1,RAD51,0.999,PMC9854651,pmcid
ACD,OBFC1,0.907,PMC9854651,pmcid
ACD,GAR1,0.774,PMC9854651,pmcid
ACD,TERF2,0.99,PMC9854651,pmcid
ACD,CDK2,0.9,PMC9854651,pmcid
ACD,TINF2,0.999,PMC9854651,pmcid
ACD,CCNA2,0.9,PMC9854651,pmcid
ACD,NHP2,0.792,PMC9854651,pmcid
ACD,TERF1,0.999,PMC9854651,pmcid
ACD,WRN,0.937,PMC9854651,pmcid
ACD,TERF2IP,0.997,PMC9854651,pmcid
ACD,TERT,0.932,PMC9854651,pmcid
ACD,CTC1,0.891,PMC9854651,pmcid
ACD,WRAP53,0.78,PMC9854651,pmcid
ACD,NOP10,0.793,PMC9854651,pmcid
ACD,BLM,0.924,PMC9854651,pmcid
ACD,POT1,0.999,PMC9854651,pmcid
ACD,XRCC6,0.788,PMC9854651,pmcid
ACD,RTEL1,0.765,PMC9854651,pmcid
ACD,DKC1,0.778,PMC9854651,pmcid
ACD,TEN1,0.919,PMC9854651,pmcid
ADAM10,PSEN2,0.809,PMC9854651,pmcid
ADAM10,PSENEN,0.81,PMC9854651,pmcid
ADAM10,EGFR,0.824,PMC9854651,pmcid
ADAM10,APH1A,0.826,PMC9854651,pmcid
ADAM10,KDR,0.829,PMC9854651,pmcid
ADAM10,PSEN1,0.907,PMC9854651,pmcid
ADAM10,NCSTN,0.915,PMC9854651,pmcid
ADAM10,CTNNB1,0.949,PMC9854651,pmcid
ADAR,IRF4,0.902,PMC9854651,pmcid
ADAR,HLA-B,0.904,PMC9854651,pmcid
ADAR,IRF3,0.944,PMC9854651,pmcid
AP3B1,BLOC1S6,0.757,PMC9854651,pmcid
AP3B1,RAF1,0.904,PMC9854651,pmcid
AP3B1,KSR1,0.708,PMC9854651,pmcid
AP3B1,DTNBP1,0.729,PMC9854651,pmcid
AP3B1,HPS3,0.75,PMC9854651,pmcid
AP3B1,LYST,0.772,PMC9854651,pmcid
AP3B1,HPS4,0.772,PMC9854651,pmcid
AP3B1,RAB5C,0.901,PMC9854651,pmcid
AP3B1,JAK2,0.901,PMC9854651,pmcid
AP3B1,SNAPIN,0.947,PMC9854651,pmcid
AP3B1,AP3S1,0.999,PMC9854651,pmcid
AP3B1,AP3M1,0.999,PMC9854651,pmcid
AP3B1,AP3D1,0.999,PMC9854651,pmcid
AP3D1,AP3S1,0.999,PMC9854651,pmcid
AP3D1,AP3M1,0.999,PMC9854651,pmcid
AP3M1,AP3S1,0.99,PMC9854651,pmcid
AP3S1,RAB5C,0.931,PMC9854651,pmcid
AP3S1,SNAPIN,0.938,PMC9854651,pmcid
APC2,SKP1,0.813,PMC9854651,pmcid
APC2,CTNNB1,0.998,PMC9854651,pmcid
APH1A,NCSTN,0.999,PMC9854651,pmcid
APH1A,PSEN1,0.999,PMC9854651,pmcid
APH1A,CTNNB1,0.92,PMC9854651,pmcid
APH1A,PSEN2,0.999,PMC9854651,pmcid
APH1A,ARRB2,0.9,PMC9854651,pmcid
APH1A,TRAF6,0.9,PMC9854651,pmcid
APH1A,PSENEN,0.999,PMC9854651,pmcid
APITD1,FANCE,0.995,PMC9854651,pmcid
APITD1,FANCM,0.999,PMC9854651,pmcid
APITD1,FANCD2,0.838,PMC9854651,pmcid
APITD1,FANCC,0.995,PMC9854651,pmcid
APITD1,SLX4,0.794,PMC9854651,pmcid
APITD1,ERCC4,0.704,PMC9854651,pmcid
APITD1,FANCI,0.855,PMC9854651,pmcid
APITD1,RPA2,0.968,PMC9854651,pmcid
APITD1,C1ORF86,0.981,PMC9854651,pmcid
APITD1,FANCB,0.996,PMC9854651,pmcid
APITD1,FANCL,0.996,PMC9854651,pmcid
APITD1,C19ORF40,0.999,PMC9854651,pmcid
APITD1,TOP3A,0.999,PMC9854651,pmcid
APITD1,BLM,0.999,PMC9854651,pmcid
APITD1,RMI1,0.999,PMC9854651,pmcid
APITD1,C17ORF70,0.999,PMC9854651,pmcid
APITD1,FANCA,0.999,PMC9854651,pmcid
APITD1,FANCG,0.999,PMC9854651,pmcid
APITD1,STRA13,0.999,PMC9854651,pmcid
APITD1,FANCF,0.999,PMC9854651,pmcid
ARRB2,MAPK1,0.996,PMC9854651,pmcid
ARRB2,NFKBIA,0.999,PMC9854651,pmcid
ARRB2,NFKB1,0.91,PMC9854651,pmcid
ARRB2,SMO,0.992,PMC9854651,pmcid
ARRB2,RAF1,0.924,PMC9854651,pmcid
ARRB2,KRAS,0.735,PMC9854651,pmcid
ARRB2,MDM2,0.997,PMC9854651,pmcid
ARRB2,PEBP1,0.927,PMC9854651,pmcid
ARRB2,SLC9A3R1,0.931,PMC9854651,pmcid
ARRB2,IGF1R,0.755,PMC9854651,pmcid
ARRB2,EGFR,0.746,PMC9854651,pmcid
ARRB2,BRAF,0.844,PMC9854651,pmcid
ARRB2,MC4R,0.719,PMC9854651,pmcid
