gene,disease_name,inheritance,phenotype_mim,phenotype_class,pigmentation_phenotype,source,citation,citation_source
ABCB6,Dyschromatosis universalis hereditaria 3,AD,615402,Mixed,"Irregularly shaped asymptomatic hyper- and hypopigmented macules that appear in infancy or early childhood and occur in a generalized distribution over the trunk, limbs, and sometimes the face. Involvement of the palms or soles is unusual. Abnormalities of hair and nails have been reported.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ABCC9,Hypertrichotic osteochondrodysplasia / Cantu syndrome,AD,239850,Hyperpigmentation,"Congenital diffuse hypertrichosis (head and body hair), punctate palmoplantar keratosis and lentiginosis (lentigines in the face, forearms, back of hands and feet)","Yamaguchi gene list, OMIM",PMC9854651,pmcid
ACD,"Dyskeratosis congenita, autosomal dominant 6, autosomal recessive 7","AD, AR",616553,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.",OMIM,PMC9854651,pmcid
ADAM10,Reticulate acropigmentation of Kitamura,AD,615537,Hyperpigmentation,"Reticulate, slightly depressed, sharply demarcated brown macules without hypopigmentation, affecting the dorsa of the hands and feet in the first or second decade of life. The macules gradually darken and extend to the proximal regions of the extremities; progression of the eruptions stops in middle age. The increased pigmentation is found on the flexor aspects of the wrists, neck, patella, and olecranon.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ADAR,Aicardi-Goutieres syndrome 6,AR,615010,Hyperpigmentation,Cutaneous pigmentation with freckling of the face and hands,OMIM,PMC9854651,pmcid
ADAR,Dyschromatosis symmetrica hereditaria,AD,127400,Mixed,"Asymptomatic, pinpoint, pea-sized hyperpigmented and hypopigmented macules on the backs of the hands and the tops of the feet. The face is spared apart from a few scattered small discrete pigmented macules.","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ADO,Vogt-Koyanagi-Harada disease,Acquired,,Hypopigmentation,Cutaneous and perilimbal vitiligo (also known as Sugiura's sign); whitening (loss of pigmentation) of the hair and eyelashes (poliosis),OpenTargets gene list,PMC9854651,pmcid
ADPRH,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
ALG11,Wilson disease,Congenital,277900,Hyperpigmentation,Unusually dark skin patches (hypermelanotic pigmentation),"OpenTargets gene list, OMIM",PMC9854651,pmcid
AP3B1,Hermansky-Pudlak syndrome type 2,AR,608233,Hypopigmentation,Oculocutaneous albinism,"Yamaguchi gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
AP3D1,Hermansky-Pudlak syndrome type 10,AR,617050,Hypopigmentation,Oculocutaneous albinism,"OpenTargets gene list, OMIM",PMC9854651,pmcid
APC2,"Intellectual developmental disorder, autosomal recessive 74 (Sotos syndrome 3)",AR,617169,Hyperpigmentation,Pigmentary spotting of the genitalia,"OpenTargets gene list, OMIM",PMC9854651,pmcid
ARID5B,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
ATM,Ataxia-telangiectasia,AR,208900,Mixed,"Pigmentary anomalies included café-au-lait macules, hypopigmented macules, and melanocytic nevi","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ATP7A,Menkes disease,XLR,309400,Hypopigmentation,Depigmentation of hair and skin pallor,"Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ATP7B,Wilson disease,AR,277900,Hyperpigmentation,Unusually dark skin patches (hypermelanotic pigmentation),"Yamaguchi gene list, OpenTargets gene list, OMIM",PMC9854651,pmcid
ATXN2,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
BACH2,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
BCL2L11,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
BCL2L12,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
BIVM,"Xeroderma pigmentosum, group G",AR,278780,Mixed,Pigmented or depigmented macules and patches,"OpenTargets gene list, OMIM",PMC9854651,pmcid
BIVM,"Xeroderma pigmentosum, variant type",AR,278750,Mixed,Pigmented or depigmented macules and patches,"OpenTargets gene list, OMIM",PMC9854651,pmcid
BLM,Bloom syndrome,AR,210900,Mixed," Sun-sensitive, telangiectatic, hypo- and hyperpigmented skin","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
BLOC1S3,Hermansky-Pudlak syndrome type 8,AR,614077,Hypopigmentation,Oculocutaneous albinism,"OpenTargets gene list, OMIM",PMC9854651,pmcid
BLOC1S3,neurofibromatosis type 1,AR,614077,Hypopigmentation,Oculocutaneous albinism,OMIM,PMC9854651,pmcid
