gene,set,K,p_value,p_BH,LRT,n_tips,n_foreground,n_sites,pct_gaps
SRD5A1,hormone,0.1393558418278761,6.688110101293887e-07,0.0,24.70296795215017,4,2,275,4.64
ESR1,hormone,2.855419327917605,3.792842355709869e-05,0.0007,16.97233738085106,8,5,624,45.03
HSD17B2,hormone,12.24764979477817,0.003861567155879264,0.0426,8.347790095405799,9,5,387,26.61
CYP11B1,hormone,0.3074598692432083,0.004742292229388489,0.0426,7.975184507624363,6,4,504,38.49
STS,hormone,5.629043004916713,0.004937787735701415,0.0426,7.902083945989943,8,4,592,26.31
KISS1R,hormone,0.2278642301005478,0.005597077078460577,0.0429,7.675655078658565,9,5,401,1.22
AKR1C3,hormone,16.79982083273731,0.02943620714118966,0.1846,4.741919690893155,6,4,323,1.5
FKBP5,hormone,2.032095924793047,0.04317071115548188,0.2482,4.088704819312625,9,5,463,17.57
HSD17B8,hormone,2.657018931171549e-09,0.0472772014706877,0.2509,3.935495835045458,9,5,273,4.88
NCOA1,hormone,1.298688290733031,0.05537192534429047,0.2547,3.670850403495933,9,5,1451,27.24
AKR1C8,hormone,1.692537135044193,0.05976094535738841,0.2577,3.544006507054291,7,4,352,12.18
CYP7B1,hormone,0.6914836592474272,0.08134842703908418,0.3302,3.037753424117909,7,4,566,28.45
LHCGR,hormone,0.1445312012478697,0.09356982840871586,0.3587,2.811860030049502,9,5,702,19.07
CYP19A1,hormone,3.677043986531097,0.1191507186026077,0.4068,2.428449247601748,7,4,503,26.5
CYP21A2,hormone,7.483544569425538,0.1218375776205364,0.4068,2.393538384673775,7,4,497,0.34
AR,hormone,1.146849804201026,0.1390010875380131,0.417,2.188982783191022,9,5,929,48.98
CYP11A1,hormone,4.08588528218298,0.1663625551819305,0.4592,1.915418933679575,7,4,521,37.35
NCOA3,hormone,0.8458554365964188,0.2074686056079218,0.5506,1.589003207018322,9,5,1436,13.78
SHBG,hormone,46.24762869203404,0.2482621629152022,0.6118,1.333056655013934,5,3,506,14.62
GPER1,hormone,40.0961114261092,0.2899413604235939,0.6781,1.119893625073473,9,5,375,0.0
NCOR2,hormone,1.184157387369961,0.2980718898418225,0.6781,1.082800585103541,9,5,2593,28.0
HSD17B12,hormone,0,0.3062614663980849,0.6781,1.046729717335438,4,2,312,0.0
FSHB,hormone,1.694306665091801e-11,0.3276714482582964,0.6781,0.9580786005503796,9,5,129,0.0
AKR1C4,hormone,0.314911901328233,0.3585676550806027,0.7069,0.8429036107272623,7,4,329,2.87
GNA11,hormone,0.704780485520064,0.3993048710567108,0.7345,0.7104186327214848,6,4,359,0.0
SULT1E1,hormone,1.306422015027308,0.4047925221367191,0.7345,0.6940432347460046,9,5,294,23.24
GNRH1,hormone,3.257751658549795e-12,0.4169571916221746,0.7345,0.6588755661134655,9,5,96,0.0
CYP11B2,hormone,0.8475575759060027,0.4684194886438637,0.7883,0.5257019187292826,7,4,504,33.02
ESR2,hormone,1.108099209984531,0.5505766671482222,0.8657,0.3562851046672222,9,5,530,36.5
NCOA2,hormone,5.086944785346563e-07,0.5520141987151304,0.8657,0.3537211493166978,9,5,1537,20.78
GNRHR,hormone,0.340409597617607,0.6455937288739755,0.9899,0.2115006694543808,9,5,328,13.72
NCOR1,hormone,0.2286439726609184,0.6785165806988156,1.0,0.1718004978210956,9,5,2531,33.64
HSD17B7,hormone,0.75716645280389,0.7094924578685661,1.0,0.1387844282653532,9,5,341,18.93
KISS1,hormone,0.2532096855859283,0.8630808465176156,1.0,0.02974028368680592,9,5,138,0.0
HSD17B11,hormone,0.9802540033681757,0.9088042705039938,1.0,0.01312099221649987,9,5,300,13.22
SCARB1,hormone,0.9920319042553616,0.9354129981188639,1.0,0.006566899461176945,5,2,659,18.06
AKR1C1,hormone,1.192827107922805,0.9596767016351877,1.0,0.002556242002356157,6,4,323,1.5
HSD3B1,hormone,1.003497074631767,0.9856639561166374,1.0,0.0003228681903237884,6,3,373,2.1
HSD17B6,hormone,1.000541341207672,0.9905014245226216,1.0,0.000141728552080167,6,4,317,0.0
GNAQ,hormone,1,0.9999756148534533,1.0,9.340510587207973e-10,6,4,359,0.0
FSHR,hormone,1,1,1.0,-5.442454312287737e-05,9,5,701,15.26
LDLR,hormone,1,1,1.0,-0.01093853314523585,8,4,994,25.83
SRD5A2,hormone,1.358321574050675,1,1.0,-0.0003263118205723003,9,5,254,20.34
STAR,hormone,1.008032096256642,1,1.0,0,8,4,285,17.72
KITLG,pigmentation,9.809410935049407,6.390696971614318e-09,0.0,33.71194779376583,9,5,283,12.21
LEF1,pigmentation,7.985732404821343,0.0006556916834280502,0.009,11.61082194725532,9,5,415,25.03
OCA2,pigmentation,0.316398150221064,0.01644154071003245,0.1134,5.755027240035815,6,3,838,11.46
PMEL,pigmentation,0.0931371125500765,0.05450548885888107,0.2547,3.697150144328589,9,5,811,14.8
SLC24A5,pigmentation,1.387774043523256,0.1238215977129987,0.4068,2.368302880828196,9,5,531,15.34
SLC24A4,pigmentation,2.39768634488092,0.1383009623384257,0.417,2.196762214543014,9,5,622,27.94
SLC45A2,pigmentation,1.317741589966224,0.1484629042897593,0.4268,2.087973365560174,9,5,530,26.23
DCT,pigmentation,0.8671739480971581,0.2471132903632066,0.6118,1.339550294183027,9,5,552,19.71
FOXD3,pigmentation,0.5090979209748726,0.3206307450174799,0.6781,0.9863718530846199,9,5,479,0.12
MC1R,pigmentation,0.421531831184058,0.3341146507653669,0.6781,0.9328839552235877,6,4,317,0.0
EDN3,pigmentation,0.8859202637488954,0.4184026739690102,0.7345,0.6547974388622606,8,5,258,20.88
MRAP2,pigmentation,2.217714817935154,0.4257950241983369,0.7345,0.634265443959066,9,5,244,27.96
POMC,pigmentation,1.13002547834231,0.4977886825362214,0.8178,0.4596476670076299,5,3,380,18.47
IRF4,pigmentation,1.141113518015902,0.694171241021482,1.0,0.1546068029897469,9,5,451,4.16
KIT,pigmentation,0.5937705593546412,0.7456870174813899,1.0,0.1051909702855482,6,3,977,0.0
HERC2,pigmentation,1.065768193366627,0.7530698995317446,1.0,0.09896941451734165,8,4,4863,40.98
EDNRB,pigmentation,0.7379163415085895,0.7898316938703498,1.0,0.07103780077250121,9,5,532,2.76
PAX3,pigmentation,0.5882314106527171,0.8702498121409847,1.0,0.02668034115959017,9,5,505,30.3
MLANA,pigmentation,4.191886081620883,0.8862904378729387,1.0,0.02044890705155922,9,5,118,16.38
TYRP1,pigmentation,1.086704960909612,0.8976535039544923,1.0,0.0165446765595334,9,5,537,9.6
TYR,pigmentation,0.9722529691012487,0.960422580677603,1.0,0.002462471667968202,8,4,530,24.95
MITF,pigmentation,0.9493813338081231,0.9693948753028558,1.0,0.001472045599257399,9,5,526,31.01
TFAP2A,pigmentation,1,0.9997743818142923,1.0,7.995913620106876e-08,9,5,494,11.63
BNC2,pigmentation,6.375367088626228,0,0.0,81.07018661109396,8,4,1149,14.58
SOX10,pigmentation,1,1,1.0,0,9,5,514,22.57
