gene,disease_name,inheritance,phenotype_class,regulator_call,mech_call,mech_conf,mech_reason,reg_expanded,stratum,predicted,concordant
AP3B1,Hermansky-Pudlak syndrome type 2,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
AP3D1,Hermansky-Pudlak syndrome type 10,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
BLOC1S3,Hermansky-Pudlak syndrome type 8,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
BLOC1S5,Hermansky-Pudlak syndrome type 11,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
BLOC1S6,Hermansky-Pudlak syndrome type 9,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
DTNBP1,Hermansky-Pudlak syndrome type 7,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
EDNRB,ABCD syndrome,AR,Hypopigmentation,positive,,,,positive,core_melanogenesis,Hypopigmentation,1
FIG4,Charcot-Marie-Tooth disease type 4J,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
GPR143,"Oculocutaneous albinism, type 1, Nettleship-Falls type",XL,Hypopigmentation,positive,,,,positive,core_melanogenesis,Hypopigmentation,1
HPS1,Hermansky-Pudlak syndrome type 1,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
HPS3,Hermansky-Pudlak syndrome type 3,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
HPS4,Hermansky-Pudlak syndrome type 4,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
HPS5,Hermansky-Pudlak syndrome type 5,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
HPS6,Hermansky-Pudlak syndrome type 6,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
LYST,Chediak–Higashi syndrome,AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
MC1R,"Oculocutaneous albinism, type 2",AR,Hypopigmentation,positive,,,,positive,core_melanogenesis,Hypopigmentation,1
OCA2,"Oculocutaneous albinism, type 2",AR,Hypopigmentation,positive,,,,positive,core_melanogenesis,Hypopigmentation,1
RAB27A,Griscelli syndrome type 2,AR,Hypopigmentation,positive,,,,positive,core_melanogenesis,Hypopigmentation,1
SLC17A5,"Sialic acid storage disorder, infantile",AR,Hypopigmentation,positive,,,,positive,syndromic_trafficking,Hypopigmentation,1
SLC24A5,"Oculocutaneous albinism, type 6",AR,Hypopigmentation,positive,,,,positive,core_melanogenesis,Hypopigmentation,1
