species,genus,n_assemblies,best_level,example_accession
Homo_sapiens,Homo,2571,Complete Genome,GCF_009914755.1
Callithrix_jacchus,Callithrix,21,Chromosome,GCF_049354715.1
Callithrix_penicillata,Callithrix,1,Chromosome,GCA_046862485.1
Chlorocebus_sabaeus,Chlorocebus,8,Chromosome,GCF_047675955.1
Eulemur_rufifrons,Eulemur,3,Chromosome,GCF_041146395.1
Gorilla_gorilla,Gorilla,18,Chromosome,GCF_029281585.2
Hoolock_leuconedys,Hoolock,3,Chromosome,GCA_047372625.1
Leontopithecus_rosalia,Leontopithecus,4,Chromosome,GCA_054824895.1
Microcebus_murinus,Microcebus,5,Chromosome,GCF_040939455.1
Nycticebus_bengalensis,Nycticebus,1,Chromosome,GCA_023898255.1
Nycticebus_coucang,Nycticebus,5,Chromosome,GCF_027406575.1
Pan_paniscus,Pan,10,Chromosome,GCF_029289425.2
Pan_troglodytes,Pan,18,Chromosome,GCF_028858775.2
Piliocolobus_tephrosceles,Piliocolobus,2,Chromosome,GCF_002776525.5
Plecturocebus_cupreus,Plecturocebus,2,Chromosome,GCA_040437455.1
Pongo_abelii,Pongo,10,Chromosome,GCF_028885655.2
Pongo_pygmaeus,Pongo,6,Chromosome,GCF_028885625.2
Saguinus_midas,Saguinus,2,Chromosome,GCA_021498475.1
Saguinus_oedipus,Saguinus,4,Chromosome,GCA_031835075.1
Allochrocebus_lhoesti,Allochrocebus,1,Scaffold,GCA_963574325.1
Allochrocebus_preussi,Allochrocebus,1,Scaffold,GCA_963574925.1
Allochrocebus_solatus,Allochrocebus,1,Scaffold,GCA_963575195.1
Alouatta_discolor,Alouatta,1,Scaffold,GCA_963575205.1
Alouatta_juara,Alouatta,1,Scaffold,GCA_963574365.1
Alouatta_macconnelli,Alouatta,1,Scaffold,GCA_963573945.1
Aotus_azarai,Aotus,1,Scaffold,GCA_963573465.1
Aotus_griseimembra,Aotus,1,Scaffold,GCA_963574505.1
Aotus_nancymaae,Aotus,6,Scaffold,GCF_000952055.2
Aotus_vociferans,Aotus,1,Scaffold,GCA_963573775.1
Arctocebus_calabarensis,Arctocebus,1,Scaffold,GCA_963573935.1
Ateles_hybridus,Ateles,1,Scaffold,GCA_916098195.1
Avahi_laniger,Avahi,1,Scaffold,GCA_963575035.1
Avahi_peyrierasi,Avahi,1,Scaffold,GCA_963573525.1
Brachyteles_hypoxanthus,Brachyteles,1,Scaffold,GCA_049997475.1
Cacajao_ayresi,Cacajao,1,Scaffold,GCA_963573425.1
Cacajao_hosomi,Cacajao,1,Scaffold,GCA_963573795.1
Callimico_goeldii,Callimico,1,Scaffold,GCA_963573925.1
Callithrix_geoffroyi,Callithrix,1,Scaffold,GCA_963573515.1
Callithrix_kuhlii,Callithrix,1,Scaffold,GCA_963573495.1
Carlito_syrichta,Carlito,2,Scaffold,GCF_000164805.1
Cebuella_niveiventris,Cebuella,1,Scaffold,GCA_963575025.1
Cebuella_pygmaea,Cebuella,1,Scaffold,GCA_963575105.1
Cebus_imitator,Cebus,2,Scaffold,GCF_001604975.1
Cebus_unicolor,Cebus,1,Scaffold,GCA_963574255.1
Cephalopachus_bancanus,Cephalopachus,2,Scaffold,GCA_963574495.1
Cercocebus_chrysogaster,Cercocebus,1,Scaffold,GCA_963574065.1
Cercocebus_lunulatus,Cercocebus,1,Scaffold,GCA_963573365.1
Cercopithecus_roloway,Cercopithecus,1,Scaffold,GCA_963573595.1
Cheirogaleus_major,Cheirogaleus,1,Scaffold,GCA_963574435.1
Cheirogaleus_medius,Cheirogaleus,3,Scaffold,GCA_008086735.1
Cheracebus_lucifer,Cheracebus,1,Scaffold,GCA_963573755.1
Cheracebus_lugens,Cheracebus,1,Scaffold,GCA_963574535.1
Cheracebus_regulus,Cheracebus,1,Scaffold,GCA_963574635.1
Cheracebus_torquatus,Cheracebus,1,Scaffold,GCA_963574645.1
Chiropotes_sagulatus,Chiropotes,1,Scaffold,GCA_963574175.1
Chlorocebus_pygerythrus,Chlorocebus,1,Scaffold,GCA_963575115.1
Daubentonia_madagascariensis,Daubentonia,5,Scaffold,GCA_044048945.1
Eulemur_albifrons,Eulemur,1,Scaffold,GCA_963573435.1
Eulemur_rufus,Eulemur,1,Scaffold,GCA_963574465.1
Eulemur_sanfordi,Eulemur,1,Scaffold,GCA_963573705.1
Galago_senegalensis,Galago,1,Scaffold,GCA_963575145.1
Galagoides_demidoff,Galagoides,1,Scaffold,GCA_963574575.1
Gorilla_beringei,Gorilla,4,Scaffold,GCA_963575185.1
Hapalemur_alaotrensis,Hapalemur,1,Scaffold,GCA_963574485.1
Hapalemur_meridionalis,Hapalemur,1,Scaffold,GCA_963575175.1
Hapalemur_occidentalis,Hapalemur,1,Scaffold,GCA_963575155.1
Indri_indri,Indri,2,Scaffold,GCA_004363605.1
Leontocebus_fuscicollis,Leontocebus,2,Scaffold,GCA_963575285.1
Leontocebus_nigricollis,Leontocebus,1,Scaffold,GCA_963575265.1
Leontopithecus_chrysomelas,Leontopithecus,1,Scaffold,GCA_963574395.1
Lepilemur_ankaranensis,Lepilemur,1,Scaffold,GCA_963573785.1
Lepilemur_dorsalis,Lepilemur,1,Scaffold,GCA_963574875.1
Lepilemur_ruficaudatus,Lepilemur,1,Scaffold,GCA_963574885.1
Lepilemur_septentrionalis,Lepilemur,1,Scaffold,GCA_963573855.1
Loris_lydekkerianus,Loris,1,Scaffold,GCA_963574355.1
Macaca_leonina,Macaca,1,Scaffold,GCA_963573825.1
Macaca_siberu,Macaca,1,Scaffold,GCA_963574275.1
Mico_argentatus,Mico,2,Scaffold,GCA_963573565.1
Mico_humeralifer,Mico,1,Scaffold,GCA_963574605.1
Mico_humilis,Mico,1,Scaffold,GCA_963574545.1
Microcebus_griseorufus,Microcebus,1,Scaffold,GCA_008750995.1
Microcebus_jonahi,Microcebus,1,Scaffold,GCA_008750915.1
Microcebus_lehilahytsara,Microcebus,1,Scaffold,GCA_008750955.1
Microcebus_ravelobensis,Microcebus,1,Scaffold,GCA_008750975.1
Microcebus_tavaratra,Microcebus,1,Scaffold,GCA_008750935.1
Miopithecus_ogouensis,Miopithecus,1,Scaffold,GCA_963573445.1
Mirza_coquereli,Mirza,1,Scaffold,GCA_004024645.1
Mirza_zaza,Mirza,2,Scaffold,GCA_008750895.1
Nomascus_annamensis,Nomascus,1,Scaffold,GCA_963574525.1
Nomascus_siki,Nomascus,3,Scaffold,GCA_023783065.1
Otolemur_crassicaudatus,Otolemur,1,Scaffold,GCA_963574585.1
Otolemur_garnettii,Otolemur,2,Scaffold,GCF_000181295.1
Papio_kindae,Papio,1,Scaffold,GCA_963573405.1
Perodicticus_potto,Perodicticus,2,Scaffold,GCA_963574655.1
Piliocolobus_badius,Piliocolobus,1,Scaffold,GCA_963574265.1
Piliocolobus_gordonorum,Piliocolobus,1,Scaffold,GCA_963574285.1
Piliocolobus_kirkii,Piliocolobus,1,Scaffold,GCA_963574805.1
Pithecia_chrysocephala,Pithecia,1,Scaffold,GCA_963574905.1
Pithecia_hirsuta,Pithecia,1,Scaffold,GCA_963573645.1
Pithecia_mittermeieri,Pithecia,1,Scaffold,GCA_963574975.1
Pithecia_pissinatti,Pithecia,1,Scaffold,GCA_963575305.1
Pithecia_vanzolinii,Pithecia,1,Scaffold,GCA_963574005.1
Plecturocebus_bernhardi,Plecturocebus,1,Scaffold,GCA_963574705.1
Plecturocebus_brunneus,Plecturocebus,1,Scaffold,GCA_963573885.1
Plecturocebus_caligatus,Plecturocebus,2,Scaffold,GCA_963575255.1
Plecturocebus_cinerascens,Plecturocebus,1,Scaffold,GCA_963573415.1
Plecturocebus_donacophilus,Plecturocebus,1,Scaffold,GCA_004027715.1
Plecturocebus_grovesi,Plecturocebus,1,Scaffold,GCA_963574625.1
Plecturocebus_hoffmannsi,Plecturocebus,1,Scaffold,GCA_963575245.1
Plecturocebus_miltoni,Plecturocebus,1,Scaffold,GCA_963575275.1
Plecturocebus_moloch,Plecturocebus,1,Scaffold,GCA_963574105.1
Propithecus_coquereli,Propithecus,2,Scaffold,GCF_000956105.1
Propithecus_deckenii,Propithecus,1,Scaffold,GCA_963574665.1
Propithecus_diadema,Propithecus,1,Scaffold,GCA_963575075.1
Propithecus_edwardsi,Propithecus,1,Scaffold,GCA_963575085.1
Propithecus_perrieri,Propithecus,1,Scaffold,GCA_963574695.1
Propithecus_tattersalli,Propithecus,1,Scaffold,GCA_963574315.1
Propithecus_verreauxi,Propithecus,1,Scaffold,GCA_963575125.1
Saguinus_bicolor,Saguinus,2,Scaffold,GCA_963574455.1
Saguinus_geoffroyi,Saguinus,1,Scaffold,GCA_963574215.1
Saguinus_imperator,Saguinus,2,Scaffold,GCA_004024885.1
Saguinus_inustus,Saguinus,1,Scaffold,GCA_963574735.1
Saguinus_labiatus,Saguinus,1,Scaffold,GCA_963575005.1
Saguinus_mystax,Saguinus,1,Scaffold,GCA_963574345.1
Saimiri_cassiquiarensis,Saimiri,1,Scaffold,GCA_963573395.1
Saimiri_macrodon,Saimiri,1,Scaffold,GCA_963573505.1
Semnopithecus_hypoleucos,Semnopithecus,1,Scaffold,GCA_963573665.1
Semnopithecus_priam,Semnopithecus,1,Scaffold,GCA_963574295.1
Semnopithecus_schistaceus,Semnopithecus,1,Scaffold,GCA_963574385.1
Tarsius_lariang,Tarsius,1,Scaffold,GCA_963574405.1
Tarsius_wallacei,Tarsius,1,Scaffold,GCA_963574415.1
Trachypithecus_germaini,Trachypithecus,2,Scaffold,GCA_963573455.1
Trachypithecus_hatinhensis,Trachypithecus,1,Scaffold,GCA_963573355.1
Trachypithecus_laotum,Trachypithecus,1,Scaffold,GCA_963573585.1
Trachypithecus_poliocephalus,Trachypithecus,1,Scaffold,GCA_963573475.1
Trachypithecus_shortridgei,Trachypithecus,1,Scaffold,GCA_054345695.1
Varecia_rubra,Varecia,1,Scaffold,GCA_963573675.1
Cercopithecus_albogularis,Cercopithecus,1,Contig,GCA_023783535.1
Galago_moholi,Galago,1,Contig,GCA_023783435.1
Loris_tardigradus,Loris,1,Contig,GCA_023783135.1
Rhinopithecus_strykeri,Rhinopithecus,1,Contig,GCA_023764705.1
