gene,full_name
ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group)
ABCC9,ATP binding cassette subfamily C member 9
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ACD,ACD shelterin complex subunit and telomerase recruitment factor
ACTB,Actin beta
ACTL6A,Actin like 6A
ADAM10,ADAM metallopeptidase domain 10
ADAR,Adenosine deaminase RNA specific
ADCY1,Adenylate cyclase 1
ADCY2,Adenylate cyclase 2
ADCY3,Adenylate cyclase 8
ADCY4,Adenylate cyclase 4
ADCY5,Adenylate cyclase 5
ADCY6,Adenylate cyclase 6
ADCY7,Adenylate cyclase 7
ADCY8,Adenylate cyclase 8
ADCY9,Adenylate cyclase 9
ADO,2-aminoethanethiol dioxygenase
ADPRH,ADP-ribosylarginine hydrolase
AGO1,Argonaute RISC component 1
AGO2,Argonaute RISC catalytic component 2
AGO3,Argonaute RISC catalytic component 3
AGO4,Argonaute RISC component 4
AHR,Aryl hydrocarbon receptor
AIMP1,Aminoacyl tRNA synthetase complex interacting multifunctional protein 1
AIMP2,Aminoacyl tRNA synthetase complex interacting multifunctional protein 2
AKT1,AKT serine/threonine kinase 1
AKT2,AKT serine/threonine kinase 2
AKT3,AKT serine/threonine kinase 3
ALG11,"ALG11 alpha-1,2-mannosyltransferase"
ALX3,ALX homeobox 3
AP3B1,Adaptor related protein complex 3 subunit beta 1
AP3D1,Adaptor related protein complex 3 subunit delta 1
AP3M1,Adaptor related protein complex 3 subunit mu 1
AP3S1,Adaptor related protein complex 3 subunit sigma 1
APAF1,Apoptotic peptidase activating factor 1
APC2,Anaphase promoting complex subunit 2
APH1A,Aph-1A gamma-secretase subunit
APITD1,Centromere protein S
ARID1A,AT-rich interaction domain 1A
ARID1B,AT-rich interaction domain 1B
ARID5B,AT-rich interaction domain 5B
ARRB2,Arrestin beta 2
ASAH1,N-acylsphingosine amidohydrolase 1
ASIP,Par-3 family cell polarity regulator
ATF2,Glial cell derived neurotrophic factor
ATM,ATM serine/threonine kinase
ATOX1,Antioxidant 1 copper chaperone
ATP6V0B,ATPase H+ transporting V0 subunit b
ATP6V0C,ATPase H+ transporting V0 subunit c
ATP6V0D1,ATPase H+ transporting V0 subunit d1
ATP6V0E1,ATPase H+ transporting V0 subunit e1
ATP6V1A,ATPase H+ transporting V1 subunit A
ATP6V1B2,ATPase H+ transporting V1 subunit B2
ATP6V1C1,ATPase H+ transporting V1 subunit C1
ATP6V1E1,ATPase H+ transporting V1 subunit E1
ATP6V1G1,ATPase H+ transporting V1 subunit G1
ATP6V1H,ATPase H+ transporting V1 subunit H
ATP7A,ATPase copper transporting alpha
ATP7B,ATPase copper transporting beta
ATXN2,Ataxin 2
B2M,Beta-2-microglobulin
BACH2,BACH transcriptional regulator 2
BAD,BCL2 associated agonist of cell death
BAK1,BCL2 antagonist/killer 1
BAX,"BCL2 associated X, apoptosis regulator"
BBC3,BCL2 binding component 3
BCL10,BCL10 immune signaling adaptor
BCL2,BCL2 apoptosis regulator
BCL2A1,BCL2 related protein A1
BCL2L1,BCL2 like 1
BCL2L11,BCL2 like 11
BCL2L12,BCL2 like 12
BCL7A,BAF chromatin remodeling complex subunit BCL7A
BCL7B,BAF chromatin remodeling complex subunit BCL7B
BCL7C,BAF chromatin remodeling complex subunit BCL7C
BID,BH3 interacting domain death agonist
BIRC7,Baculoviral IAP repeat containing 7
BIVM,"Basic, immunoglobulin-like variable motif containing"
BLM,BLM RecQ like helicase
BLOC1S3,Biogenesis of lysosomal organelles complex 1 subunit 3
BLOC1S5,Biogenesis of lysosomal organelles complex 1 subunit 5
BLOC1S6,Biogenesis of lysosomal organelles complex 1 subunit 6
BNC2,Basonuclin zinc finger protein 2
BOP1,BOP1 ribosomal biogenesis factor
BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
BRCA1,BRCA1 DNA repair associated
BRCA2,BRCA2 DNA repair associated
BRIP1,BRCA1 interacting DNA helicase 1
BTNL2,Butyrophilin like 2
BTRC,Beta-transducin repeat containing E3 ubiquitin protein ligase
C10ORF11,Leucine rich melanocyte differentiation associated
C11orf65,Chromosome 11 open reading frame 65
C11orf74,Intraflagellar transport associated protein
C17ORF70,FA core complex associated protein 100
C19ORF40,FA core complex associated protein 24
C1ORF86,FA core complex associated protein 20
C1QTNF6,C1q and TNF related 6
C1orf141,Chromosome 1 open reading frame 141
CAB39,Calcium binding protein 39
CALM1,Calmodulin 1
CALM2,Calmodulin 2
CALM3,Calmodulin 3
CALML3,Calmodulin like 3
CALML4,Calmodulin like 4
CALML5,Calmodulin like 5
CALML6,Calmodulin like 6
CAMK2A,Calcium/calmodulin dependent protein kinase II alpha
CAMK2B,Calcium/calmodulin dependent protein kinase II beta
CAMK2D,Calcium/calmodulin dependent protein kinase II delta
CAMK2G,Calcium/calmodulin dependent protein kinase II gamma
CAND1,Cullin associated and neddylation dissociated 1
CASP1,Caspase 1
CASP3,Caspase 3
CASP7,Caspase 7
CASP8,Caspase 8
CASP9,Caspase 9
CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3
CBS,Cystathionine beta-synthase
CBSL,Cystathionine beta-synthase like
CCL20,C-C motif chemokine ligand 20
CCNA2,Cyclin A2
CCNB1,Cyclin B1
CCND1,Cyclin D1
CCNH,Cyclin H
CCR6,C-C motif chemokine receptor 6
CD22,CD22 molecule
CD28,CD28 molecule
CD74,CD74 molecule
CD80,CD80 molecule
CD86,CD86 molecule
CDC25B,Cell division cycle 25B
CDC34,"Cell division cycle 34, ubiquitin conjugating enzyme"
CDC42,Cell division cycle 42
CDC45,Cell division cycle 45
CDC6,Cell division cycle 6
CDC7,Cell division cycle 7
CDH1,Fizzy and cell division cycle 20 related 1
CDH2,Cadherin 2
CDH23,Cadherin related 23
CDH3,Cadherin 15
CDK2,Cyclin dependent kinase 2
CDK4,Cyclin dependent kinase 4
CDK5RAP2,CDK5 regulatory subunit associated protein 2
CDK6,Cyclin dependent kinase 6
CDK7,Cyclin dependent kinase 7
CDKN1A,Cysteine rich DPF motif domain containing 1
CDKN2A,Cyclin dependent kinase inhibitor 2A
