gene,reactome_source_accessions,mitf_subpathways,specific_reactions_within_pigmentation_subpathway,also_in_darcy_omim_disease_table,citation,citation_source
ACTB,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ACTL6A,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
AGO1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
AGO2,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
AGO3,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
AGO4,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
AIMP1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
AIMP2,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
AKT2,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-1449597,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
AKT3,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ALX3,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ARID1A,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ARID1B,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ASAH1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ATP6V0B,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ATP6V0C,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ATP6V0D1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ATP6V0E1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ATP6V1A,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ATP6V1B2,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ATP6V1C1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ATP6V1E1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ATP6V1G1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ATP6V1H,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
BCL2A1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
BCL7A,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
BCL7B,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
BCL7C,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
BIRC7,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
BRCA1,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in DNA replication, damage repair and senescence",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
CCNB1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
CDC25B,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
CDH1,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition|Transcriptional and post-translational regulation of MITF-M expression and activity",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
CDKN2A,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
CEACAM1,MITF-M-regulated melanocyte development,Regulation of MITF-M dependent genes involved in invasion,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
CSF1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
DARS1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
DIAPH1,MITF-M-regulated melanocyte development,Regulation of MITF-M dependent genes involved in invasion,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
