gene,casTLE,in_symmetric_graph,dist_to_core,nearest_core_gene,path_intermediates,path_full,weakest_edge_score,in_GRN,reactome_pig_tagged,direct_core_adjacency,hub_mediated_path,n_convergence_lines,convergence_grade,bucket,confirming_experiment,citation
TMED2,1.3,True,5.0,POMC,TMED10 | PSENEN | TNF | CALM3,TMED2 -> TMED10 -> PSENEN -> TNF -> CALM3 -> POMC,0.82,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
AC002398.9,1.7,False,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
ALKBH8,0.8,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
B4GALT1,1.5,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
BACE2,1.1,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
BLOC1S5-TXNDC5,2.3,False,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
C10ORF11,1.6,False,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
C16ORF80,1.0,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
C9ORF91,0.9,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
CD72,1.0,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
CLN3,1.4,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
CMTR2,1.6,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
CTDSPL2,1.7,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
DGKD,1.0,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
F8A1,1.0,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
F8A3,1.5,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
FRYL,2.1,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
GOLGA8M,2.0,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
HAUS3,2.9,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
HSPA13,1.0,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
INTS6,1.8,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
INTS8,1.3,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
LZIC,1.8,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
MSMO1,1.2,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
MTMR6,1.2,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
MTMR9,1.0,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
RAB14,2.6,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
RPRD2,2.2,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
SCAF4,1.3,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
SELT,0.9,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
SHISA4,1.1,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
SLAIN1,4.3,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
SLC12A9,1.4,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
SLC26A6,0.9,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
SLC33A1,2.8,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
SNX13,1.1,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
SPAG16,1.4,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
TMEM163,1.4,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
TMEM30A,1.0,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
TMEM9B,1.3,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
TRAPPC13,0.9,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
TRNAU1AP,1.0,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
VPS54,1.4,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
