"tip","observed","predicted","surprise"
"Macaca_arctoides",1,0.086,0.914
"Alouatta_caraya",1,0.099,0.901
"Cercopithecus_hamlyni",1,0.1,0.9
"Papio_hamadryas",1,0.103,0.897
"Erythrocebus_patas",1,0.107,0.893
"Pithecia_pithecia",1,0.131,0.869
"Trachypithecus_geei",1,0.228,0.772
"Presbytis_hosei",1,0.252,0.748
"Hoolock_hoolock",1,0.313,0.687
"Hylobates_muelleri",1,0.38,0.62
"Colobus_guereza",1,0.393,0.607
"Trachypithecus_delacouri",0,0.596,0.596
"Eulemur_mongoz",1,0.409,0.591
"Hylobates_pileatus",1,0.437,0.563
"Colobus_angolensis",1,0.496,0.504
"Colobus_vellerosus",0,0.496,0.496
"Trachypithecus_pileatus",1,0.551,0.449
"Eulemur_rubriventer",0,0.409,0.409
"Trachypithecus_francoisi",1,0.596,0.404
"Colobus_polykomos",0,0.393,0.393
"Hylobates_agilis",0,0.372,0.372
"Hylobates_lar",0,0.37,0.37
"Trachypithecus_auratus",1,0.66,0.34
"Trachypithecus_cristatus",1,0.66,0.34
"Nomascus_concolor",1,0.665,0.335
"Symphalangus_syndactylus",0,0.304,0.304
"Colobus_satanas",0,0.298,0.298
"Nomascus_leucogenys",1,0.713,0.287
"Nomascus_gabriellae",1,0.713,0.287
"Eulemur_fulvus",0,0.286,0.286
"Eulemur_macaco",1,0.72,0.28
"Eulemur_flavifrons",1,0.72,0.28
"Trachypithecus_phayrei",1,0.733,0.267
"Trachypithecus_obscurus",1,0.733,0.267
"Presbytis_potenziani",0,0.252,0.252
"Eulemur_coronatus",0,0.243,0.243
"Semnopithecus_entellus",0,0.16,0.16
"Trachypithecus_vetulus",0,0.16,0.16
"Hylobates_moloch",0,0.108,0.108
"Hylobates_klossii",0,0.108,0.108
"Presbytis_thomasi",0,0.103,0.103
"Papio_anubis",0,0.103,0.103
"Presbytis_frontata",0,0.101,0.101
"Varecia_variegata",0,0.1,0.1
"Loris_tardigradus",0,0.099,0.099
"Perodicticus_potto",0,0.099,0.099
"Daubentonia_madagascariensis",0,0.099,0.099
"Phaner_furcifer",0,0.099,0.099
"Tarsius_tarsier",0,0.099,0.099
"Indri_indri",0,0.098,0.098
"Avahi_laniger",0,0.098,0.098
"Allocebus_trichotis",0,0.098,0.098
"Galagoides_thomasi",0,0.097,0.097
"Tarsius_dentatus",0,0.096,0.096
"Tarsius_pumilus",0,0.096,0.096
"Callicebus_torquatus",0,0.096,0.096
"Callicebus_cinerascens",0,0.095,0.095
"Miopithecus_talapoin",0,0.095,0.095
"Allenopithecus_nigroviridis",0,0.095,0.095
"Callimico_goeldii",0,0.094,0.094
"Tarsius_syrichta",0,0.093,0.093
"Tarsius_bancanus",0,0.093,0.093
"Brachyteles_arachnoides",0,0.093,0.093
"Arctocebus_calabarensis",0,0.092,0.092
"Arctocebus_aureus",0,0.092,0.092
"Lepilemur_mustelinus",0,0.091,0.091
"Microcebus_murinus",0,0.09,0.09
"Galagoides_zanzibaricus",0,0.089,0.089
"Callicebus_personatus",0,0.089,0.089
"Alouatta_guariba",0,0.086,0.086
"Alouatta_belzebul",0,0.086,0.086
"Sciurocheirus_alleni",0,0.085,0.085
"Cheirogaleus_medius",0,0.085,0.085
"Cheirogaleus_major",0,0.085,0.085
"Lemur_catta",0,0.084,0.084
"Macaca_sylvanus",0,0.083,0.083
"Prolemur_simus",0,0.082,0.082
"Nycticebus_pygmaeus",0,0.081,0.081
"Nycticebus_coucang",0,0.081,0.081
"Sapajus_apella",0,0.081,0.081
"Propithecus_diadema",0,0.077,0.077
"Theropithecus_gelada",0,0.074,0.074
"Cercopithecus_campbelli",0,0.073,0.073
