gene,set,K,p,n_tips,n_fg,fg_branch_len,tree_len,pct_gaps,aln_ref_ratio,flags
AKR1C1,hormone,1.238650507745464,0.1542952593765488,65,16,0.70403,5.4871,5.3,0.865,branch_len_blowup
AKR1C2,hormone,0.9043117671876888,0.4206838269223231,71,17,0.95018,6.09787,5.93,0.994,branch_len_blowup
AKR1C3,hormone,0.7589187541880861,0.2441631237045382,69,18,0.06172,5.69366,5.39,0.978,branch_len_blowup
AKR1C4,hormone,1.003494590883918,0.9819365344432015,79,16,0.20684,7.98046,5.49,1.0,branch_len_blowup
AKR1C8,hormone,1.21434925741864,0.1173496817181661,70,15,0.75572,13.03589,2.2,0.889,branch_len_blowup
AR,hormone,0.6736326081993426,0.01188179676246093,92,21,10.94194,103.77342,4.57,1.0,branch_len_blowup
ASIP,pigmentation,1.460585316766541,0.06355822691617474,79,14,0.29279,1.69601,13.63,1.0,clean
BNC2,pigmentation,0.8102294593256051,0.251027974333777,80,15,0.01578,0.22446,2.91,0.756,clean
CGA,hormone,1.153539277423505,0.1557091480454514,56,13,2.18663,9.14757,6.92,1.0,branch_len_blowup
CYP11A1,hormone,2.744553452042749,0.08838171099808956,84,18,0.01736,0.494,7.48,0.829,clean
CYP11B1,hormone,2.184767147871145,0.04701004545654175,81,16,0.92109,979.63026,23.05,0.181,branch_len_blowup|gaps_gt_20pct
CYP11B2,hormone,4.962699355578914,0.01609181966350171,82,16,991115.41204,991121.88469,21.56,0.197,branch_len_blowup|gaps_gt_20pct
CYP17A1,hormone,2.314282806304677e-11,0.08553019497492342,56,14,0.01287,0.41796,5.58,1.0,K_boundary
CYP19A1,hormone,0.9198633277240467,0.8558800529613606,83,18,0.02493,0.49207,8.04,0.805,clean
CYP7B1,hormone,1.373692906983252,0.001411251904247846,83,17,0.24166,1.04369,10.61,0.919,clean
DCT,pigmentation,0.9697257228105975,0.6989511203618308,93,19,885.63374,2194.05119,12.77,0.663,branch_len_blowup
EDN3,pigmentation,1.283117844988927,0.0002188912758540607,76,17,2.00212,11.13635,11.6,0.973,branch_len_blowup
EDNRB,pigmentation,1.085903791343919,0.6501917776094159,33,10,0.16774,0.71716,2.48,0.564,clean
ESR1,hormone,1.058126844434099,0.4524726229707843,91,19,34.17034,45253.60218,19.11,0.308,branch_len_blowup
ESR2,hormone,1.135772543539277,0.4277261766666336,91,20,266.67902,508.19416,19.42,0.294,branch_len_blowup
FKBP5,hormone,0.9627584346305306,0.6481629354590781,94,21,5.47634,24.02199,13.9,0.63,branch_len_blowup
FOXD3,pigmentation,1.016672829820751,0.9502090742597126,86,19,0.02527,0.31416,1.26,1.0,clean
FSHB,hormone,0.1994709357437293,0.4809354836753299,95,21,0.02877,0.55351,0.0,1.0,clean
FSHR,hormone,1.056254762231153,0.6312843073886653,94,21,0.08615,0.72256,1.0,0.688,clean
GNA11,hormone,0.4512657446044233,0.0005993352327855472,77,20,1.12596,1916.7331,4.89,0.875,branch_len_blowup
GNAQ,hormone,1.940663191553929,0.6146442827039,71,13,546.48873,570.98482,5.42,0.875,branch_len_blowup
GNRH1,hormone,0.9616396484544659,0.6756252762674619,89,21,0.89299,34.43379,0.69,0.914,branch_len_blowup
