species,chosen_accession,assembly_level,annotated,dichromatism,family,pipeline_path
Alouatta_discolor,GCA_963575205.1,Scaffold,False,PI_REVIEW,alouatta,miniprot
Alouatta_juara,GCA_963574365.1,Scaffold,False,PI_REVIEW,alouatta,miniprot
Alouatta_macconnelli,GCA_963573945.1,Scaffold,False,PI_REVIEW,alouatta,miniprot
Ateles_hybridus,GCA_916098195.1,Scaffold,False,PI_REVIEW,ateles,miniprot
Cacajao_ayresi,GCA_963573425.1,Scaffold,False,PI_REVIEW,cacajao,miniprot
Cacajao_hosomi,GCA_963573795.1,Scaffold,False,PI_REVIEW,cacajao,miniprot
Cercopithecus_albogularis,GCA_023783535.1,Contig,False,PI_REVIEW,cercopithecus,miniprot
Cercopithecus_roloway,GCA_963573595.1,Scaffold,False,PI_REVIEW,cercopithecus,miniprot
Chiropotes_sagulatus,GCA_963574175.1,Scaffold,False,PI_REVIEW,chiropotes,miniprot
Eulemur_albifrons,GCA_963573435.1,Scaffold,False,PI_REVIEW,eulemur,miniprot
Eulemur_rufifrons,GCF_041146395.1,Chromosome,True,PI_REVIEW,eulemur,direct
Eulemur_rufus,GCA_963574465.1,Scaffold,False,PI_REVIEW,eulemur,miniprot
Eulemur_sanfordi,GCA_963573705.1,Scaffold,False,PI_REVIEW,eulemur,miniprot
Hoolock_leuconedys,GCA_047372625.1,Chromosome,False,PI_REVIEW,hoolock,miniprot
Leontopithecus_chrysomelas,GCA_963574395.1,Scaffold,False,PI_REVIEW,leontopithecus,miniprot
Leontopithecus_rosalia,GCA_054824895.1,Chromosome,False,PI_REVIEW,leontopithecus,miniprot
Nomascus_annamensis,GCA_963574525.1,Scaffold,False,PI_REVIEW,nomascus,miniprot
Nomascus_siki,GCA_023783065.1,Scaffold,False,PI_REVIEW,nomascus,miniprot
Pithecia_chrysocephala,GCA_963574905.1,Scaffold,False,PI_REVIEW,pithecia,miniprot
Pithecia_hirsuta,GCA_963573645.1,Scaffold,False,PI_REVIEW,pithecia,miniprot
Pithecia_mittermeieri,GCA_963574975.1,Scaffold,False,PI_REVIEW,pithecia,miniprot
Pithecia_pissinatti,GCA_963575305.1,Scaffold,False,PI_REVIEW,pithecia,miniprot
Pithecia_vanzolinii,GCA_963574005.1,Scaffold,False,PI_REVIEW,pithecia,miniprot
Rhinopithecus_strykeri,GCA_023764705.1,Contig,False,PI_REVIEW,rhinopithecus,miniprot
Semnopithecus_hypoleucos,GCA_963573665.1,Scaffold,False,PI_REVIEW,semnopithecus,miniprot
Semnopithecus_priam,GCA_963574295.1,Scaffold,False,PI_REVIEW,semnopithecus,miniprot
Semnopithecus_schistaceus,GCA_963574385.1,Scaffold,False,PI_REVIEW,semnopithecus,miniprot
Trachypithecus_germaini,GCA_963573455.1,Scaffold,False,PI_REVIEW,trachypithecus,miniprot
Trachypithecus_hatinhensis,GCA_963573355.1,Scaffold,False,PI_REVIEW,trachypithecus,miniprot
Trachypithecus_laotum,GCA_963573585.1,Scaffold,False,PI_REVIEW,trachypithecus,miniprot
Trachypithecus_poliocephalus,GCA_963573475.1,Scaffold,False,PI_REVIEW,trachypithecus,miniprot
Trachypithecus_shortridgei,GCA_054345695.1,Scaffold,False,PI_REVIEW,trachypithecus,miniprot
Varecia_rubra,GCA_963573675.1,Scaffold,False,PI_REVIEW,varecia,miniprot
Aotus_azarai,GCA_963573465.1,Scaffold,False,monochromatic,aotus,miniprot
Aotus_griseimembra,GCA_963574505.1,Scaffold,False,monochromatic,aotus,miniprot
Aotus_nancymaae,GCF_000952055.2,Scaffold,True,monochromatic,aotus,direct
Aotus_vociferans,GCA_963573775.1,Scaffold,False,monochromatic,aotus,miniprot
Arctocebus_calabarensis,GCA_963573935.1,Scaffold,False,monochromatic,arctocebus,miniprot
Avahi_laniger,GCA_963575035.1,Scaffold,False,monochromatic,avahi,miniprot
Avahi_peyrierasi,GCA_963573525.1,Scaffold,False,monochromatic,avahi,miniprot
Brachyteles_hypoxanthus,GCA_049997475.1,Scaffold,False,monochromatic,brachyteles,miniprot
Callimico_goeldii,GCA_963573925.1,Scaffold,False,monochromatic,callimico,miniprot
Callithrix_geoffroyi,GCA_963573515.1,Scaffold,False,monochromatic,callithrix,miniprot
Callithrix_jacchus,GCF_049354715.1,Chromosome,True,monochromatic,callithrix,direct
Callithrix_kuhlii,GCA_963573495.1,Scaffold,False,monochromatic,callithrix,miniprot
Callithrix_penicillata,GCA_046862485.1,Chromosome,False,monochromatic,callithrix,miniprot
Cebus_imitator,GCF_001604975.1,Scaffold,True,monochromatic,cebus,direct
Cebus_unicolor,GCA_963574255.1,Scaffold,False,monochromatic,cebus,miniprot
Cercocebus_chrysogaster,GCA_963574065.1,Scaffold,False,monochromatic,cercocebus,miniprot
Cercocebus_lunulatus,GCA_963573365.1,Scaffold,False,monochromatic,cercocebus,miniprot
Cheirogaleus_major,GCA_963574435.1,Scaffold,False,monochromatic,cheirogaleus,miniprot
Cheirogaleus_medius,GCA_008086735.1,Scaffold,False,monochromatic,cheirogaleus,miniprot
Chlorocebus_pygerythrus,GCA_963575115.1,Scaffold,False,monochromatic,chlorocebus,miniprot
Chlorocebus_sabaeus,GCF_047675955.1,Chromosome,True,monochromatic,chlorocebus,direct
Daubentonia_madagascariensis,GCA_044048945.1,Scaffold,False,monochromatic,daubentonia,miniprot
Galago_moholi,GCA_023783435.1,Contig,False,monochromatic,galago,miniprot
Galago_senegalensis,GCA_963575145.1,Scaffold,False,monochromatic,galago,miniprot
Galagoides_demidoff,GCA_963574575.1,Scaffold,False,monochromatic,galagoides,miniprot
Gorilla_beringei,GCA_963575185.1,Scaffold,False,monochromatic,gorilla,miniprot
Gorilla_gorilla,GCF_029281585.2,Chromosome,True,monochromatic,gorilla,direct
Hapalemur_alaotrensis,GCA_963574485.1,Scaffold,False,monochromatic,hapalemur,miniprot
Hapalemur_meridionalis,GCA_963575175.1,Scaffold,False,monochromatic,hapalemur,miniprot
Hapalemur_occidentalis,GCA_963575155.1,Scaffold,False,monochromatic,hapalemur,miniprot
Indri_indri,GCA_004363605.1,Scaffold,False,monochromatic,indri,miniprot
Leontocebus_fuscicollis,GCA_963575285.1,Scaffold,False,monochromatic,leontocebus,miniprot
Leontocebus_nigricollis,GCA_963575265.1,Scaffold,False,monochromatic,leontocebus,miniprot
Lepilemur_ankaranensis,GCA_963573785.1,Scaffold,False,monochromatic,lepilemur,miniprot
Lepilemur_dorsalis,GCA_963574875.1,Scaffold,False,monochromatic,lepilemur,miniprot
Lepilemur_ruficaudatus,GCA_963574885.1,Scaffold,False,monochromatic,lepilemur,miniprot
Lepilemur_septentrionalis,GCA_963573855.1,Scaffold,False,monochromatic,lepilemur,miniprot
Loris_lydekkerianus,GCA_963574355.1,Scaffold,False,monochromatic,loris,miniprot
Loris_tardigradus,GCA_023783135.1,Contig,False,monochromatic,loris,miniprot
Macaca_leonina,GCA_963573825.1,Scaffold,False,monochromatic,macaca,miniprot
Macaca_siberu,GCA_963574275.1,Scaffold,False,monochromatic,macaca,miniprot
Mico_argentatus,GCA_963573565.1,Scaffold,False,monochromatic,mico,miniprot
Mico_humeralifer,GCA_963574605.1,Scaffold,False,monochromatic,mico,miniprot
Mico_humilis,GCA_963574545.1,Scaffold,False,monochromatic,mico,miniprot
Microcebus_griseorufus,GCA_008750995.1,Scaffold,False,monochromatic,microcebus,miniprot
Microcebus_jonahi,GCA_008750915.1,Scaffold,False,monochromatic,microcebus,miniprot
Microcebus_lehilahytsara,GCA_008750955.1,Scaffold,False,monochromatic,microcebus,miniprot
Microcebus_murinus,GCF_040939455.1,Chromosome,True,monochromatic,microcebus,direct
Microcebus_ravelobensis,GCA_008750975.1,Scaffold,False,monochromatic,microcebus,miniprot
Microcebus_tavaratra,GCA_008750935.1,Scaffold,False,monochromatic,microcebus,miniprot
Miopithecus_ogouensis,GCA_963573445.1,Scaffold,False,monochromatic,miopithecus,miniprot
Nycticebus_bengalensis,GCA_023898255.1,Chromosome,False,monochromatic,nycticebus,miniprot
