pig,hor,direction,stim,inhib,directed,n_refs,n_sources,hor_axis,string_confirmed,pig_in_panel,likely_hub
CREB1,HSD3B1,CREB1->HSD3B1,True,False,True,1,2,steroid_biosynthesis,False,False,False
GSK3B,GNAQ,GNAQ->GSK3B,False,True,True,1,2,gnrh_signaling,False,False,True
POU3F2,GNRH1,POU3F2->GNRH1,True,False,True,1,2,hpg_axis,False,False,False
NR5A1,GNRHR,NR5A1->GNRHR,True,False,True,1,2,hpg_axis,True,False,False
KAT5,AR,KAT5->AR,True,False,True,5,9,androgen_axis,True,False,False
WNT4,ESR1,ESR1->WNT4,True,False,True,1,2,estrogen_axis,True,False,False
MDM2,AR,MDM2->AR,False,True,True,11,10,androgen_axis,True,False,False
SIRT1,NCOR2,SIRT1->NCOR2,True,False,True,2,3,coactivator_corepressor_carrier,True,False,True
SIRT1,NCOR1,SIRT1->NCOR1,True,False,True,4,4,coactivator_corepressor_carrier,True,False,True
AKT1,AR,AKT1->AR,True,True,True,11,26,androgen_axis,True,False,True
CASP8,AR,CASP8->AR,False,True,True,3,4,androgen_axis,True,False,True
HDAC1,AR,HDAC1->AR,False,True,True,6,6,androgen_axis,True,False,True
CASP3,AR,CASP3->AR,True,True,True,4,4,androgen_axis,True,False,True
CASP7,AR,CASP7->AR,False,True,True,2,3,androgen_axis,False,False,False
CASP1,AR,CASP1->AR,False,True,True,2,3,androgen_axis,False,False,False
CFLAR,AR,AR->CFLAR,True,False,True,1,2,androgen_axis,False,False,False
CDKN1A,AR,AR->CDKN1A,True,False,True,1,2,androgen_axis,True,False,True
JUN,CGA,JUN->CGA,True,False,True,1,2,hpg_axis,False,False,True
PIK3CA,GNA11,GNA11->PIK3CA,True,True,True,1,3,gnrh_signaling,True,False,False
GNAS,GNRHR,GNRHR->GNAS,True,False,True,2,4,hpg_axis,True,False,False
GNAI1,GNRHR,GNRHR->GNAI1,True,False,True,2,3,hpg_axis,False,False,False
ABL1,NCOA3,ABL1->NCOA3,True,False,True,2,11,coactivator_corepressor_carrier,False,False,True
PLCB2,GNA11,GNA11->PLCB2,True,False,True,2,4,gnrh_signaling,True,False,False
ABL1,ESR1,ABL1->ESR1,True,False,True,3,11,estrogen_axis,True,False,True
CAMK2B,GNRH1,GNRH1->CAMK2B,True,False,True,1,2,hpg_axis,False,False,False
FOS,CGA,FOS->CGA,True,False,True,1,2,hpg_axis,False,False,False
CTNNB1,GNRHR,GNRHR->CTNNB1,True,False,True,1,2,hpg_axis,False,False,True
CAMK2A,GNRH1,GNRH1->CAMK2A,True,False,True,1,2,hpg_axis,False,False,False
PMAIP1,AR,AR->PMAIP1,True,False,True,1,2,androgen_axis,False,False,False
JUN,AR,AR->JUN,True,False,True,7,7,androgen_axis,True,False,True
SRC,AR,SRC->AR,True,False,True,26,20,androgen_axis,True,False,True
CCND1,ESR1,ESR1->CCND1,True,False,True,5,6,estrogen_axis,True,False,True
MYC,ESR1,ESR1->MYC,True,False,True,1,3,estrogen_axis,True,False,False
FBXW7,NCOA3,FBXW7->NCOA3,False,True,True,1,2,coactivator_corepressor_carrier,True,False,False
CTNNB1,AR,AR->CTNNB1,True,True,True,20,13,androgen_axis,True,False,True
RELA,NCOR2,RELA->NCOR2,False,True,True,4,10,coactivator_corepressor_carrier,True,False,False
CDK7,AR,CDK7->AR,False,True,True,6,19,androgen_axis,True,False,False
NR0B1,ESR1,NR0B1->ESR1,True,True,True,2,4,estrogen_axis,True,False,False
EGFR,ESR1,EGFR->ESR1,True,False,True,5,7,estrogen_axis,True,False,False
NR0B1,AR,NR0B1->AR,True,True,True,6,5,androgen_axis,True,False,False
NR5A1,AR,AR->NR5A1,True,False,True,2,7,androgen_axis,False,False,False
MAPK14,CYP17A1,MAPK14->CYP17A1,True,False,True,1,1,androgen_axis,False,False,True
NR0B1,ESR2,NR0B1->ESR2,True,False,True,2,2,estrogen_axis,True,False,False
PLCB1,GNAQ,GNAQ->PLCB1,True,False,True,8,9,gnrh_signaling,True,False,False
F2RL1,GNAQ,F2RL1->GNAQ,True,False,True,2,4,gnrh_signaling,True,False,False
PLCB1,GNA11,GNA11->PLCB1,True,False,True,2,5,gnrh_signaling,True,False,False
PLCB1,GNA11,PLCB1->GNA11,True,False,True,1,2,gnrh_signaling,True,False,False
CHUK,NCOR2,CHUK->NCOR2,False,True,True,6,19,coactivator_corepressor_carrier,True,False,True
EP300,NCOR2,EP300->NCOR2,False,False,True,3,1,coactivator_corepressor_carrier,True,False,True
GNAQ,GPER1,GPER1->GNAQ,True,False,True,1,1,estrogen_axis,True,False,False
MAPK1,ESR1,MAPK1->ESR1,True,False,True,17,22,estrogen_axis,True,False,True
MC1R,GNAQ,MC1R->GNAQ,True,False,True,1,1,gnrh_signaling,False,True,False
MAPK3,ESR1,MAPK3->ESR1,True,False,True,14,19,estrogen_axis,True,False,True
LCK,ESR1,LCK->ESR1,True,False,True,7,20,estrogen_axis,True,False,False
MNAT1,ESR1,MNAT1->ESR1,True,False,True,5,12,estrogen_axis,True,False,False
ZMIZ1,AR,ZMIZ1->AR,True,False,True,1,5,androgen_axis,True,False,False
GSK3B,ESR1,GSK3B->ESR1,True,False,True,15,21,estrogen_axis,True,False,True
CDK2,ESR1,CDK2->ESR1,True,False,True,5,13,estrogen_axis,True,False,True
GSK3B,AR,GSK3B->AR,False,True,True,3,4,androgen_axis,True,False,True
MC4R,GNAQ,MC4R->GNAQ,True,False,True,1,1,gnrh_signaling,False,False,False
MAPK14,ESR1,MAPK14->ESR1,True,False,True,4,22,estrogen_axis,True,False,True
