gene,supporting_layers,n_edge_bearing_layers,is_raghunath_enzyme_class_token,omim_disease_flag,omim_disease_names,omim_phenotype_class,massspec_detected_flag,massspec_a375_lfq,massspec_fm55_lfq,bajpai_hit_flag,bajpai_castle_effect,bajpai_q_value,bajpai_direction,bajpai_orphan_hit,citation,citation_source
TYRP1,Raghunath|KEGG|Reactome|GRN|STRING_ours|DArcy_STRING,6,False,True,"Oculocutaneous albinism, type 3|Piebaldism",Hypopigmentation,False,,,False,,,,False,"UniProt:P17643;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:10080955,10480898,10770922,11076759,11237412,11310793,12136092,12204775,12859621,14632202,15760338,16197942,16411896,16493586,16648630,17071589,17237008,17266927,17457519,19067970,19067971,19192212,19699574,1999537,19995375,20834163,21119619,21519923,21972008,22371403,22536778,22710324,22847819,22898827,23041339,23063590,23178856,23416839,23729736,24016750,24192058,25126713,25663088,26524968,27374284,28390782,28431046,29545604,29621941,30322121,30408247,30579288,30603437,31288940,33205668,33260669,33823181,33896085,35203061,35461746,35733058,36080359,36734267,36978940,37138409,8749302,8995290;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
MC1R,Raghunath|KEGG|Reactome|GRN|STRING_ours|DArcy_STRING,6,False,True,"Oculocutaneous albinism, type 2",Hypopigmentation,False,,,False,,,,False,"UniProt:Q01726;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:10623832,12204775,21119619,22564683,31318566;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
MITF,Raghunath|KEGG|Reactome|GRN|STRING_ours|DArcy_STRING,6,False,True,Tietz albinism-deafness syndrome|Waardenburg syndrome type 2A,Hypopigmentation,False,,,False,,,,False,"UniProt:O75030;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:17164294,26845432,32495878;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
KIT,Raghunath|KEGG|Reactome|GRN|STRING_ours|DArcy_STRING,6,False,True,"Mastocytosis, cutaneous|Mastocytosis, systemic, somatic|Piebaldism",Hyperpigmentation|Hypopigmentation,False,,,False,,,,False,"UniProt:P10721;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:11041370,11076759,11174389,19067971,19937254,1999537,20374522,25810396,29885053,36241703,8695840,9199364,9553202;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
TYR,Raghunath|KEGG|Reactome|GRN|STRING_ours|DArcy_STRING,6,False,True,"Oculocutaneous albinism, type 1A|Oculocutaneous albinism, type 1B|Piebaldism|Vitiligo|[Skin/hair/eye pigmentation 3, blue/green eyes]|[Skin/hair/eye pigmentation 3, light/dark/freckling skin]|{Melanoma, cutaneous malignant, susceptibility to, 8}",Hyperpigmentation|Hypopigmentation|Pigmentation phenotype,False,,,True,4.1,0.00019277,reduces_pigmentation,False,"UniProt:P14679;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:10080955,10587587,10770922,11076759,11532965,11830592,12034359,12093801,12136092,12201672,12204775,12485437,12663655,12859621,14632202,14717844,15558216,15760338,15894174,16280009,16394501,16411896,16420250,16493586,16648630,16757562,16807878,17024102,17083486,17116288,17237008,17250547,17266927,17457519,17473428,17516925,17702866,18177348,18424413,18457359,18803655,19067970,19067971,19424591,19469902,19527735,19938076,1999537,19995375,20099279,20163455,20177067,20445320,20460767,20482673,20485200,20549222,20834163,20862309,21119619,21519923,21569106,21910056,21957942,21972008,21988805,21995379,22162275,22251576,22259223,22371403,22465131,22536778,22555175,22710324,22867636,22898827,23041339,23063590,23098757,23768344,23812774,23872139,23876066,23935660,24016750,24078219,24192058,24267888,24671267,24756377,24769727,25333888,25488359,25663088,26018825,26349509,26387540,26524968,26601420,26663053,27242917,27343558,27374284,27774936,28165285,28390782,28392346,28842328,29019920,29221146,29369499,29621941,29865165,29886459,30084054,30322121,30408247,30417494,30579288,30603437,30668315,30671368,30987288,31288940,31484592,31547367,31973810,32450387,32674403,33205668,33260669,33340761,33545118,33731492,33823181,33896085,33917957,34049220,34299326,34641584,34923233,34946730,35163281,35203061,35266648,35290062,35325017,35566061,35716437,35733058,35889231,36030197,36080217,36080359,36207998,36235295,36545047,36978940,37107174,37138409,37794194,7862173,7969144,8622664,8645245,8659547,8707852,8749302,8995290,9158138,9170159,9417870,9500554,9593634,9647758;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
EDNRB,Raghunath|KEGG|Reactome|GRN|STRING_ours|DArcy_STRING,6,False,True,ABCD syndrome|Waardenburg syndrome type 4A,Hypopigmentation,False,,,False,,,,False,"UniProt:P24530;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:18039926,26030901;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
MAPK1,Raghunath|KEGG|Reactome|GRN|STRING_ours|DArcy_STRING,6,False,False,,,True,226170.0,229545.0,False,,,,False,"UniProt:P28482;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:18628967;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
EP300,Raghunath|KEGG|Reactome|STRING_ours|DArcy_STRING,5,False,False,,,False,,,True,1.2,0.000880643,reduces_pigmentation,False,"Entrez:2033;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
GSK3B,Raghunath|KEGG|Reactome|GRN|STRING_ours,5,False,False,,,True,67923.0,100953.83333333331,False,,,,False,UniProt:P49841;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:12093801;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
POMC,Raghunath|KEGG|Reactome|STRING_ours|DArcy_STRING,5,False,True,"Obesity, adrenal insufficiency, and red hair due to POMC deficiency",Hypopigmentation,False,,,False,,,,False,"Entrez:5443|UniProt:P01189;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
