paper,rsid,nearest_gene_label,melanocyte_eqtl_gene,connection_route,connecting_edges,tiers,convergence_grade,bucket,confirming_experiment,notes
Ang2023,"rs463373 (representative); also rs3733437, rs6826912, rs439757, rs223495, rs3733632",EMCN / PPP3CA / SLC39A8 / MANBA / TACR3 (chr4 segment members),none (no passenger is a melanocyte eGene),none,"PPP3CA-CALM1/2/3 (STRING T3, generic calcineurin-calmodulin)",T3_STRING_association,—,NEG,Fine-map/functional dissection of the ~1.7Mb homozygous segment to find the true albino-causal variant,"chr4 ~1.7Mb homozygous segment shared by 3 albinos; EMCN/PPP3CA/SLC39A8/MANBA/TACR3 are CO-SEGREGATING PASSENGERS. None is a melanocyte eGene, none in melanogenesis core. Only PPP3CA touches core via generic STRING->calmodulin. Honest negative."
Ang2023,rs7911113,LRMDA,"C10orf11=LRMDA (melanocyte eGene q=3.94e-11, Zhang T-S6)",known-biology + melanocyte-eQTL + substrate STRING,LRMDA->OCA2/SLC24A5/SLC45A2 (STRING T3); LRMDA=OCA7 albinism gene,T3_STRING_association,A,NONCANON,Melanocyte-specific LRMDA knockout / rescue and melanin quantification (already an OCA7 model exists),"LRMDA = ""leucine-rich melanocyte differentiation associated"" = OCA7 (autosomal-recessive oculocutaneous albinism 7). It IS a bona fide pigmentation effector; the effector-uncertain label was WRONG. Melanocyte eQTL (as alias C10orf11) confirms it is a strong melanocyte eGene. STRONGEST connection."
Ang2023,"rs116218201 (representative); cluster also rs113236485, rs115102845, rs185469828",SYT6 (near/downstream/intronic),none,none,—,—,—,NEG,n/a — no mechanistic hypothesis,"SYT6 (synaptotagmin 6). Not a melanocyte eGene, absent from substrate/core, no edges. Authors: low MAF, ""none warrant further investigation."" Note SYTL2 (a different synaptotagmin-LIKE) is pigment-relevant, but SYT6 is not. Honest negative."
Ang2023,rs676091,KALRN (intronic),none,none,—,—,—,NEG,n/a,"KALRN (kalirin RhoGEF kinase, neuronal). Not a melanocyte eGene, absent from substrate/core, no path. Authors: low MAF, stated unknown. Honest negative."
Ang2023,rs6816819,LOC107986284 (intronic),none (TECRL not a melanocyte eGene),none,—,—,—,NEG,n/a,"Bulk L2G resolved TECRL (trans-2,3-enoyl-CoA reductase-like; cardiac arrhythmia gene). Melanocyte eQTL does NOT reproduce this - TECRL is NOT a melanocyte eGene. No pigment mechanism. Honest negative; melanocyte data contradicts the bulk resolution by silence."
Ang2023,rs12233134,EFR3B (near POMC),none (POMC not a melanocyte eGene in Zhang list),canonical-neighbour (POMC) — NOT significant,POMC->ASIP/MC1R/ATP7A (STRING T3),T3_STRING_association,—,CANON,If pursued: eQTL/reporter test whether rs12233134 alters POMC vs EFR3B expression in melanocytes,"Nearest=EFR3B but POMC (alpha-MSH precursor, MC1R ligand) sits at the locus and IS effectively canonical. p_adj=0.2653 NOT significant. Even the canonical-neighbour interpretation is not supported by significance. Flag: canonical-neighbour, non-significant."
Ang2023,rs4959270 (also rs1540771),near IRF4,"IRF4 (melanocyte coloc CLPP=1.00, Zhang T-S15; melanocyte eGene q=1.96e-10)",canonical-neighbour (IRF4),IRF4 in Reactome pigmentation subpathway; IRF4->EP300/CREBBP (STRING),T3_STRING_association / Reactome-pigmentation,"A(for IRF4, canonical)",CANON,Already done by Zhang: melanocyte coloc localises the 6p25.3 pigment signal to IRF4 (CLPP=1.0),"IRF4 IS a canonical effector. Melanocyte coloc (CLPP=1.0) and melanocyte eGene status place the 6p25.3 signal squarely on IRF4. IRF4 trans-regulates NEO1/PLA1A/TMEM140 (Zhang T-S10) but those are DOWNSTREAM of canonical IRF4, not a rescue. Acts on canonical neighbour -> NOT our finding."
Ang2023,rs6917661 (representative); also rs2333857,IPCEF1 / CNKSR3 (near OPRM1),none,none,—,—,—,NEG,n/a,"IPCEF1/CNKSR3 near OPRM1 (opioid receptor). None is a melanocyte eGene, none in substrate/core. CNKSR3 p_adj=0.029 marginal. No pigment mechanism. Honest negative."
Ang2023,"rs12668421 (representative); also rs11238349, rs4948023",EGFR / LANCL2 (near EGFR),none (EGFR not a melanocyte eGene),GRN regulon (MITF represses EGFR; PAX3 activates),MITF-|EGFR (GRN tier B); PAX3->EGFR (CollecTRI); EGFR-HRAS (Raghunath T0),T1_GRN_regulon; T0_Raghunath,C,NONCANON,ChIP + reporter: test MITF/PAX3 occupancy and rs12668421 allele effect on EGFR in melanocytes,"EGFR is a genuine MITF/PAX3 regulon target (GRN layer UNIQUELY enables this). Non-circular network route. BUT the GWAS signal is null in Ang2023 (p_adj=0.78, not replicated) - the connection is real, the locus is weak. EGFR is a downstream/parallel target, not a pigment-synthesis effector."
Ang2023,rs11198112,near EMX2 (intergenic),none,none,—,—,—,NEG,n/a,near EMX2 (intergenic); bulk resolved RAB11FIP2 (Rab11 recycling effector). Neither is a melanocyte eGene; neither in substrate/core. Melanocyte data silent - does not support bulk RAB11FIP2 call. p_adj=0.62. Honest negative.
