source,target,sign,via,citation,citation_source
ADCY4,PRKACA,+,cAMP_melan,relayed via cAMP_melan (backbone-derived; see topology layer),relayed_backbone
ADCY4,PRKACA,+,cAMP_kerat,relayed via cAMP_kerat (backbone-derived; see topology layer),relayed_backbone
ADCY4,RAP1A,+,cAMP_melan,relayed via cAMP_melan (backbone-derived; see topology layer),relayed_backbone
AKT1,BAD,-,,PMID:16888633; PMID:16932738,inherited_backbone
AKT1,CASP8,-,,NetProTM (Molecular Connections curated interaction DB); PMID:12952968,inherited_backbone
AKT1,CREB1,+,,PMID:10761990,inherited_backbone
AKT1,CTNNB1,+,,PMID:21802267,inherited_backbone
AKT1,EZR,+,,PMID:18983538,inherited_backbone
AKT1,FOS,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
AKT1,GSK3B,-,,PMID:12489109; PMID:14632202,inherited_backbone
AKT1,MSN,+,,PMID:18983538,inherited_backbone
AKT1,RDX,+,,PMID:18983538,inherited_backbone
BAD,CYCS,+,,PMID:14678993; PMID:16932738,inherited_backbone
BAK1,CYCS,+,,PMID:16901898,inherited_backbone
BAX,CYCS,+,,NetProTM (Molecular Connections curated interaction DB); PMID:15304079,inherited_backbone
BBC3,BAX,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
BCL2,BAX,-,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
BID,CYCS,+,,PMID:20019748,inherited_backbone
CASP3,CDKN1A,-,,PMID:9660939,inherited_backbone
CASP3,DFFA,+,DFFB:DFFA_kerat,relayed via DFFB:DFFA_kerat (backbone-derived; see topology layer),relayed_backbone
CASP3,DFFB,+,DFFB:DFFA_kerat,relayed via DFFB:DFFA_kerat (backbone-derived; see topology layer),relayed_backbone
CASP3,MAP3K1,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CASP3,PRKCD,+,,PMID:9660939,inherited_backbone
CASP8,BID,+,,PMID:20019748,inherited_backbone
CASP8,CASP3,+,,PMID:11803373,inherited_backbone
CASP9,CASP3,+,,PMID:11919192,inherited_backbone
CASP9,CASP8,+,,PMID:11919192,inherited_backbone
CDC42,MAP3K1,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CDC42,RAC1,+,,PMID:11896192,inherited_backbone
CFLAR,MAP2K7,-,,PMID:17110930,inherited_backbone
CHUK,NFKB1,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CREB1,BCL2,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CREB1,CFLAR,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CREB1,DUSP1,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CREB1,MITF,+,,PMID:19124082,inherited_backbone
CREB1,PTGS2,+,,NetProTM (Molecular Connections curated interaction DB); PMID:17277233,inherited_backbone
CSF2,CSF2RA,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CSF2RA,STAT3,+,CSF2RA:JAK1_melan,relayed via CSF2RA:JAK1_melan (backbone-derived; see topology layer),relayed_backbone
CTNNB1,MITF,+,CTNNB1:LEF1_melan,relayed via CTNNB1:LEF1_melan (backbone-derived; see topology layer),relayed_backbone
CYCS,CASP9,+,APAF1:CYCS_kerat,relayed via APAF1:CYCS_kerat (backbone-derived; see topology layer),relayed_backbone
CYCS,TFAP2A,+,,PMID:12952965,inherited_backbone
DUSP1,MAPK1,-,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
DUSP1,MAPK3,-,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
DUSP1,MAPK8,-,,PMID:17363493,inherited_backbone
EDN1,EDNRB,+,,PMID:16411896,inherited_backbone
EDNRB,ADCY4,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
EDNRB,PLC,+,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
EGFR,HRAS,+,SOS1:GRB2:SHC1_kerat,relayed via SOS1:GRB2:SHC1_kerat (backbone-derived; see topology layer),relayed_backbone
EGFR,PIK3CA,+,,PMID:12952968,inherited_backbone
EGFR,STAT1,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
ELK1,CDKN1A,+,,PMID:21642427,inherited_backbone
F10,F2RL1,+,,PMID:19258275,inherited_backbone
F2RL1,PLC,+,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
F2RL1,RHOA,+,,PMID:12925212,inherited_backbone
F7,F2RL1,+,,PMID:19258275,inherited_backbone
FAS,CASP8,+,FAS:FADD_kerat,relayed via FAS:FADD_kerat (backbone-derived; see topology layer),relayed_backbone
FASLG,FAS,+,,PMID:9425165,inherited_backbone
FOS,BCL2,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,CCND1,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,EDN1,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,IL1A,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,IL6,-,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,IVL,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,MMPs,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,NGF,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,PTGS2,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,TNF,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FZD3,AKT1,+,,PMID:17804197,inherited_backbone
GAB1,AKT1,+,GAB1:PIK3CA_melan,relayed via GAB1:PIK3CA_melan (backbone-derived; see topology layer),relayed_backbone
GSK3B,CTNNB1,-,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
GSK3B,NFATC1,-,,PMID:18708588,inherited_backbone
GUCY1A2,PRKG1,+,cGMP_melan,relayed via cGMP_melan (backbone-derived; see topology layer),relayed_backbone
GUCY1A2,Phosphodiesterase,+,cGMP_melan,relayed via cGMP_melan (backbone-derived; see topology layer),relayed_backbone
HGF,MET,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
HIF1A,KITLG,+,,PMID:24194964,inherited_backbone
HIF1A,PMAIP1,+,,PMID:20393480,inherited_backbone
HRAS,RAF1,+,,NetProTM (Molecular Connections curated interaction DB); PMID:11348449,inherited_backbone
IL1A,IL1R1,+,,PMID:11348449,inherited_backbone
IL1R1,IRAK1,+,IL1R1:MYD88:IRAK1:IRAK4_kerat,relayed via IL1R1:MYD88:IRAK1:IRAK4_kerat (backbone-derived; see topology layer),relayed_backbone
IL6,IL6R,+,,PMID:15191552,inherited_backbone
IL6R,JAK1,+,,PMID:15191552,inherited_backbone
IRAK1,CHUK,0,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),relayed_backbone
IRAK1,MAP2K3,0,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),relayed_backbone
IRAK1,MAP2K4,0,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),relayed_backbone
IRAK1,MAP2K6,0,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),relayed_backbone
IRAK1,MAP3K1,+,IRAK1_Active:TRAF6_kerat>IRAK1_Active:TRAF6:ECSIT_kerat,relayed via IRAK1_Active:TRAF6_kerat>IRAK1_Active:TRAF6:ECSIT_kerat (backbone-derived; see topology layer),relayed_backbone
JAK1,STAT3,+,,PMID:15191552,inherited_backbone
JUN,BCL2,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,CCND1,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,EDN1,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,IL1A,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,IL6,-,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,IVL,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,MMPs,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,NGF,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,PTGS2,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,TNF,+,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
KIT,HRAS,+,SOS1:GRB2:SHC1_melan,relayed via SOS1:GRB2:SHC1_melan (backbone-derived; see topology layer),relayed_backbone
KIT,PIK3CA,+,,PMID:16410786,inherited_backbone
KITLG,KIT,+,,NetProTM (Molecular Connections curated interaction DB); PMID:22637532,inherited_backbone
MAP2K1,MAPK1,+,,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,inherited_backbone
MAP2K1,MAPK3,+,,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,inherited_backbone
MAP2K2,MAPK1,+,,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,inherited_backbone
MAP2K2,MAPK3,+,,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,inherited_backbone
MAP2K3,MAPK14,+,,"Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",inherited_backbone
