canonical_id,node_type,hgnc_symbol,entrez,ensembl,uniprot_acc,chr,start,end,strand,compartments,states,type_source,type_evidence_id,is_endpoint,n_source_nodes,source_nodes
AHR:SRC:HSP90AA1_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,AHR:SRC:HSP90AA1_kerat
APAF1:CYCS_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,APAF1:CYCS_kerat
CDK4:CCND1_melan,complex,,,,,,,,,melanocyte,,raghunath_file_syntax,,False,1,CDK4:CCND1_melan
CSF2RA:JAK1_melan,complex,,,,,,,,,melanocyte,,raghunath_file_syntax,,False,1,CSF2RA:JAK1_melan
CTNNB1:LEF1_melan,complex,,,,,,,,,melanocyte,,raghunath_file_syntax,,False,1,CTNNB1:LEF1_melan
Calcium_cyt:Calmodulin_melan,complex,,,,,,,,,melanocyte,,raghunath_file_syntax,,False,1,Calcium_cyt:Calmodulin_melan
DFFB:DFFA_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,DFFB:DFFA_kerat
FAS:FADD_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,FAS:FADD_kerat
FOS_kerat:JUN_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,FOS_kerat:JUN_kerat
FOS_kerat:JUN_melan,complex,,,,,,,,,melanocyte,,raghunath_file_syntax,,False,1,FOS_kerat:JUN_melan
GAB1:PIK3CA_melan,complex,,,,,,,,,melanocyte,,raghunath_file_syntax,,False,1,GAB1:PIK3CA_melan
IL1R1:MYD88:IRAK1:IRAK4_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,IL1R1:MYD88:IRAK1:IRAK4_kerat
IRAK1_Active:TRAF6:ECSIT_kerat,complex,,,,,,,,,keratinocyte,active,raghunath_file_syntax,,False,1,IRAK1_Active:TRAF6:ECSIT_kerat
IRAK1_Active:TRAF6_kerat,complex,,,,,,,,,keratinocyte,active,raghunath_file_syntax,,False,1,IRAK1_Active:TRAF6_kerat
MAP3K7:TAB1_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,MAP3K7:TAB1_kerat
MCL1:BAK1_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,MCL1:BAK1_kerat
MCL1:BAX_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,MCL1:BAX_kerat
MITF:EP300_melan,complex,,,,,,,,,melanocyte,,raghunath_file_syntax,,False,1,MITF:EP300_melan
RAC1:PARD6A:CDC42_melan,complex,,,,,,,,,melanocyte,,raghunath_file_syntax,,False,1,RAC1:PARD6A:CDC42_melan
SOS1:GRB2:SHC1_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,SOS1:GRB2:SHC1_kerat
SOS1:GRB2:SHC1_melan,complex,,,,,,,,,melanocyte,,raghunath_file_syntax,,False,1,SOS1:GRB2:SHC1_melan
TNFRSF1A:NSMAF:GNB2L1_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,TNFRSF1A:NSMAF:GNB2L1_kerat
TNFRSF1A:TRADD:FADD_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,TNFRSF1A:TRADD:FADD_kerat
TNFRSF1A:TRAF2:RIPK1_kerat,complex,,,,,,,,,keratinocyte,,raghunath_file_syntax,,False,1,TNFRSF1A:TRAF2:RIPK1_kerat
UVA,environmental,,,,,,,,,none,,raghunath_paper_text,,False,1,UVA
UVB,environmental,,,,,,,,,none,,raghunath_paper_text,,False,1,UVB
ACTH_kerat,peptide_ligand,,,,,,,,,keratinocyte,,pubchem_synonym_raw_token,CID:16132265,False,1,ACTH_kerat
ACTH_melan,peptide_ligand,,,,,,,,,melanocyte,,pubchem_synonym_raw_token,CID:16132265,False,1,ACTH_melan
alpha_MSH_kerat,peptide_ligand,,,,,,,,,keratinocyte,,pubchem_synonym_deunderscored,CID:16133793,False,1,alpha_MSH_kerat
alpha_MSH_melan,peptide_ligand,,,,,,,,,melanocyte,,pubchem_synonym_deunderscored,CID:16133793,False,1,alpha_MSH_melan
