base,resolution_method,query_sent,db_source,node_type,accession,db_iupac_name,db_formula,chebi_xref,ruling_rationale
Calcium_cyt,manual_ruling_documented,,,small_molecule,CHEBI:29108,calcium(2+),,CHEBI:29108,"Network node is compartment-tagged ('_cyt' = cytosolic); the suffix blocks a DB synonym match. Ruled to the calcium(2+) ion; '_cyt' retained as a compartment attribute, not part of chemical identity."
Cysteinyl_DOPA,manual_ruling_documented,,,small_molecule,CID:29719,5-S-cysteinyldopa,,,Pheomelanin-pathway intermediate; the network's collapsed token is not a DB-indexed synonym. Ruled to 5-S-cysteinyldopa (PubChem CID 29719); no single curated ChEBI entry.
DAG,manual_ruling_documented,,,small_molecule,CHEBI:18035,diacylglycerol,,CHEBI:18035,"'DAG' is genuinely ambiguous (also a non-chemical acronym) and returns no PubChem compound; requires a domain ruling. Ruled to diacylglycerol (the PLC-pathway second messenger), ChEBI:18035."
Glutathionyl_DOPA,manual_ruling_documented,,,small_molecule,CID:124212,5-S-glutathionyl DOPA,,,Pheomelanin-pathway intermediate; collapsed token not DB-indexed. Ruled to 5-S-glutathionyl DOPA (PubChem CID 124212); no clean single ChEBI entry.
Indole_5_6_quinone,manual_ruling_documented,,,small_molecule,CHEBI:27406,"indole-5,6-quinone",,CHEBI:27406,"Underscored positional label not indexed as a synonym. Ruled to indole-5,6-quinone (eumelanin intermediate), ChEBI:27406."
Indole_5_6_quinone_carboxylic_acid,manual_ruling_documented,,,small_molecule,CID:17796835,"indole-5,6-quinone-2-carboxylic acid",,,"Underscored positional label not DB-indexed. Ruled to indole-5,6-quinone-2-carboxylic acid (PubChem CID 17796835), eumelanin intermediate."
ROS,manual_ruling_documented,,,small_molecule,CHEBI:26523,reactive oxygen species,,CHEBI:26523,"Explicitly a compound CLASS, not a single molecule; no unambiguous DB compound. Ruled to the ChEBI class 'reactive oxygen species' (CHEBI:26523) and kept as a class node."
Singlet_oxygen,manual_ruling_documented,,,small_molecule,CHEBI:26689,singlet dioxygen,,CHEBI:26689,"DB synonym lookup returned a chemically wrong entity (atomic oxygen 'oxidane', formula O). Overridden by explicit ruling to singlet dioxygen (O2), ChEBI:26689."
Nitric_oxide,pubchem_synonym_deunderscored,Nitric oxide,PubChem name/synonym index,small_molecule,CID:145068,nitric oxide,NO,CHEBI:16480,
alpha_MSH,pubchem_synonym_deunderscored,alpha MSH,PubChem name/synonym index,peptide_ligand,CID:16133793,(4S)-4-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-acetamido-3-hydroxypropanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]-3-hydroxypropanoyl]amino]-4-methylsulfanylbutanoyl]amino]-5-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[2-[[(2S)-6-amino-1-[(2S)-2-[[(2S)-1-amino-3-methyl-1-oxobutan-2-yl]carbamoyl]pyrrolidin-1-yl]-1-oxohexan-2-yl]amino]-2-oxoethyl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-5-carbamimidamido-1-oxopentan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]amino]-3-(1H-imidazol-4-yl)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,C77H109N21O19S,CHEBI:195325,
