family,tool,first_author,year,title,source,doi,pmid,software,relevance,verified
1_edge_turnover,,Tuch,2008,The evolution of combinatorial gene regulation in fungi,PLoS Biology,10.1371/journal.pbio.0060038,18303948,,landmark_background,yes
1_edge_turnover,,Odom,2007,Tissue-specific transcriptional regulation has diverged significantly between human and mouse,Nature Genetics,10.1038/ng2047,17529977,,background,yes
1_edge_turnover,,Schmidt,2010,Five-vertebrate ChIP-seq reveals the evolutionary dynamics of transcription factor binding,Science,10.1126/science.1186176,20378774,,landmark_background,yes
1_edge_turnover,,Bradley,2010,Binding site turnover produces pervasive quantitative changes in transcription factor binding between closely related Drosophila species,PLoS Biology,10.1371/journal.pbio.1000343,20351773,,background,yes
1_edge_turnover,,Habib,2012,A functional selection model explains evolutionary robustness despite plasticity in regulatory networks,Molecular Systems Biology,10.1038/msb.2012.50,23089682,,high_conceptual,yes
1_edge_turnover,,Xie,2011,Towards an evolutionary model of transcription networks,PLoS Computational Biology,10.1371/journal.pcbi.1002064,21695281,,adjacent,yes
1_edge_turnover,,Navarro,2026,Expanding the fly eye gene regulatory network: From Drosophila to the hoverfly Episyrphus balteatus,PLoS Genetics,10.1371/journal.pgen.1011864,41746980,,recent_template,yes
2_network_alignment,IsoRank,Singh,2008,Global alignment of multiple protein interaction networks with application to functional orthology detection,PNAS,10.1073/pnas.0806627105,18725631,http://isorank.csail.mit.edu/,toolbox_unproven_on_GRNs,yes
2_network_alignment,MAGNA,Saraph,2014,MAGNA: Maximizing Accuracy in Global Network Alignment,Bioinformatics,10.1093/bioinformatics/btu409,25015987,http://nd.edu/~cone/MAGNA,toolbox_unproven_on_GRNs,yes
2_network_alignment,HubAlign,Hashemifar,2014,HubAlign: an accurate and efficient method for global alignment of protein-protein interaction networks,Bioinformatics,10.1093/bioinformatics/btu450,25161231,,toolbox_unproven_on_GRNs,yes
2_network_alignment,SANA,Mamano,2017,SANA: simulated annealing far outperforms many other search algorithms for biological network alignment,Bioinformatics,10.1093/bioinformatics/btx090,28203713,http://sana.ics.uci.edu,toolbox_unproven_on_GRNs,yes
2_network_alignment,ETNA,Li,2023,Joint embedding of biological networks for cross-species functional alignment,Bioinformatics,10.1093/bioinformatics/btad529,37632792,https://github.com/ylaboratory/ETNA,recent_toolbox,yes
2_network_alignment,GraNA,Ding,2023,Supervised biological network alignment with graph neural networks,Bioinformatics,10.1093/bioinformatics/btad241,37387160,https://github.com/luo-group/GraNA,recent_toolbox,yes
2_network_alignment,graphlets,Przulj,2007,Biological network comparison using graphlet degree distribution,Bioinformatics,10.1093/bioinformatics/btl301,17237089,,alignment_free_option,yes
2_network_alignment,,Yaveroglu,2015,Proper evaluation of alignment-free network comparison methods,Bioinformatics,10.1093/bioinformatics/btv170,25810431,,benchmark_read_first,yes
3_module_preservation,WGCNA,Oldham,2006,Conservation and evolution of gene coexpression networks in human and chimpanzee brains,PNAS,10.1073/pnas.0605938103,17101986,,landmark_design_template,yes
3_module_preservation,modulePreservation,Langfelder,2011,Is my network module preserved and reproducible?,PLoS Computational Biology,10.1371/journal.pcbi.1001057,21283776,WGCNA R package,landmark,yes
3_module_preservation,NetRep,Ritchie,2016,A Scalable Permutation Approach Reveals Replication and Preservation Patterns of Network Modules in Large Datasets,Cell Systems,10.1016/j.cels.2016.06.012,27467248,https://github.com/sritchie73/NetRep,use_instead_of_2011,yes
3_module_preservation,OrthoClust,Yan,2014,OrthoClust: an orthology-based network framework for clustering data across multiple species,Genome Biology,10.1186/gb-2014-15-8-r100,25249401,,right_shape_needs_per_species_nets,yes
3_module_preservation,,Fischer,2025,Flexibility in Gene Coexpression at Developmental and Evolutionary Timescales,Molecular Biology and Evolution,10.1093/molbev/msaf194,40794780,,recent_low_n_regime,yes
4_expression_evolution,,Dunn,2018,Pairwise comparisons across species are problematic when analyzing functional genomic data,PNAS,10.1073/pnas.1707515115,29301966,,THE_TRAP_read_first,yes
4_expression_evolution,,Dewar,2025,A phylogenetic approach to comparative genomics,Nature Reviews Genetics,10.1038/s41576-024-00803-0,39779997,,recent_practical_guide,yes
4_expression_evolution,EVE,Rohlfs,2015,Phylogenetic ANOVA: The Expression Variance and Evolution Model for Quantitative Trait Evolution,Systematic Biology,10.1093/sysbio/syv042,26169525,rohlfslab.weebly.com/software.html,landmark,yes
4_expression_evolution,CAGEE,Bertram,2023,CAGEE: Computational Analysis of Gene Expression Evolution,Molecular Biology and Evolution,10.1093/molbev/msad106,37158385,https://github.com/hahnlab/CAGEE,recent,yes
4_expression_evolution,,Dimayacyac,2023,Evaluating the Performance of Widely Used Phylogenetic Models for Gene Expression Evolution,Genome Biology and Evolution,10.1093/gbe/evad211,38000902,,recent_caution_paper,yes
