gene,set,K,direction,p_BH,pct_gaps,tree_len,aln_ref_ratio,cluster_flags,survive_QC,fail_reason
HSD17B1,hormone,2.93188262931127,intensified,0.0,8.77,3.56726,0.851,clean,True,
HSD17B12,hormone,2.52438021620289,intensified,0.0,8.19,0.85355,0.821,clean,True,
SRD5A1,hormone,2.323385093487047,intensified,0.0,22.43,2.49783,0.897,gaps_gt_20pct,True,
CYP7B1,hormone,1.373692906983252,intensified,0.0078,10.61,1.04369,0.919,clean,True,
SHBG,hormone,0.2394352082210147,relaxed,0.0293,4.2,0.31757,1.0,clean,True,
HSD17B7,hormone,1.315245687562477,intensified,0.0402,8.4,0.77737,0.979,clean,True,
TFAP2A,pigmentation,1.928375906095212,intensified,0.0001,1.19,1.61979,1.0,clean,True,
KITLG,pigmentation,1.301217849556824,intensified,0.0015,5.58,2.11583,0.813,clean,True,
EDN3,pigmentation,1.283117844988927,intensified,0.0015,11.6,11.13635,0.973,branch_len_blowup,True,
KISS1R,hormone,4.9816810528429764e-14,relaxed,0.0,7.2,1.1804,1.0,K_boundary,False,K~0bound
LDLR,hormone,1.272422223386402,intensified,0.0005,12.82,334.23179,0.875,branch_len_blowup,False,treelen=334
SCARB1,hormone,1.294183872364792,intensified,0.0025,16.19,7.46541,0.717,branch_len_blowup,False,ratio=0.72
GNA11,hormone,0.4512657446044233,relaxed,0.0035,4.89,1916.7331,0.875,branch_len_blowup,False,treelen=1917
LHCGR,hormone,0.3213025510815606,relaxed,0.0402,0.24,5.5119,0.57,branch_len_blowup,False,ratio=0.57
POMC,pigmentation,3.105221737592792,intensified,0.0,3.33,1.83795,0.676,clean,False,ratio=0.68
TYR,pigmentation,2.179116633683003,intensified,0.0,3.77,0.94544,0.653,clean,False,ratio=0.65
MFSD12,pigmentation,0.3672440159119029,relaxed,0.0,11.86,2386.49955,0.73,branch_len_blowup,False,treelen=2386;ratio=0.73
