gene,species,state
AKR1C1,Cercopithecus_hamlyni,dichromatic
AKR1C1,Cacajao_melanocephalus,monochromatic
AKR1C1,Cercopithecus_neglectus,monochromatic
AKR1C1,Colobus_guereza,dichromatic
AKR1C1,Varecia_variegata,monochromatic
AKR1C1,Macaca_mulatta,monochromatic
AKR1C1,Hylobates_agilis,monochromatic
AKR1C1,Lagothrix_lagotricha,monochromatic
AKR1C1,Pygathrix_nemaeus,monochromatic
AKR1C1,Callicebus_moloch,monochromatic
AKR1C1,Ateles_geoffroyi,monochromatic
AKR1C1,Papio_papio,monochromatic
AKR1C1,Prolemur_simus,monochromatic
AKR1C1,Chiropotes_chiropotes,monochromatic
AKR1C1,Eulemur_coronatus,monochromatic
AKR1C1,Trachypithecus_pileatus,dichromatic
AKR1C1,Alouatta_seniculus,monochromatic
AKR1C1,Macaca_radiata,monochromatic
AKR1C1,Alouatta_caraya,dichromatic
AKR1C1,Nomascus_gabriellae,dichromatic
AKR1C1,Cercopithecus_campbelli,monochromatic
AKR1C1,Papio_ursinus,monochromatic
AKR1C1,Pithecia_albicans,monochromatic
AKR1C1,Presbytis_melalophos,monochromatic
AKR1C1,Eulemur_macaco,dichromatic
AKR1C1,Hylobates_pileatus,dichromatic
AKR1C1,Alouatta_belzebul,monochromatic
AKR1C1,Ateles_belzebuth,monochromatic
AKR1C1,Cercopithecus_lhoesti,monochromatic
AKR1C1,Presbytis_comata,monochromatic
AKR1C1,Cercopithecus_mona,monochromatic
AKR1C1,Colobus_polykomos,monochromatic
AKR1C1,Ateles_paniscus,monochromatic
AKR1C1,Cercopithecus_petaurista,monochromatic
AKR1C1,Pygathrix_cinerea,monochromatic
AKR1C1,Trachypithecus_obscurus,dichromatic
AKR1C1,Trachypithecus_geei,dichromatic
AKR1C1,Cercopithecus_preussi,monochromatic
AKR1C1,Pithecia_pithecia,dichromatic
AKR1C1,Cercopithecus_ascanius,monochromatic
AKR1C1,Callicebus_caligatus,monochromatic
AKR1C1,Allenopithecus_nigroviridis,monochromatic
AKR1C1,Alouatta_palliata,monochromatic
AKR1C1,Trachypithecus_johnii,dichromatic
AKR1C1,Ateles_chamek,monochromatic
AKR1C1,Hylobates_klossii,monochromatic
AKR1C1,Cercopithecus_nictitans,monochromatic
AKR1C1,Cercopithecus_solatus,monochromatic
AKR1C1,Macaca_fuscata,monochromatic
AKR1C1,Trachypithecus_vetulus,monochromatic
AKR1C1,Trachypithecus_cristatus,dichromatic
AKR1C1,Macaca_cyclopis,monochromatic
AKR1C1,Eulemur_fulvus,monochromatic
AKR1C1,Eulemur_mongoz,dichromatic
AKR1C1,Eulemur_rubriventer,monochromatic
AKR1C1,Macaca_tonkeana,monochromatic
AKR1C1,Cercopithecus_pogonias,monochromatic
AKR1C1,Hapalemur_griseus,monochromatic
AKR1C1,Mandrillus_sphinx,monochromatic
AKR1C1,Papio_cynocephalus,monochromatic
