dich,sister_mono,family,patristic,d_pig,d_hor,m_pig,m_hor,diff_pig,diff_hor,shared
Colobus_guereza,Colobus_polykomos,cercopithecidae,0.95,1,3,1,1,KITLG,"AKR1C8,GNRH1,SCARB1",
Eulemur_mongoz,Eulemur_rubriventer,lemuridae,2.54,1,1,1,2,IRF4,ESR2,
Hylobates_pileatus,Hylobates_agilis,hylobatidae,4.69,2,4,3,2,"KITLG,TFAP2A","AKR1C4,AKR1C8,SCARB1,STS",
Colobus_angolensis,Colobus_polykomos,cercopithecidae,4.71,2,1,1,1,"EDN3,TFAP2A",CGA,
Macaca_arctoides,Macaca_cyclopis,cercopithecidae,4.73,0,0,0,0,,,
Trachypithecus_johnii,Trachypithecus_vetulus,cercopithecidae,5.29,2,2,3,4,KITLG,"HSD17B3,SRD5A1",PMEL
Alouatta_caraya,Alouatta_belzebul,cebidae,6.29,2,6,0,1,"KITLG,TYR","AKR1C1,CYP11B1,CYP11B2,CYP7B1,SCARB1,STS",
Trachypithecus_geei,Trachypithecus_vetulus,cercopithecidae,7,0,3,3,4,,"AKR1C8,HSD17B2,NCOA3",
Eulemur_flavifrons,Eulemur_coronatus,lemuridae,7.98,0,0,1,0,,,
Eulemur_macaco,Eulemur_coronatus,lemuridae,7.98,0,1,1,0,,SCARB1,
Pithecia_pithecia,Pithecia_albicans,cebidae,8.57,2,0,0,0,"SLC24A4,SLC24A5",,
Erythrocebus_patas,Cercopithecus_solatus,cercopithecidae,9.84,1,2,1,2,KITLG,HSD17B3,SCARB1
Nomascus_gabriellae,Hylobates_agilis,hylobatidae,10.37,3,0,3,2,"KITLG,POMC,SLC24A5",,
Nomascus_concolor,Hylobates_agilis,hylobatidae,10.37,3,5,3,2,"POMC,SLC24A4,SOX10","CYP7B1,ESR1,ESR2,NCOA3",FSHR
Nomascus_leucogenys,Hylobates_agilis,hylobatidae,10.37,2,0,3,2,"EDN3,TFAP2A",,
Trachypithecus_pileatus,Trachypithecus_vetulus,cercopithecidae,12.35,1,2,3,4,KITLG,"CGA,GNRH1",
Trachypithecus_cristatus,Trachypithecus_vetulus,cercopithecidae,12.35,2,1,3,4,SLC24A5,SCARB1,PMEL
Trachypithecus_auratus,Trachypithecus_vetulus,cercopithecidae,12.35,0,1,3,4,,FSHR,
Trachypithecus_francoisi,Trachypithecus_vetulus,cercopithecidae,12.35,6,10,3,4,"EDN3,EDNRB,SLC24A5,TFAP2A,TYR","CGA,ESR1,GNRH1,HSD17B1,HSD17B7,KISS1R,SCARB1,SRD5A1,STS","PMEL,SRD5A3"
Trachypithecus_obscurus,Trachypithecus_vetulus,cercopithecidae,12.35,2,4,3,4,KITLG,"FSHR,NCOR2","CYP7B1,NCOA2,PAX3"
Cercopithecus_hamlyni,Cercopithecus_neglectus,cercopithecidae,13.72,4,2,1,3,"EDNRB,MFSD12,PAX3,SOX10","ESR1,SCARB1",
