gene_a,gene_b,score
GNA11,MITF,0.463
GNA11,TYR,0.484
GNA11,POMC,0.564
GNA11,LHCGR,0.683
GNA11,KIT,0.806
GNA11,KISS1R,0.913
GNA11,GNRHR,0.922
EDNRB,GNA11,0.971
GNA11,GNAQ,0.973
HSD17B2,STAR,0.4
CYP21A2,HSD17B2,0.409
ESR1,HSD17B2,0.514
AKR1C1,HSD17B2,0.515
AKR1C2,HSD17B2,0.517
CYP11A1,HSD17B2,0.572
ESR2,HSD17B2,0.574
HSD17B11,HSD17B2,0.608
HSD17B2,STS,0.65
HSD17B2,HSD17B6,0.92
CYP11B2,HSD17B2,0.927
HSD17B12,HSD17B2,0.934
HSD17B2,HSD17B8,0.935
CYP11B1,HSD17B2,0.938
HSD17B2,SRD5A3,0.953
HSD17B2,SRD5A2,0.958
HSD17B2,SULT1E1,0.959
HSD17B2,HSD17B7,0.961
HSD17B2,HSD3B1,0.964
CYP19A1,HSD17B2,0.966
HSD17B2,HSD3B2,0.97
CYP17A1,HSD17B2,0.972
HSD17B2,SRD5A1,0.977
AKR1C3,HSD17B2,0.982
HSD17B2,HSD17B3,0.998
HSD17B1,HSD17B2,0.999
AR,STS,0.415
ESR2,STS,0.478
SRD5A1,STS,0.485
HSD17B3,STS,0.497
ESR1,STS,0.534
CYP19A1,STS,0.737
HSD17B1,STS,0.797
STS,SULT1E1,0.865
CYP7B1,STS,0.9
CYP21A2,STS,0.922
CYP11A1,STS,0.934
HSD3B2,STS,0.941
CYP17A1,STS,0.945
AKR1C3,STS,0.952
HSD3B1,STS,0.953
GNRH1,HSD17B1,0.404
HSD17B1,SHBG,0.432
AR,HSD17B1,0.454
AKR1C1,HSD17B1,0.548
AKR1C2,HSD17B1,0.559
AKR1C4,HSD17B1,0.58
CYP11B2,HSD17B1,0.588
HSD17B1,SRD5A2,0.592
FSHR,HSD17B1,0.595
HSD17B1,LHCGR,0.595
ESR1,HSD17B1,0.611
CYP11B1,HSD17B1,0.612
ESR2,HSD17B1,0.613
HSD17B1,SRD5A1,0.638
HSD17B1,HSD3B2,0.64
HSD17B1,STAR,0.662
CYP21A2,HSD17B1,0.677
CYP11A1,HSD17B1,0.835
CYP17A1,HSD17B1,0.852
HSD17B1,HSD3B1,0.88
HSD17B1,HSD17B6,0.938
HSD17B1,HSD17B8,0.959
HSD17B1,SULT1E1,0.962
HSD17B1,HSD17B12,0.968
AKR1C3,HSD17B1,0.975
CYP19A1,HSD17B1,0.984
HSD17B1,HSD17B3,0.984
HSD17B1,HSD17B7,0.991
CYP11A1,GNRHR,0.43
AR,GNRHR,0.448
GNRHR,HSD3B1,0.451
GNRHR,STAR,0.475
CYP17A1,GNRHR,0.479
CYP19A1,GNRHR,0.482
ESR2,GNRHR,0.522
GNRHR,POMC,0.567
ESR1,GNRHR,0.582
GNRHR,LHB,0.649
FSHR,GNRHR,0.712
GNRHR,LHCGR,0.744
FSHB,GNRHR,0.925
GNRHR,KISS1,0.951
GNRHR,KISS1R,0.975
GNAQ,GNRHR,0.983
GNRH2,GNRHR,0.996
GNRH1,GNRHR,0.999
HSD17B3,SULT1E1,0.416
SRD5A1,SULT1E1,0.429
CYP11A1,SULT1E1,0.445
ESR2,SULT1E1,0.447
CYP17A1,SULT1E1,0.476
HSD3B1,SULT1E1,0.548
ESR1,SULT1E1,0.58
HSD3B2,SULT1E1,0.585
HSD17B6,SULT1E1,0.914
HSD17B8,SULT1E1,0.921
HSD17B12,SULT1E1,0.921
AKR1C3,SULT1E1,0.936
HSD17B7,SULT1E1,0.938
CYP19A1,SULT1E1,0.959
KISS1R,SOX10,0.4
FSHR,KISS1R,0.439
ESR2,KISS1R,0.47
ESR1,KISS1R,0.56
KISS1R,POMC,0.666
KISS1R,LHCGR,0.669
FSHB,KISS1R,0.767
GNRH2,KISS1R,0.821
GNRH1,KISS1R,0.969
GNAQ,KISS1R,0.98
KISS1,KISS1R,0.999
GNAQ,GNRH2,0.418
GNRH2,POMC,0.427
FSHR,GNRH2,0.45
GNRH2,LHB,0.539
FSHB,GNRH2,0.704
GNRH2,KISS1,0.84
GNRH1,GNRH2,0.998
HSD17B11,HSD17B7,0.406
HSD17B7,SRD5A1,0.418
HSD17B7,STAR,0.444
AKR1C2,HSD17B7,0.47
CYP17A1,HSD17B7,0.554
CYP11A1,HSD17B7,0.563
AKR1C3,HSD17B7,0.569
HSD17B3,HSD17B7,0.602
CYP7B1,HSD17B7,0.708
HSD17B7,HSD3B2,0.858
HSD17B7,HSD3B1,0.881
HSD17B6,HSD17B7,0.934
HSD17B7,HSD17B8,0.957
CYP19A1,HSD17B7,0.961
HSD17B12,HSD17B7,0.971
ASIP,MRAP2,0.448
MRAP2,POMC,0.629
MC1R,MRAP2,0.706
HERC2,OCA2,0.792
CYP7B1,SCARB1,0.411
SCARB1,SRD5A1,0.426
EDNRB,SCARB1,0.456
LHCGR,SCARB1,0.524
HSD17B3,SCARB1,0.542
HSD3B1,SCARB1,0.558
SCARB1,STAR,0.558
CYP17A1,SCARB1,0.571
ESR1,SCARB1,0.613
CYP11A1,SCARB1,0.648
KIT,SCARB1,0.687
MFSD12,TYR,0.402
FOXD3,TYR,0.405
LEF1,TYR,0.464
GNAQ,TYR,0.48
IRF4,TYR,0.515
BNC2,TYR,0.536
EDN3,TYR,0.57
KIT,TYR,0.633
EDNRB,TYR,0.691
KITLG,TYR,0.697
SLC24A4,TYR,0.739
POMC,TYR,0.777
ASIP,TYR,0.793
PAX3,TYR,0.844
SOX10,TYR,0.884
TYR,TYRP1,0.896
SLC24A5,TYR,0.907
DCT,TYR,0.958
MC1R,TYR,0.96
SLC45A2,TYR,0.97
MITF,TYR,0.981
MLANA,TYR,0.985
PMEL,TYR,0.989
OCA2,TYR,0.989
GPER1,SRD5A3,0.428
CYP11A1,SRD5A3,0.442
AR,SRD5A3,0.591
CYP21A2,SRD5A3,0.918
CYP11B2,SRD5A3,0.924
HSD17B8,SRD5A3,0.927
CYP19A1,SRD5A3,0.928
CYP11B1,SRD5A3,0.93
HSD3B1,SRD5A3,0.935
HSD17B6,SRD5A3,0.939
HSD17B3,SRD5A3,0.95
AKR1C1,SRD5A3,0.951
SRD5A2,SRD5A3,0.955
CYP17A1,SRD5A3,0.958
AKR1C2,SRD5A3,0.96
HSD3B2,SRD5A3,0.962
AKR1C4,SRD5A3,0.963
AKR1C3,SRD5A3,0.965
SRD5A1,SRD5A3,0.996
KIT,LEF1,0.402
FOXD3,LEF1,0.406
DCT,LEF1,0.415
LEF1,NCOR1,0.465
LEF1,SOX10,0.506
IRF4,LEF1,0.526
ESR1,LEF1,0.533
LEF1,PAX3,0.663
LEF1,MITF,0.872
CYP11A1,HSD17B12,0.403
AKR1C2,CYP11A1,0.448
CYP11A1,KISS1,0.455
CYP11A1,SHBG,0.496
CYP11A1,HSD17B6,0.507
CYP11A1,FSHB,0.517
CYP11A1,ESR1,0.583
CYP11A1,GNRH1,0.583
AKR1C3,CYP11A1,0.592
CYP11A1,CYP19A1,0.601
CYP11A1,SRD5A2,0.618
AR,CYP11A1,0.619
CYP11A1,ESR2,0.621
CYP11A1,SRD5A1,0.785
CYP11A1,FSHR,0.822
CYP11A1,POMC,0.835
CYP11A1,HSD17B3,0.844
CYP11A1,LHCGR,0.865
CYP11A1,CYP7B1,0.948
CYP11A1,CYP21A2,0.963
CYP11A1,CYP17A1,0.965
CYP11A1,STAR,0.979
CYP11A1,HSD3B2,0.994
CYP11A1,HSD3B1,0.997
FKBP5,NCOR1,0.442
NCOA2,NCOR1,0.9
NCOA3,NCOR1,0.928
NCOA1,NCOR1,0.936
ESR2,NCOR1,0.97
AR,NCOR1,0.991
NCOR1,NCOR2,0.998
ESR1,NCOR1,0.999
SHBG,SRD5A1,0.416
LHCGR,SRD5A1,0.569
AR,SRD5A1,0.631
