dichromat,sister,family,dich_pig,dich_hor,mono_pig,mono_hor,dich_total,mono_total
Colobus_guereza,Colobus_polykomos,cercopithecidae,2,3,3,2,5,5
Eulemur_mongoz,Eulemur_rubriventer,lemuridae,2,1,2,2,3,4
Hylobates_pileatus,Hylobates_agilis,hylobatidae,3,4,6,2,7,8
Colobus_angolensis,Colobus_polykomos,cercopithecidae,3,1,3,2,4,5
Macaca_arctoides,Macaca_cyclopis,cercopithecidae,0,0,1,0,0,1
Trachypithecus_johnii,Trachypithecus_vetulus,cercopithecidae,4,2,4,4,6,8
Alouatta_caraya,Alouatta_belzebul,cebidae,3,6,1,2,9,3
Trachypithecus_geei,Trachypithecus_vetulus,cercopithecidae,1,3,4,4,4,8
Eulemur_flavifrons,Eulemur_coronatus,lemuridae,0,0,2,0,0,2
Eulemur_macaco,Eulemur_coronatus,lemuridae,0,1,2,0,1,2
Pithecia_pithecia,Pithecia_albicans,cebidae,2,0,1,0,2,1
Erythrocebus_patas,Cercopithecus_solatus,cercopithecidae,2,2,2,2,4,4
Nomascus_gabriellae,Hylobates_agilis,hylobatidae,4,1,6,2,5,8
Nomascus_concolor,Hylobates_agilis,hylobatidae,6,5,6,2,11,8
Nomascus_leucogenys,Hylobates_agilis,hylobatidae,4,0,6,2,4,8
Trachypithecus_pileatus,Trachypithecus_vetulus,cercopithecidae,3,2,4,4,5,8
Trachypithecus_cristatus,Trachypithecus_vetulus,cercopithecidae,5,2,4,4,7,8
Trachypithecus_auratus,Trachypithecus_vetulus,cercopithecidae,0,1,4,4,1,8
Trachypithecus_francoisi,Trachypithecus_vetulus,cercopithecidae,8,10,4,4,18,8
Trachypithecus_obscurus,Trachypithecus_vetulus,cercopithecidae,4,4,4,4,8,8
Cercopithecus_hamlyni,Cercopithecus_neglectus,cercopithecidae,4,3,3,3,7,6
