gene,species,state,method,pct_identity,aln_len,ref_len,aln_ref_ratio,ratio_flag
AKR1C1,Hylobates_muelleri,dichromatic,miniprot,0.8762,969,1068,0.907,
AKR1C1,Hylobates_agilis,monochromatic,miniprot,0.7041,969,1068,0.907,
AKR1C1,Nomascus_gabriellae,dichromatic,miniprot,0.8762,969,1068,0.907,
AKR1C1,Hylobates_pileatus,dichromatic,miniprot,0.9783,969,1068,0.907,
AKR1C1,Hylobates_klossii,monochromatic,miniprot,0.8762,969,1068,0.907,
AKR1C1,Nomascus_concolor,dichromatic,miniprot,0.8731,969,1068,0.907,
AKR1C2,Hylobates_muelleri,dichromatic,miniprot,0.8669,969,969,1.0,
AKR1C2,Hylobates_agilis,monochromatic,miniprot,0.7007,969,969,1.0,
AKR1C2,Nomascus_gabriellae,dichromatic,miniprot,0.8669,969,969,1.0,
AKR1C2,Hylobates_pileatus,dichromatic,miniprot,0.9628,969,969,1.0,
AKR1C2,Hylobates_klossii,monochromatic,miniprot,0.8669,969,969,1.0,
AKR1C2,Nomascus_concolor,dichromatic,miniprot,0.8638,969,969,1.0,
AKR1C3,Hylobates_muelleri,dichromatic,miniprot,0.9845,969,969,1.0,
AKR1C3,Hylobates_agilis,monochromatic,miniprot,0.7245,969,969,1.0,
AKR1C3,Nomascus_gabriellae,dichromatic,miniprot,0.9845,969,969,1.0,
AKR1C3,Hylobates_pileatus,dichromatic,miniprot,0.9845,969,969,1.0,
AKR1C3,Hylobates_klossii,monochromatic,miniprot,0.9845,969,969,1.0,
AKR1C3,Nomascus_concolor,dichromatic,miniprot,0.9814,969,969,1.0,
AKR1C4,Hylobates_muelleri,dichromatic,miniprot,0.8483,987,969,1.019,
AKR1C4,Hylobates_agilis,monochromatic,miniprot,0.6871,987,969,1.019,
AKR1C4,Nomascus_gabriellae,dichromatic,miniprot,0.8483,987,969,1.019,
AKR1C4,Hylobates_pileatus,dichromatic,miniprot,0.9505,987,969,1.019,
AKR1C4,Hylobates_moloch,monochromatic,direct,,987,969,1.019,
AKR1C4,Hylobates_klossii,monochromatic,miniprot,0.8483,987,969,1.019,
AKR1C4,Nomascus_concolor,dichromatic,miniprot,0.8452,987,969,1.019,
AKR1C8,Hylobates_muelleri,dichromatic,miniprot,0.9525,1056,996,1.06,
AKR1C8,Hylobates_agilis,monochromatic,miniprot,0.9492,1056,996,1.06,
AKR1C8,Nomascus_gabriellae,dichromatic,miniprot,0.954,1056,996,1.06,
AKR1C8,Hylobates_pileatus,dichromatic,miniprot,0.9458,1056,996,1.06,
AKR1C8,Hylobates_moloch,monochromatic,direct,,1056,996,1.06,
AKR1C8,Hylobates_klossii,monochromatic,miniprot,0.9492,1056,996,1.06,
AKR1C8,Nomascus_concolor,dichromatic,miniprot,0.9525,1056,996,1.06,
AR,Nomascus_leucogenys,dichromatic,direct,,2787,822,3.391,HIGH
AR,Hylobates_muelleri,dichromatic,miniprot,0.9722,2787,822,3.391,HIGH
AR,Hylobates_agilis,monochromatic,miniprot,0.9683,2787,822,3.391,HIGH
AR,Nomascus_gabriellae,dichromatic,miniprot,0.9635,2787,822,3.391,HIGH
AR,Hylobates_pileatus,dichromatic,miniprot,0.9672,2787,822,3.391,HIGH
