candidate_gene,n_supporting_loci,supporting_papers,cross_paper_convergence,attribution_basis_seen,effector_status_seen,supporting_loci_detail,mygene_summary,zhang2018_melanocyte_eqtl_tested,zhang2018_melanocyte_eqtl_significant,open_targets_canonical_check
MFSD12,3,"Ang2023, Crawford2017, Kim2024",True,coding_in_gene,effector_uncertain,Ang2023:rs2240751; Crawford2017:rs10424065; Kim2024:rs2240751,"Enables cysteine transmembrane transporter activity. Involved in cysteine transmembrane transport; pigment metabolic process involved in pigmentation; and regulation of melanin biosynthetic process. Located in lysosome and melanosome. Part of late endosome. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
SPIRE2,2,"Kim2024, Morgan2018",True,regulatory_demonstrated,"effector_uncertain, regulatory_of_canonical_neighbour",Morgan2018:rs34357723; Kim2024:rs12598316,"Predicted to enable actin binding activity. Involved in establishment of meiotic spindle localization; formin-nucleated actin cable assembly; and positive regulation of double-strand break repair. Predicted to be located in cytoskeleton; cytosol; and plasma membrane. Predicted to be active in cell cortex and cytoplasmic vesicle membrane. Predicted to colocalize with cleavage furrow. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
TSPAN10,2,"Abbatangelo2026, Morgan2018",True,"in_LD_with_gene_variants, regulatory_demonstrated",effector_uncertain,"Abbatangelo2026:rs62075722 (TSPAN10, meta-lead/top-PIP); credible-set members rs6420484 (TSPAN10 coding non-syn, abstract-highlighted) and rs34635363 (NPLOC4 intronic — same region, NOT a separate pigmentation gene); Morgan2018:rs9747347 (LD-tags nonsynonymous rs6420484 p.Tyr177Cys)","Enables enzyme binding activity. Involved in establishment of protein localization to organelle. Predicted to be integral component of membrane. Predicted to be integral component of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
GLIS1,2,Kim2024,False,nearest_gene_only,effector_uncertain,Kim2024:rs7520584; Kim2024:rs702488,"GLIS1 is a GLI (MIM 165220)-related Kruppel-like zinc finger protein that functions as an activator and repressor of transcription (Kim et al., 2002 [PubMed 12042312]).[supplied by OMIM, Mar 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
AHCY,1,Ang2023,False,nearest_gene_only,regulatory_of_canonical_neighbour,Ang2023:rs6058017,"S-adenosylhomocysteine hydrolase belongs to the adenosylhomocysteinase family. It catalyzes the reversible hydrolysis of S-adenosylhomocysteine (AdoHcy) to adenosine (Ado) and L-homocysteine (Hcy). Thus, it regulates the intracellular S-adenosylhomocysteine (SAH) concentration thought to be important for transmethylation reactions. Deficiency in this protein is one of the different causes of hypermethioninemia. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2009].",True,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
ATRN,1,Ang2023,False,nearest_gene_only,effector_uncertain,Ang2023:rs562926,"This gene encodes both membrane-bound and secreted protein isoforms. A membrane-bound isoform exhibits sequence similarity with the mouse mahogany protein, a receptor involved in controlling obesity. A secreted isoform is involved in the initial immune cell clustering during inflammatory responses that may regulate the chemotactic activity of chemokines. [provided by RefSeq, Apr 2016].",True,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
BCO1,1,Kim2024,False,nearest_gene_only,effector_uncertain,Kim2024:rs9924126,"Vitamin A metabolism is important for vital processes such as vision, embryonic development, cell differentiation, and membrane and skin protection. The protein encoded by this gene is a key enzyme in beta-carotene metabolism to vitamin A. It catalyzes the oxidative cleavage of beta,beta-carotene into two retinal molecules. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
CNKSR3,1,Ang2023,False,nearest_gene_only,effector_ambiguous_near,Ang2023:rs6917661 (representative); also rs2333857,"Predicted to be involved in negative regulation of ERK1 and ERK2 cascade; negative regulation of peptidyl-serine phosphorylation; and positive regulation of sodium ion transport. Predicted to act upstream of or within positive regulation of sodium ion transmembrane transporter activity. Predicted to be located in apical plasma membrane and cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
CPNE7,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs12598316,"This gene encodes a member of the copine family, which is composed of calcium-dependent membrane-binding proteins. The gene product contains two N-terminal C2 domains and one von Willebrand factor A domain. The encoded protein may be involved in membrane trafficking. Two alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
CTR9,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs2957668,"The protein encoded by this gene is a component of the PAF1 complex, which associates with RNA polymerase II and functions in transcriptional regulation and elongation. This complex also plays a role in the modification of histones. [provided by RefSeq, Oct 2016].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
DDB1,1,Crawford2017,False,regulatory_demonstrated,effector_uncertain,Crawford2017:rs7948623,"The protein encoded by this gene is the large subunit (p127) of the heterodimeric DNA damage-binding (DDB) complex while another protein (p48) forms the small subunit. This protein complex functions in nucleotide-excision repair and binds to DNA following UV damage. Defective activity of this complex causes the repair defect in patients with xeroderma pigmentosum complementation group E (XPE) - an autosomal recessive disorder characterized by photosensitivity and early onset of carcinomas. However, it remains for mutation analysis to demonstrate whether the defect in XPE patients is in this gene or the gene encoding the small subunit. In addition, Best vitelliform mascular dystrophy is mapped to the same region as this gene on 11q, but no sequence alternations of this gene are demonstrated in Best disease patients. The protein encoded by this gene also functions as an adaptor molecule for the cullin 4 (CUL4) ubiquitin E3 ligase complex by facilitating the binding of substrates to this complex and the ubiquitination of proteins. [provided by RefSeq, May 2012].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
DEF8,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs12598316,"Predicted to enable metal ion binding activity. Predicted to be involved in lysosome localization; positive regulation of bone resorption; and positive regulation of ruffle assembly. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
DLX6,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs6977057,"This gene encodes a member of a homeobox transcription factor gene family similiar to the Drosophila distal-less gene. This family is comprised of at least 6 different members that encode proteins with roles in forebrain and craniofacial development. This gene is in a tail-to-tail configuration with another member of the family on the long arm of chromosome 7. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
EFR3B,1,Ang2023,False,nearest_gene_only,effector_ambiguous_near,Ang2023:rs12233134,"Involved in phosphatidylinositol phosphate biosynthetic process and protein localization to plasma membrane. Located in actin cytoskeleton; cytosol; and plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
EGFR,1,Ang2023,False,nearest_gene_only,effector_ambiguous_near,"Ang2023:rs12668421 (representative); also rs11238349, rs4948023","The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). [provided by RefSeq, Jul 2020].",True,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
EMCN,1,Ang2023,False,nearest_gene_only,effector_ambiguous_near,"Ang2023:rs463373 (representative); also rs3733437, rs6826912, rs439757, rs223495, rs3733632","EMCN is a mucin-like sialoglycoprotein that interferes with the assembly of focal adhesion complexes and inhibits interaction between cells and the extracellular matrix (Kinoshita et al., 2001 [PubMed 11418125]).[supplied by OMIM, Mar 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
EMX2,1,Ang2023,False,nearest_gene_only,effector_uncertain,Ang2023:rs11198112,"This gene encodes a homeobox-containing transcription factor that is the homolog to the 'empty spiracles' gene in Drosophila. Research on this gene in humans has focused on its expression in three tissues: dorsal telencephalon, olfactory neuroepithelium, and urogenetial system. It is expressed in the dorsal telencephalon during development in a low rostral-lateral to high caudal-medial gradient and is proposed to pattern the neocortex into defined functional areas. It is also expressed in embryonic and adult olfactory neuroepithelia where it complexes with eukaryotic translation initiation factor 4E (eIF4E) and possibly regulates mRNA transport or translation. In the developing urogenital system, it is expressed in epithelial tissues and is negatively regulated by HOXA10. Alternative splicing results in multiple transcript variants encoding distinct proteins.[provided by RefSeq, Sep 2009].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
GRM5,1,Ang2023,False,nearest_gene_only,effector_ambiguous_near,Ang2023:rs7118677,"This gene encodes a member of the G-protein coupled receptor 3 protein family. The encoded protein is a metabatropic glutamate receptor, whose signaling activates a phosphatidylinositol-calcium second messenger system. This protein may be involved in the regulation of neural network activity and synaptic plasticity. Glutamatergic neurotransmission is involved in most aspects of normal brain function and can be perturbed in many neuropathologic conditions. A pseudogene of this gene has been defined on chromosome 11. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2014].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
IPCEF1,1,Ang2023,False,nearest_gene_only,effector_ambiguous_near,Ang2023:rs6917661 (representative); also rs2333857,"Predicted to enable peroxidase activity. Predicted to be involved in response to oxidative stress. Predicted to be located in cytosol and plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
KALRN,1,Ang2023,False,stated_unknown,effector_uncertain,Ang2023:rs676091,"Huntington's disease (HD), a neurodegenerative disorder characterized by loss of striatal neurons, is caused by an expansion of a polyglutamine tract in the HD protein huntingtin. This gene encodes a protein that interacts with the huntingtin-associated protein 1, which is a huntingtin binding protein that may function in vesicle trafficking. [provided by RefSeq, Apr 2016].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
KLHL2,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs7667134,"Enables actin binding activity and identical protein binding activity. Predicted to be involved in protein ubiquitination. Located in actin cytoskeleton. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
LANCL2,1,Ang2023,False,nearest_gene_only,effector_ambiguous_near,"Ang2023:rs12668421 (representative); also rs11238349, rs4948023","Enables phosphatidylinositol-3-phosphate binding activity; phosphatidylinositol-4-phosphate binding activity; and phosphatidylinositol-5-phosphate binding activity. Involved in negative regulation of transcription, DNA-templated and positive regulation of abscisic acid-activated signaling pathway. Located in several cellular components, including cortical actin cytoskeleton; cytosol; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
LOC107986284,1,Ang2023,False,stated_unknown,effector_uncertain,Ang2023:rs6816819,,False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
