gene,phenotype_classes,is_hypopigmentation,is_hyperpigmentation,is_mixed,citation,citation_source
ABCB6,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ABCC9,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ACD,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ADAM10,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ADAR,Hyperpigmentation|Mixed,False,True,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ADO,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ADPRH,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ALG11,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
AP3B1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
AP3D1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
APC2,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ARID5B,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ATM,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ATP7A,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ATP7B,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ATXN2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BACH2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BCL2L11,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BCL2L12,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
