source_TF,target,sign,confidence_tier,citation,edge_provenance,omnipath_sources,n_pmids,mixed_sign_evidence,note
MITF,AKT1,unsigned,CollecTRI(ungraded),"PMID:17164294,26845432,32495878","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI,3,True,
MITF,BAD,activation,CollecTRI(ungraded),PMID:19192212,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2,1,False,
MITF,BBC3,unsigned,B,OmniPath-curated (aggregator record; no PMID field on this row — see omnipath_sources),"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA,0,False,
MITF,BCL2,activation,A,"PMID:12086670,16034081,17266927,17384650,18276801,19067971,19192212,1999537,19995375,20862309,22647378,24317198,27185926,28263292,28738256,28976960,33741716,37123908","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;GEREDB_CollecTRI2;PAZAR_DoRothEA;SIGNOR;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TFactS_CollecTRI;TFactS_DoRothEA;TfactS_CollecTRI2;Wang,18,False,
MITF,CDK2,activation,A,"PMID:15607961,18628967,19067971,19192212,1999537,19995375,24317198,28263292,29507054","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;PAZAR_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2,9,False,
MITF,CDKN1A,activation,D,"PMID:15716956,17266927,19067971,1999537,19995375,20067556,20701798,22138449,27702651","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;ExTRI2_CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;GEREDB_CollecTRI2;GOA_CollecTRI;GOA_CollecTRI2;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;TFactS_CollecTRI;TFactS_DoRothEA;TfactS_CollecTRI2;Wang,9,True,
MITF,CXCL8,repression,D,"PMID:20573688,23144021,24471568","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;CytReg_CollecTRI;CytReg_CollecTRI2;DoRothEA;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;PAZAR_DoRothEA,3,False,
MITF,DCT,activation,A,"PMID:10770922,11310793,11543611,12032083,12753399,14706856,15250937,15729346,15892717,16029420,16197942,16411896,16493586,16857183,17237008,17702866,19067970,19067971,19192212,19699574,19765058,1999537,19995375,21519923,21995379,22371403,22847819,22898827,23063590,23178856,23729736,23935660,24016750,24078219,24192058,27374284,28390782,28431046,28842328,30322121,30408247,30579288,30603437,31208857,31354817,33823181,33896085,34641584,35163281,35290062,35461746,36978940,37138409,37734767,8995290,9199364","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;PAZAR_DoRothEA;ReMap_DoRothEA;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2;Wang,56,False,
MITF,EDNRB,activation,D,"PMID:18039926,26030901","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;ExTRI2_CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2;PAZAR_DoRothEA,2,False,
MITF,EGFR,repression,B,"PMID:25789707,33916908","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI2;DoRothEA;ExTRI2_CollecTRI2;PAZAR_DoRothEA;ReMap_DoRothEA,2,False,
