pig,n_hor,n_string,axes,pig_evidence_strength,pig_evidence,in_baxter,in_panel
ABL1,3,1,coactivator_corepressor_carrier|estrogen_axis,WEAK_string_only,DArcy_STRING,False,False
AKT1,3,3,androgen_axis|coactivator_corepressor_carrier|estrogen_axis,MODERATE,melanosome_massspec,False,False
AKT2,1,1,estrogen_axis,MODERATE,melanosome_massspec,False,False
CALM3,2,1,androgen_axis|estrogen_axis,PATHWAY_only,KEGG|STRING_ours,False,False
CAMK2A,2,0,coactivator_corepressor_carrier|hpg_axis,PATHWAY_only,KEGG|STRING_ours,False,False
CAMK2B,1,0,hpg_axis,PATHWAY_only,KEGG|STRING_ours,False,False
CAMK2G,1,0,coactivator_corepressor_carrier,MODERATE,melanosome_massspec,False,False
CASP1,1,0,androgen_axis,WEAK_string_only,DArcy_STRING,False,False
CASP3,1,1,androgen_axis,MODERATE,melanosome_massspec,False,False
CASP7,1,0,androgen_axis,STRONG,OMIM:Hypopigmentation;melanosome_massspec,False,False
CASP8,1,1,androgen_axis,MODERATE,melanosome_massspec,False,False
CCND1,1,1,estrogen_axis,PATHWAY_only,Raghunath|Reactome|STRING_ours,False,False
CDK2,4,2,coactivator_corepressor_carrier|estrogen_axis,MODERATE,melanosome_massspec,False,False
CDK7,2,2,androgen_axis|estrogen_axis,MODERATE,melanosome_massspec;Baxter2018,True,False
CDKN1A,1,1,androgen_axis,MODERATE,melanosome_massspec,False,False
CFLAR,1,0,androgen_axis,PATHWAY_only,Raghunath|STRING_ours,False,False
CHUK,3,3,coactivator_corepressor_carrier|estrogen_axis,MODERATE,melanosome_massspec,False,False
CREB1,1,0,steroid_biosynthesis,PATHWAY_only,Raghunath|KEGG|STRING_ours,False,False
CTNNB1,2,1,androgen_axis|hpg_axis,MODERATE,melanosome_massspec;Baxter2018,True,False
EDNRA,2,2,gnrh_signaling,WEAK_string_only,DArcy_STRING,False,False
EDNRB,2,2,gnrh_signaling,STRONG,OMIM:Hypopigmentation;Baxter2018,True,True
EGFR,3,3,androgen_axis|estrogen_axis,MODERATE,Baxter2018,True,False
EP300,2,2,androgen_axis|coactivator_corepressor_carrier,STRONG,functional_screen,False,False
F2RL1,1,1,gnrh_signaling,PATHWAY_only,Raghunath|STRING_ours,False,False
FBXW7,1,1,coactivator_corepressor_carrier,WEAK_string_only,DArcy_STRING,False,False
FOS,1,0,hpg_axis,PATHWAY_only,Raghunath|GRN|STRING_ours,False,False
FZD3,1,1,gnrh_signaling,PATHWAY_only,Raghunath|KEGG|STRING_ours,False,False
GNAI1,1,0,hpg_axis,PATHWAY_only,KEGG|STRING_ours,False,False
GNAI2,1,0,hpg_axis,MODERATE,melanosome_massspec,False,False
GNAI3,1,0,hpg_axis,MODERATE,melanosome_massspec;Baxter2018,True,False
GNAQ,3,3,estrogen_axis|hpg_axis,MODERATE,Baxter2018,True,False
GNAS,3,3,estrogen_axis|hpg_axis,STRONG,OMIM:Hyperpigmentation;melanosome_massspec;Baxter2018,True,False
GNB1,1,1,estrogen_axis,MODERATE,melanosome_massspec,False,False
GSK3B,7,3,androgen_axis|coactivator_corepressor_carrier|estrogen_axis|gnrh_signaling,MODERATE,melanosome_massspec,False,False
GTF2H2,1,0,estrogen_axis,WEAK_string_only,DArcy_STRING,False,False
HDAC1,1,1,androgen_axis,MODERATE,melanosome_massspec;Baxter2018,True,False
HRAS,1,1,gnrh_signaling,STRONG,OMIM:Hyperpigmentation;Baxter2018,True,False
HSP90AA1,1,1,androgen_axis,MODERATE,melanosome_massspec,False,False
IKBKB,1,1,coactivator_corepressor_carrier,MODERATE,melanosome_massspec;Baxter2018,True,False
JAK2,1,1,estrogen_axis,WEAK_string_only,DArcy_STRING,False,False
JUN,2,1,androgen_axis|hpg_axis,PATHWAY_only,Raghunath|STRING_ours|DArcy_STRING,False,False
KAT5,1,1,androgen_axis,WEAK_string_only,DArcy_STRING,False,False
LCK,1,1,estrogen_axis,WEAK_string_only,DArcy_STRING,False,False
MAPK1,3,2,androgen_axis|coactivator_corepressor_carrier|estrogen_axis,MODERATE,melanosome_massspec,False,False
MAPK14,7,2,androgen_axis|coactivator_corepressor_carrier|estrogen_axis,MODERATE,melanosome_massspec,False,False
MAPK3,4,2,androgen_axis|coactivator_corepressor_carrier|estrogen_axis,MODERATE,melanosome_massspec;Baxter2018,True,False
MAPK8,2,2,coactivator_corepressor_carrier|estrogen_axis,PATHWAY_only,Raghunath|STRING_ours,False,False
MC1R,1,0,gnrh_signaling,STRONG,OMIM:Hypopigmentation;Baxter2018,True,True
MC3R,1,0,gnrh_signaling,WEAK_string_only,Reactome,False,False
MC4R,1,0,gnrh_signaling,WEAK_string_only,Reactome|DArcy_STRING,False,False
MC5R,1,0,gnrh_signaling,WEAK_string_only,Reactome,False,False
MDM2,1,1,androgen_axis,MODERATE,Baxter2018,True,False
MNAT1,1,1,estrogen_axis,MODERATE,melanosome_massspec,False,False
MTOR,2,2,androgen_axis|estrogen_axis,MODERATE,melanosome_massspec,False,False
MYC,1,1,estrogen_axis,MODERATE,Baxter2018,True,False
NR0B1,4,4,androgen_axis|coactivator_corepressor_carrier|estrogen_axis,STRONG,OMIM:Hyperpigmentation;Baxter2018,True,False
NR5A1,2,1,androgen_axis|hpg_axis,WEAK_string_only,DArcy_STRING,False,False
PAK1,1,1,estrogen_axis,MODERATE,melanosome_massspec;Baxter2018,True,False
PIK3CA,1,1,gnrh_signaling,PATHWAY_only,Raghunath|STRING_ours|DArcy_STRING,False,False
PIK3R1,1,1,estrogen_axis,MODERATE,melanosome_massspec,False,False
PLCB1,2,3,gnrh_signaling,PATHWAY_only,Raghunath|KEGG|STRING_ours,False,False
PLCB2,1,1,gnrh_signaling,PATHWAY_only,KEGG|STRING_ours,False,False
PMAIP1,1,0,androgen_axis,PATHWAY_only,Raghunath|STRING_ours,False,False
POU3F2,1,0,hpg_axis,MODERATE,melanosome_massspec,False,False
PPP1CC,1,0,coactivator_corepressor_carrier,MODERATE,melanosome_massspec,False,False
PRKACA,5,5,androgen_axis|coactivator_corepressor_carrier|estrogen_axis|steroid_biosynthesis,PATHWAY_only,Raghunath|KEGG|GRN|STRING_ours|DArcy_STRING,False,False
PRKCA,3,1,androgen_axis|estrogen_axis|steroid_biosynthesis,MODERATE,melanosome_massspec,False,False
PRKCZ,1,0,coactivator_corepressor_carrier,PATHWAY_only,Raghunath|GRN|STRING_ours,False,False
PTGER1,1,1,gnrh_signaling,PATHWAY_only,Raghunath|STRING_ours,False,False
PTPN1,1,1,estrogen_axis,STRONG,OMIM:Hypopigmentation;melanosome_massspec,False,False
RBX1,1,1,estrogen_axis,MODERATE,melanosome_massspec,False,False
RELA,1,1,coactivator_corepressor_carrier,MODERATE,melanosome_massspec,False,False
RHOA,1,1,gnrh_signaling,MODERATE,melanosome_massspec,False,False
RPS6KA1,2,1,estrogen_axis,MODERATE,melanosome_massspec,False,False
SIRT1,2,2,coactivator_corepressor_carrier,WEAK_string_only,Reactome,False,False
SRC,4,4,androgen_axis|estrogen_axis|steroid_biosynthesis,MODERATE,melanosome_massspec;Baxter2018,True,False
SUMO1,1,1,coactivator_corepressor_carrier,MODERATE,melanosome_massspec,False,False
WNT4,1,1,estrogen_axis,PATHWAY_only,KEGG|STRING_ours,False,False
WNT5A,1,1,steroid_biosynthesis,PATHWAY_only,Raghunath|KEGG|STRING_ours,False,False
