source,target,sign,edge_class,via,citation,citation_source
ADCY4,PRKACA,+,mechanistic_projection,cAMP_melan,relayed via cAMP_melan (backbone-derived; see topology layer),relayed_backbone
ADCY4,PRKACA,+,mechanistic_projection,cAMP_kerat,relayed via cAMP_kerat (backbone-derived; see topology layer),relayed_backbone
ADCY4,RAP1A,+,mechanistic_projection,cAMP_melan,relayed via cAMP_melan (backbone-derived; see topology layer),relayed_backbone
AKT1,BAD,-,mechanistic_projection,,PMID:16888633; PMID:16932738,inherited_backbone
AKT1,CASP8,-,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:12952968,inherited_backbone
AKT1,CREB1,+,mechanistic_projection,,PMID:10761990,inherited_backbone
AKT1,CTNNB1,+,mechanistic_projection,,PMID:21802267,inherited_backbone
AKT1,EZR,+,mechanistic_projection,,PMID:18983538,inherited_backbone
AKT1,FOS,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
AKT1,GSK3B,-,mechanistic_projection,,PMID:12489109; PMID:14632202,inherited_backbone
AKT1,MSN,+,mechanistic_projection,,PMID:18983538,inherited_backbone
AKT1,RDX,+,mechanistic_projection,,PMID:18983538,inherited_backbone
BAD,CYCS,+,mechanistic_projection,,PMID:14678993; PMID:16932738,inherited_backbone
BAK1,CYCS,+,mechanistic_projection,,PMID:16901898,inherited_backbone
BAX,CYCS,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:15304079,inherited_backbone
BBC3,BAX,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
BCL2,BAX,-,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
BID,CYCS,+,mechanistic_projection,,PMID:20019748,inherited_backbone
CASP3,CDKN1A,-,mechanistic_projection,,PMID:9660939,inherited_backbone
CASP3,DFFA,+,mechanistic_projection,DFFB:DFFA_kerat,relayed via DFFB:DFFA_kerat (backbone-derived; see topology layer),relayed_backbone
