species,species_binom,genus,family,hair_dichromatism_any,hair_dichromatism_complete,hair_dichromatism_state,hair_dichromatism_type,hair_dimorphism,natal_coat,natal_coat_type,ontogenetic_trajectory_color
Aotus nigriceps,Aotus nigriceps,aotus,Aotidae,0,0,0,,0,0,,mono_stable
Aotus trivirgatus,Aotus trivirgatus,aotus,Aotidae,0,0,0,,0,0,,mono_stable
Alouatta belzebul,Alouatta belzebul,alouatta,Atelidae,0,0,0,,0,0,,mono_stable
Alouatta caraya,Alouatta caraya,alouatta,Atelidae,1,1,2,complete,0,1,con_to_dad,male_maturation
Alouatta guariba,Alouatta guariba,alouatta,Atelidae,0,0,0,,0,0,,mono_stable
Alouatta palliata,Alouatta palliata,alouatta,Atelidae,0,0,0,,0,0,,mono_stable
Alouatta pigra,Alouatta pigra,alouatta,Atelidae,0,0,0,,0,0,,mono_stable
Alouatta sara,Alouatta sara,alouatta,Atelidae,0,0,0,,0,0,,mono_stable
Alouatta seniculus,Alouatta seniculus,alouatta,Atelidae,0,0,0,,0,0,,mono_stable
Ateles belzebuth,Ateles belzebuth,ateles,Atelidae,0,0,0,,0,0,,mono_stable
Ateles chamek,Ateles chamek,ateles,Atelidae,0,0,0,,0,0,,mono_stable
Ateles fusciceps,Ateles fusciceps,ateles,Atelidae,0,0,0,,0,0,,mono_stable
Ateles geoffroyi,Ateles geoffroyi,ateles,Atelidae,0,0,0,partial,0,0,,mono_stable
Ateles marginatus,Ateles marginatus,ateles,Atelidae,0,0,0,,0,0,,mono_stable
Ateles paniscus,Ateles paniscus,ateles,Atelidae,0,0,0,,0,0,,mono_stable
Brachyteles arachnoides,Brachyteles arachnoides,brachyteles,Atelidae,0,0,0,,0,0,,mono_stable
Lagothrix flavicauda,Lagothrix flavicauda,oreonax,Atelidae,0,0,0,,0,0,,mono_stable
Lagothrix lagothricha,Lagothrix lagothricha,lagothrix,Atelidae,0,0,0,,0,0,,mono_stable
Callimico goeldii,Callimico goeldii,callimico,Callitrichidae,0,0,0,,0,0,,mono_stable
Callithrix aurita,Callithrix aurita,callithrix,Callitrichidae,0,0,0,,0,0,,mono_stable
Callithrix flaviceps,Callithrix flaviceps,callithrix,Callitrichidae,0,0,0,,0,0,,mono_stable
Callithrix geoffroyi,Callithrix geoffroyi,callithrix,Callitrichidae,0,0,0,,0,0,,mono_stable
Callithrix jacchus,Callithrix jacchus,callithrix,Callitrichidae,0,0,0,,0,0,,mono_stable
Callithrix kuhlii,Callithrix kuhlii,callithrix,Callitrichidae,0,0,0,,0,0,,mono_stable
Callithrix penicillata,Callithrix penicillata,callithrix,Callitrichidae,0,0,0,,0,0,,mono_stable
Leontocebus fuscicollis,Leontocebus fuscicollis,leontocebus,Callitrichidae,0,0,0,,0,0,,mono_stable
Leontocebus nigricollis,Leontocebus nigricollis,leontocebus,Callitrichidae,0,0,0,,0,0,,mono_stable
Leontocebus tripartitus,Leontocebus tripartitus,leontocebus,Callitrichidae,0,0,0,,0,0,,mono_stable
Leontopithecus caissara,Leontopithecus caissara,leontopithecus,Callitrichidae,0,0,0,,0,0,,mono_stable
Leontopithecus chrysomelas,Leontopithecus chrysomelas,leontopithecus,Callitrichidae,0,0,0,,0,0,,mono_stable
Leontopithecus chrysopygus,Leontopithecus chrysopygus,leontopithecus,Callitrichidae,0,0,0,,0,0,,mono_stable
Leontopithecus rosalia,Leontopithecus rosalia,leontopithecus,Callitrichidae,0,0,0,,0,0,,mono_stable
Mico argentatus,Mico argentatus,mico,Callitrichidae,0,0,0,,0,0,,mono_stable
Mico humeralifer,Mico humeralifer,mico,Callitrichidae,0,0,0,,0,0,,mono_stable
Mico mauesi,Mico mauesi,mico,Callitrichidae,0,0,0,,0,0,,mono_stable
Mico nigriceps,Mico nigriceps,mico,Callitrichidae,0,0,0,,0,0,,mono_stable
Saguinus bicolor,Saguinus bicolor,saguinus,Callitrichidae,0,0,0,,0,0,,mono_stable
Saguinus geoffroyi,Saguinus geoffroyi,saguinus,Callitrichidae,0,0,0,,0,0,,mono_stable
Saguinus imperator,Saguinus imperator,saguinus,Callitrichidae,0,0,0,,0,0,,mono_stable
Saguinus inustus,Saguinus inustus,saguinus,Callitrichidae,0,0,0,,0,0,,mono_stable
Saguinus labiatus,Saguinus labiatus,saguinus,Callitrichidae,0,0,0,,0,0,,mono_stable
Saguinus leucopus,Saguinus leucopus,saguinus,Callitrichidae,0,0,0,,0,0,,mono_stable
Saguinus midas,Saguinus midas,saguinus,Callitrichidae,0,0,0,,0,0,,mono_stable
Saguinus mystax,Saguinus mystax,saguinus,Callitrichidae,0,0,0,,0,0,,mono_stable
Saguinus oedipus,Saguinus oedipus,saguinus,Callitrichidae,0,0,0,,0,0,,mono_stable
Cebus albifrons,Cebus albifrons,cebus,Cebidae,0,0,0,,0,0,,mono_stable
Cebus capucinus,Cebus capucinus,cebus,Cebidae,0,0,0,,0,0,,mono_stable
Cebus olivaceus,Cebus olivaceus,cebus,Cebidae,0,0,0,,0,0,,mono_stable
Saimiri boliviensis,Saimiri boliviensis,saimiri,Cebidae,0,0,0,,0,0,,mono_stable
Saimiri oerstedii,Saimiri oerstedii,saimiri,Cebidae,0,0,0,,0,0,,mono_stable
