gene,entrez,ensembl,chr,node_class,citation,citation_source
ADCY4,196883.0,ENSG00000129467,14,network_protein_gene,UniProt:Q8NFM4,accession
AHR,196.0,ENSG00000106546,7,network_protein_gene,Entrez:196,accession
AKT1,207.0,ENSG00000142208,14,network_protein_gene,UniProt:P31749,accession
APAF1,317.0,ENSG00000120868,12,network_protein_gene,Entrez:317,accession
ATF2,1386.0,ENSG00000115966,2,network_protein_gene,UniProt:P15336,accession
BAD,572.0,ENSG00000002330,11,network_protein_gene,UniProt:Q92934,accession
BAK1,578.0,ENSG00000030110,6,network_protein_gene,UniProt:Q16611,accession
BAX,581.0,ENSG00000087088,19,network_protein_gene,UniProt:Q07812,accession
BBC3,27113.0,ENSG00000105327,19,network_protein_gene,UniProt:Q9BXH1,accession
BCL2,596.0,ENSG00000171791,18,network_protein_gene,UniProt:P10415,accession
BCL2L1,598.0,ENSG00000171552,20,network_protein_gene,UniProt:Q07817,accession
BID,637.0,ENSG00000015475,22,network_protein_gene,UniProt:P55957,accession
CALM1,801.0,ENSG00000198668,14,network_protein_gene,Entrez:801,accession
CASP3,836.0,ENSG00000164305,4,network_protein_gene,UniProt:P42574,accession
CASP8,841.0,ENSG00000064012,2,network_protein_gene,UniProt:Q14790,accession
CASP9,842.0,ENSG00000132906,1,network_protein_gene,UniProt:P55211,accession
CCND1,595.0,ENSG00000110092,11,network_protein_gene,UniProt:P24385,accession
CDC42,998.0,ENSG00000070831,1,network_protein_gene,UniProt:P60953,accession
CDH2,1000.0,ENSG00000170558,18,network_protein_gene,UniProt:P19022,accession
CDK2,1017.0,ENSG00000123374,12,network_protein_gene,UniProt:P24941,accession
CDK4,1019.0,ENSG00000135446,12,network_protein_gene,UniProt:P11802,accession
CDKN1A,1026.0,ENSG00000124762,6,network_protein_gene,UniProt:P38936,accession
CFLAR,8837.0,ENSG00000003402,2,network_protein_gene,UniProt:O15519,accession
