gene,entrez,ensembl,in_nb2_network,in_darcy_union,in_darcy_S1,darcy_s1_phenotype_class,coverage_tier,case_papers,case_discordance_direction
ATRN,8455,ENSG00000088812,False,False,False,,dark_matter,Ang2023_eLife_Kalinago,both
BNC2,54796,ENSG00000173068,False,True,True,Hyperpigmentation,darcy_recoverable,Ang2023_eLife_Kalinago,both
EGFR,1956,ENSG00000146648,True,True,False,,in_network,Ang2023_eLife_Kalinago,both
EMCN,51705,ENSG00000164035,False,False,False,,dark_matter,Ang2023_eLife_Kalinago,both
HERC2,8924,ENSG00000128731;ENSG00000277278;ENSG00000276802,False,True,True,Hypopigmentation,darcy_recoverable,Abbatangelo2026_SciRep_eyecolour_discordance;Crawford2017_Science_AfricanPigmentation;Morgan2018_NatCommun_HairColour_MC1R;Pospiech2016_IntJLegalMed_IrisPlex_population;Salvo2023_Genes_AAAGblueeyes,mixed
IRF4,3662,ENSG00000137265,False,True,True,Mixed,darcy_recoverable,Abbatangelo2026_SciRep_eyecolour_discordance;Meyer2020_PLoSONE_GGbrowneyes;Pospiech2016_IntJLegalMed_IrisPlex_population,mixed
KALRN,8997,ENSG00000160145,False,False,False,,dark_matter,Ang2023_eLife_Kalinago,both
KITLG,4254,ENSG00000049130,True,True,True,Mixed,in_network,Ang2023_eLife_Kalinago,both
LRMDA,83938,ENSG00000148655,False,True,True,Hypopigmentation,darcy_recoverable,Ang2023_eLife_Kalinago,both
LTO1,220064,ENSG00000149716,False,False,False,,dark_matter,Morgan2018_NatCommun_HairColour_MC1R,both
MANBA,4126,ENSG00000109323,False,False,False,,dark_matter,Ang2023_eLife_Kalinago,both
MC1R,4157,ENSG00000258839,True,True,True,Hypopigmentation,in_network,Crawford2017_Science_AfricanPigmentation;Morgan2018_NatCommun_HairColour_MC1R,both
MFSD12,126321,ENSG00000161091,False,False,False,,dark_matter,Crawford2017_Science_AfricanPigmentation,both
MSX2,4488,ENSG00000120149,False,False,False,,dark_matter,Morgan2018_NatCommun_HairColour_MC1R,both
NPLOC4,55666,ENSG00000182446,False,False,False,,dark_matter,Abbatangelo2026_SciRep_eyecolour_discordance,both
OCA2,4948,ENSG00000277361;ENSG00000104044,True,True,True,Hypopigmentation,in_network,Abbatangelo2026_SciRep_eyecolour_discordance;Ang2023_eLife_Kalinago;Crawford2017_Science_AfricanPigmentation;Pospiech2016_IntJLegalMed_IrisPlex_population;Salvo2023_Genes_AAAGblueeyes;Yang2016_MBE_OCA2_EastAsian,mixed
PAX3,5077,ENSG00000135903,True,True,True,Hypopigmentation,in_network,Morell1997_JMedGenet_Waardenburg,D1
PKHD1,5314,ENSG00000170927,False,False,False,,dark_matter,Morgan2018_NatCommun_HairColour_MC1R,both
POMC,5443,ENSG00000115138,True,True,True,Hypopigmentation,in_network,Morgan2018_NatCommun_HairColour_MC1R,both
PPP3CA,5530,ENSG00000138814,True,True,True,Hypopigmentation,in_network,Ang2023_eLife_Kalinago,both
RALY,22913,ENSG00000125970,False,True,True,Hypopigmentation,darcy_recoverable,Morgan2018_NatCommun_HairColour_MC1R,both
SIK1,150094,ENSG00000142178,False,False,False,,dark_matter,Morgan2018_NatCommun_HairColour_MC1R,both
SLC24A4,123041,ENSG00000140090,False,False,False,,dark_matter,Abbatangelo2026_SciRep_eyecolour_discordance;Meyer2020_PLoSONE_GGbrowneyes;Pospiech2016_IntJLegalMed_IrisPlex_population,mixed
SLC24A5,283652,ENSG00000188467,False,True,True,Mixed,darcy_recoverable,Ang2023_eLife_Kalinago;Crawford2017_Science_AfricanPigmentation;Yang2016_MBE_OCA2_EastAsian,mixed
SLC39A8,64116,ENSG00000138821,False,False,False,,dark_matter,Ang2023_eLife_Kalinago,both
SLC45A2,51151,ENSG00000164175;ENSG00000281919,False,True,True,Hypopigmentation,darcy_recoverable,Abbatangelo2026_SciRep_eyecolour_discordance;Ang2023_eLife_Kalinago;Pospiech2016_IntJLegalMed_IrisPlex_population;Salvo2023_Genes_AAAGblueeyes,mixed
SYT6,148281,ENSG00000134207,False,False,False,,dark_matter,Ang2023_eLife_Kalinago,both
TACR3,6870,ENSG00000169836,False,False,False,,dark_matter,Ang2023_eLife_Kalinago,both
TSPAN10,83882,ENSG00000182612,False,False,False,,dark_matter,Abbatangelo2026_SciRep_eyecolour_discordance;Morgan2018_NatCommun_HairColour_MC1R,both
TYR,7299,ENSG00000077498,True,True,True,Mixed,in_network,Abbatangelo2026_SciRep_eyecolour_discordance;Ang2023_eLife_Kalinago;Meyer2020_PLoSONE_GGbrowneyes;Pospiech2016_IntJLegalMed_IrisPlex_population,mixed
TYRP1,7306,ENSG00000107165,True,True,True,Hypopigmentation,in_network,Abbatangelo2026_SciRep_eyecolour_discordance;Ang2023_eLife_Kalinago;Kenny2012_Science_TYRP1;Meyer2020_PLoSONE_GGbrowneyes;Norton2014_AJPA_MelanesianBlond_TYRP1;Norton2016_AJHB_Bougainville_TYRP1,mixed
