gene,module,n_tips,n_dich,pgls_beta,pgls_p,lambda,phyloglm_beta,phyloglm_p,phyloglm_alpha,degenerate,pgls_p_BH,phyloglm_p_BH,perm_p
AKR1C4,hormone,79,16,0.018623060119729126,5.385187606105345e-4,0.1154582168358158,0.06032393101119053,0.04675810796593671,0.24059709337105786,FALSE,0.04631261341250597,1,5e-4
GNRHR,hormone,93,21,-0.010736691460578018,0.003626322226631765,0.9166855871864319,-0.10606114715797858,0.05496316276448398,0.1174027235147653,FALSE,0.13626501071864597,1,0.0025
GNA11,hormone,77,20,0.04215445685080749,0.005921185799730232,0.8631706443374598,0.6180176129368459,0.41029492302975074,0.14024401021983587,FALSE,0.13626501071864597,1,0.046
HRAS,pigmentation,97,20,0.04220478175821205,0.006337907475285859,0.9203460301058921,0.10744478857262847,0.28418632865771315,0.19032784118915658,FALSE,0.13626501071864597,1,0.093
MAPK3,pigmentation,90,17,0.023487803155500666,0.018862869269216275,0.9426615210119824,0.07035144511003745,0.26167155814899784,0.19097042373488918,FALSE,0.32444135143051994,1,0.057
HSD17B7,hormone,74,18,0.007960416834766898,0.10719643217409798,0.9116133158652602,0.0392165160195487,0.145947366037571,0.15962733627418707,FALSE,0.9815810067864432,1,NA
SULT1E1,hormone,93,20,0.006338046088022139,0.12253305970575913,0.8919482050007216,0.016778404174314136,0.4811708006289603,0.17515292984411232,FALSE,0.9815810067864432,1,NA
KISS1,hormone,67,19,-0.0067217331199836885,0.12283149415703191,0.9431631448132901,-0.03210354722095097,0.11705588020483838,0.057148887239330246,FALSE,0.9815810067864432,1,NA
KITLG,pigmentation,99,21,-0.007217557348655869,0.15114860884108813,0.9117391815791225,-0.016473363173927738,0.6288720689128352,0.1909940108774351,FALSE,0.9815810067864432,1,NA
CDH2,pigmentation,89,19,0.015335897182504684,0.15697972266596658,0.9383971198286978,0.06091234135305851,0.32465943457784496,0.16947638468317153,FALSE,0.9815810067864432,1,NA
GNRH2,hormone,48,9,-1.3178834531002663,0.15808920729530251,0.8003160174379177,-4.719089362214396,0.25404597599796586,0.01705493495257946,FALSE,0.9815810067864432,1,NA
SRD5A1,hormone,91,18,0.008621731696294975,0.17441701653228564,0.8862934734539474,0.039007134590009,0.278503876551274,0.1754133992662197,FALSE,0.9815810067864432,1,NA
LEF1,pigmentation,58,14,0.3446076865386601,0.17768876645680587,0.950184460843185,0.6239118629562896,0.7245253295607909,0.1408290372081665,FALSE,0.9815810067864432,1,NA
IRF4,pigmentation,90,21,0.01369505779416319,0.18630678560320033,0.906216629008575,0.05448503638554315,0.3575682313628453,0.16640064325157108,FALSE,0.9815810067864432,1,NA
HSD3B1,hormone,74,16,0.00924791117694014,0.1882586406057019,0.5829972429591959,0.03539841349890554,0.3152981545061013,0.210207837146872,FALSE,0.9815810067864432,1,NA
SLC45A2,pigmentation,95,21,0.005786393583659248,0.2262402440895641,0.9190611131562839,0.018911008201392607,0.4866135871125891,0.1815390523186379,FALSE,0.9815810067864432,1,NA
PMEL,pigmentation,88,21,0.005418349959470409,0.24314576970357357,0.8940551113189655,0.011963209625377225,0.542722465235427,0.10081091033651056,FALSE,0.9815810067864432,1,NA
AP3B1,pigmentation,93,19,0.009275472719460285,0.2650629448439132,0.9301598907841385,0.049565885474297605,0.32231982981051416,0.16809816455936932,FALSE,0.9815810067864432,1,NA
TYRP1,pigmentation,95,21,0.004874991138842182,0.27088817145359084,0.9434419272455274,0.025106154414410452,0.3389879901047311,0.1279055260185899,FALSE,0.9815810067864432,1,NA
POMC,pigmentation,40,8,-0.006541093198121449,0.3091599630343051,0.7334492497635466,-0.0021626534130388246,0.9526456834708575,0.19270900766639085,FALSE,0.9815810067864432,1,NA
TYR,pigmentation,97,20,0.005319881422882041,0.3128469819165423,0.9020945302987123,0.025888330119798113,0.37911088158184025,0.19834782331886286,FALSE,0.9815810067864432,1,NA
FOXD3,pigmentation,86,19,-0.004622782977726861,0.32025474607606413,0.9177618205407526,-0.052059179364197544,0.061217281129817114,0.0362170159628164,FALSE,0.9815810067864432,1,NA
RAB27A,pigmentation,94,20,-0.00749133640672759,0.32842437064160024,0.8622247155348066,-0.553979049059642,0.4305445319421973,0.16405839373559822,FALSE,0.9815810067864432,1,NA
AKR1C2,hormone,71,17,-0.006790872544730588,0.3288640606477399,0.8703363281897601,-0.030042145108944544,0.4982413150710698,0.17792325178480722,FALSE,0.9815810067864432,1,NA
STS,hormone,94,19,0.006101076546179895,0.3303546854167456,0.8773421863627358,0.03618198668675676,0.318177337485095,0.16981666886209765,FALSE,0.9815810067864432,1,NA
MYO5A,pigmentation,80,17,0.006318408352955265,0.336698305826298,0.8976145171859462,6.22262551315432e-5,0.9979680037931672,0.08682649887050502,FALSE,0.9815810067864432,1,NA
AR,hormone,92,21,-0.003682818995807503,0.34085411181548997,0.9084388705965246,-0.03534016799194993,0.05402027345312571,0.03466425878260502,FALSE,0.9815810067864432,1,NA
FSHR,hormone,94,21,-0.0036846413450566553,0.3827305496657256,0.9156507467745019,-0.025120237543601986,0.39566963979525166,0.18321366235488376,FALSE,0.9815810067864432,1,NA
SHBG,hormone,50,13,0.004996638720161615,0.38716954493915134,0.8468017361988672,0.019529522255389745,0.4913474634336045,0.11037311035173125,FALSE,0.9815810067864432,1,NA
HSD17B8,hormone,50,10,-0.010284760050109544,0.4051278271212151,0.9040100689631184,0,1,0.01511164398285684,FALSE,0.9815810067864432,1,NA
CYP11B1,hormone,81,16,-0.0056306766924935515,0.4109253805698029,0.6031977943494088,-0.026904243702423725,0.5851267313672028,0.21902455509325966,FALSE,0.9815810067864432,1,NA
CYP19A1,hormone,83,18,-0.005534309817162784,0.4114032934630888,0.8580065356826232,-0.00891596646025665,0.8180601700878144,0.20487203643082386,FALSE,0.9815810067864432,1,NA
NCOA2,hormone,95,20,0.003926920996109,0.4189668633334265,0.9471796272333924,0.03125675216217912,0.2937600808382413,0.1646282270477799,FALSE,0.9815810067864432,1,NA
DCT,pigmentation,93,19,-0.003008200442128191,0.4532034020486184,0.9341067728332643,-0.041941286723530924,0.07533390865787389,0.03506143429703582,FALSE,0.9815810067864432,1,NA
HSD3B2,hormone,58,11,-0.006259903014811519,0.4549140588083638,0.5177142614277985,-0.8563314549460472,0.4712403776399653,0.20831913157363724,FALSE,0.9815810067864432,1,NA
AKR1C8,hormone,70,15,-0.0043192130546500914,0.4750986098937495,0.6784241400906031,-0.00388061675664368,0.90359685751663,0.21182315223821954,FALSE,0.9815810067864432,1,NA
NCOR1,hormone,90,20,0.0038537604548706667,0.4771090126726839,0.9175043920271337,0.023469645119421696,0.43708679975539805,0.1561024689732419,FALSE,0.9815810067864432,1,NA
SLC24A4,pigmentation,95,20,-0.003768543174274664,0.4956219321969695,0.9303972230896346,-0.010292444592711152,0.7068371199130017,0.08981783583777776,FALSE,0.9815810067864432,1,NA
CTNS,pigmentation,75,16,-0.0034520332046138066,0.5065238068317293,0.9150925955759805,-0.00014901171915794094,0.9960724841804527,0.16882926095551679,FALSE,0.9815810067864432,1,NA
NCOA1,hormone,96,21,-0.0028456797048841084,0.5177502662337823,0.909551854977223,-9.722830397407226e-4,0.9689499553250578,0.19033766250070708,FALSE,0.9815810067864432,1,NA
HGF,pigmentation,89,20,0.0040480391946216285,0.5187070044661426,0.8928615854152595,0.03671440648407925,0.28323937798038484,0.17963130212449882,FALSE,0.9815810067864432,1,NA
HPS4,pigmentation,37,10,0.005896489072518804,0.5219859582843063,0.8348873713751629,0.030593567240780592,0.5266759550070369,0.16438253347805504,FALSE,0.9815810067864432,1,NA
AKR1C3,hormone,69,18,-0.004605600190379128,0.5305333189386563,0.8046139868971284,-0.020896251533520895,0.6211337559621638,0.1949191312296281,FALSE,0.9815810067864432,1,NA
SPTLC2,pigmentation,95,19,0.0020997718960536664,0.5643223541823097,0.8189717208870629,-0.0038756655750881285,0.8565652557007375,0.19927509133599972,FALSE,0.9815810067864432,1,NA
SRC,pigmentation,68,14,0.006009524707235037,0.5815726004908346,0.7967796402743675,0.03169977405519763,0.6087367216695609,0.19667616946249097,FALSE,0.9815810067864432,1,NA
AKR1C1,hormone,65,16,-0.004774749660433378,0.5840178560271816,0.7692386122985273,-0.015566067871756111,0.7459779514726721,0.21099301489667902,FALSE,0.9815810067864432,1,NA
LDLR,hormone,70,18,0.002951684789907968,0.587651014097496,0.9860251615014681,5.607284573943998e-4,0.9857202763975755,0.1436161056356499,FALSE,0.9815810067864432,1,NA
SOX10,pigmentation,94,17,-0.05870807735507486,0.6099171254368687,0.8949410534085146,-0.007605553818586349,0.991744627872351,0.19453038116540433,FALSE,0.9815810067864432,1,NA
SLC17A5,pigmentation,74,17,0.003314683132153379,0.61150175501865,0.9009945260485814,0.019373404564471466,0.6012352904899754,0.18595217839851422,FALSE,0.9815810067864432,1,NA
