origin_id,gene,category,module,set,K,p_value,p_BH,LRT,n_fg,n_tips_kept,n_sites,status
origin_14,HPS5,melanosome_biogenesis,pigmentation,?,0.4694983446426302,0.3145941941414629,1.0,1.011289160349406,2,74,816,ok
origin_14,LYST,melanosome_biogenesis,pigmentation,?,1.627559777511469,0.317715923191097,1.0,0.9983259300206555,2,77,1278,ok
origin_14,AP3D1,melanosome_biogenesis,pigmentation,?,0.7095004171686539,0.373902788951637,1.0,0.7906528569183138,2,74,903,ok
origin_14,GPR143,melanosome_biogenesis,pigmentation,?,3.048555587090913,0.4301946410206012,1.0,0.6222979287404087,2,76,227,ok
origin_14,HPS1,melanosome_biogenesis,pigmentation,?,1.280209541413859,0.5428336213942896,1.0,0.3703131549191312,2,71,701,ok
origin_14,CDH2,melanogenesis_regulation,pigmentation,?,0.1488427675480952,0.6031180386742694,1.0,0.270318740458606,2,72,549,ok
origin_14,SRC,melanogenesis_regulation,pigmentation,?,13.34552384369744,0.6362778296426925,1.0,0.2236432856079773,2,56,536,ok
origin_14,SLC1A2,melanosome_biogenesis,pigmentation,?,0.6968745248169445,0.6502685035283573,1.0,0.2055617772630285,2,72,371,ok
origin_14,CDC42,melanogenesis_regulation,pigmentation,?,0.7206105735275066,0.7647631700788715,1.0,0.08953968367814014,2,53,191,ok
origin_14,SLC44A4,melanosome_biogenesis,pigmentation,?,1.302498771738403,0.7771621150444774,1.0,0.08009987049990741,2,76,681,ok
origin_14,PPP3CA,melanogenesis_regulation,pigmentation,?,2.337026757021713,0.8007059326007048,1.0,0.06372272190856165,2,68,302,ok
origin_14,HRAS,melanogenesis_regulation,pigmentation,?,0.8300413277095718,0.8489378740574995,1.0,0.03628026745172974,2,79,189,ok
origin_14,EP300,melanogenesis_regulation,pigmentation,?,2.628165846485466,0.864735319788005,1.0,0.02901893696616753,2,70,1129,ok
origin_14,MYO5A,melanosome_biogenesis,pigmentation,?,1.358321574050675,0.999998478155974,1.0,3.637978807091713e-12,2,65,556,ok
origin_14,RACK1,melanogenesis_regulation,pigmentation,?,2.25,0.9999992390779869,1.0,9.094947017729282e-13,2,72,317,ok
origin_14,AP3B1,melanosome_biogenesis,pigmentation,?,1.358321574050675,1,1.0,-0.04678903213789454,2,76,487,ok
origin_14,BLOC1S6,melanosome_biogenesis,pigmentation,?,1.358321574050675,1,1.0,0,2,26,97,ok
origin_14,CTNNB1,melanogenesis_regulation,pigmentation,?,1.358321574050675,1,1.0,-1.551597961224616e-09,2,70,777,ok
origin_14,HGF,melanogenesis_regulation,pigmentation,?,1,1,1.0,-0.02712044252257328,2,71,614,ok
origin_14,HPS3,melanosome_biogenesis,pigmentation,?,1.358321574050675,1,1.0,0,2,78,619,ok
