GeneID,Symbol,GeneInfo,Localization,Process,Function,Combined_casTLE_Effect,Combined_casTLE_Score,Minimum_Effect_Estimate,Maximum_Effect_Estimate,p_value,q_value,direction_note
ENSG00000077498,TYR,tyrosinase,cytoplasm|lysosome|Golgi-associated vesicle|integral component of membrane|melanosome membrane|melanosome|perinuclear region of cytoplasm|,melanin biosynthetic process from tyrosine|eye pigment biosynthetic process|visual perception|cell proliferation|thymus development|oxidation-reduction process|,monophenol monooxygenase activity|copper ion binding|protein binding|protein homodimerization activity|protein heterodimerization activity|,4.1,336.0,3.8,5.0,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000164175,SLC45A2,"solute carrier family 45, member 2",integral component of membrane|melanosome membrane|,visual perception|melanin biosynthetic process|developmental pigmentation|response to stimulus|,,3.8,253.0,3.4,4.6,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000136051,KIAA1033,KIAA1033,endosome|WASH complex|,endosomal transport|endosomal transport|,,3.2,86.5,1.5,3.9,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000121774,KHDRBS1,"KH domain containing, RNA binding, signal transduction associated 1",nucleus|cytoplasm|membrane|Grb2-Sos complex|,"G2/M transition of mitotic cell cycle|transcription, DNA-templated|mRNA processing|cell cycle arrest|signal transduction|cell surface receptor signaling pathway|cell proliferation|positive regulation of signal transduction|positive regulation of signal transduction|negative regulation of transcription, DNA-templated|positive regulation of translational initiation|regulation of RNA export from nucleus|positive regulation of RNA export from nucleus|",DNA binding|RNA binding|SH3/SH2 adaptor activity|protein binding|poly(A) binding|poly(U) RNA binding|SH3 domain binding|protein complex binding|poly(A) RNA binding|,3.0,135.0,2.6,3.8,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000138246,DNAJC13,"DnaJ (Hsp40) homolog, subfamily C, member 13",lysosomal membrane|membrane|extracellular vesicular exosome|,osteoblast differentiation|,,2.9,114.0,2.3,3.6,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000169359,SLC33A1,"solute carrier family 33 (acetyl-CoA transporter), member 1",Golgi membrane|endoplasmic reticulum membrane|integral component of plasma membrane|membrane|,transport|cell death|acetyl-CoA transport|acetyl-CoA transport|transmembrane transport|,acetyl-CoA transporter activity|,2.8,109.0,2.1,3.4,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000114744,COMMD2,COMM domain containing 2,,,protein binding|,2.6,70.2,1.8,3.3,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000119396,RAB14,"RAB14, member RAS oncogene family",Golgi membrane|intracellular|lysosome|lysosomal membrane|early endosome|late endosome|rough endoplasmic reticulum|Golgi stack|cytosol|plasma membrane|trans-Golgi network transport vesicle|cytoplasmic vesicle membrane|phagocytic vesicle membrane|early endosome membrane|nuclear outer membrane-endoplasmic reticulum membrane network|intracellular membrane-bounded organelle|phagocytic vesicle|perinuclear region of cytoplasm|recycling endosome|extracellular vesicular exosome|,GTP catabolic process|GTP catabolic process|GTP catabolic process|Golgi to endosome transport|Golgi to endosome transport|small GTPase mediated signal transduction|fibroblast growth factor receptor signaling pathway|embryo development|protein transport|vesicle-mediated transport|endocytic recycling|regulation of protein localization|intracellular transport|membrane organization|,GTPase activity|GTPase activity|GTPase activity|protein binding|GTP binding|GDP binding|,2.6,159.0,2.2,3.3,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000136868,SLC31A1,"solute carrier family 31 (copper transporter), member 1",plasma membrane|integral component of plasma membrane|,copper ion transport|copper ion transmembrane transport|transmembrane transport|,copper ion transmembrane transporter activity|,2.5,67.4,1.7,3.3,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000110497,AMBRA1,autophagy/beclin-1 regulator 1,cytoplasm|autophagic vacuole|axoneme|cytoplasmic vesicle|,autophagy|negative regulation of cell proliferation|neural tube development|cell differentiation|negative regulation of neuron apoptotic process|,protein binding|,2.4,146.0,2.0,3.3,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000065000,AP3D1,"adaptor-related protein complex 3, delta 1 subunit",Golgi membrane|lysosomal membrane|Golgi apparatus|endosome membrane|membrane|membrane coat|terminal bouton|,"eye pigment biosynthetic process|intracellular protein transport|anterograde axon cargo transport|melanosome organization|protein localization to organelle|endosome to melanosome transport|antigen processing and presentation, exogenous lipid antigen via MHC class Ib|anterograde synaptic vesicle transport|synaptic vesicle membrane organization|positive regulation of NK T cell differentiation|regulation of sequestering of zinc ion|protein localization to membrane|",transporter activity|protein transporter activity|,2.4,133.0,2.1,3.0,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000101997,CCDC22,coiled-coil domain containing 22,cellular_component|,biological_process|,molecular_function|,2.4,131.0,2.0,3.1,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000072958,AP1M1,"adaptor-related protein complex 1, mu 1 subunit",Golgi membrane|lysosomal membrane|cytosol|membrane|clathrin adaptor complex|cytoplasmic vesicle membrane|clathrin-coated vesicle membrane|trans-Golgi network membrane|extracellular vesicular exosome|,intracellular protein transport|post-Golgi vesicle-mediated transport|viral process|antigen processing and presentation of exogenous peptide antigen via MHC class II|melanosome organization|endosome to melanosome transport|regulation of defense response to virus by virus|membrane organization|,protein binding|,2.3,86.7,1.8,2.9,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000164961,KIAA0196,KIAA0196,endosome|endoplasmic reticulum|cytosol|WASH complex|,cell death|endosomal transport|,,2.3,95.5,1.7,2.9,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
