source,target,sign,edge_layer,verb,interaction_norm,reference,source_comp,target_comp,compartment_relation,source_node_raw,target_node_raw,container_type,member_type,member_source
4HNE_kerat,DNA_Damage_kerat,+,backbone,induces,induces,NetProTM,keratinocyte,keratinocyte,autocrine,4HNE_kerat,DNA_Damage_kerat,,,
ACTH_kerat,MC1R,+,backbone,activates,activates,[1],keratinocyte,keratinocyte,autocrine,ACTH_kerat,MC1R_kerat,,,
ACTH_kerat,MC1R,+,backbone,activates,activates,NetProTM,keratinocyte,melanocyte,paracrine,ACTH_kerat,MC1R_melan,,,
ACTH_kerat,NFKB1,-,backbone,inhibits,inhibits,[2],keratinocyte,keratinocyte,autocrine,ACTH_kerat,NFKB1_kerat,,,
ACTH_melan,MC1R,+,backbone,activates,activates,[3],melanocyte,melanocyte,autocrine,ACTH_melan,MC1R_melan,,,
ADCY4,cAMP_kerat,+,backbone,Increases level,increases level,NetProTM,keratinocyte,keratinocyte,autocrine,ADCY4_kerat,cAMP_kerat,,,
ADCY4,cAMP_melan,+,backbone,increases level,increases level,[4],melanocyte,melanocyte,autocrine,ADCY4_melan,cAMP_melan,,,
AHR:SRC:HSP90AA1_kerat,SRC,-,backbone,dissociates to,dissociates to,[5],keratinocyte,keratinocyte,autocrine,AHR:SRC:HSP90AA1_kerat,SRC_kerat,,,
AKT1,BAD,-,backbone,inhibits,inhibits,[6],keratinocyte,keratinocyte,autocrine,AKT1_kerat,BAD_kerat,,,
AKT1,CASP8,-,backbone,inhibits,inhibits,[7],keratinocyte,keratinocyte,autocrine,AKT1_kerat,CASP8_kerat,,,
AKT1,GSK3B,-,backbone,inhibits,inhibits,[8],keratinocyte,keratinocyte,autocrine,AKT1_kerat,GSK3B_kerat,,,
AKT1,BAD,-,backbone,inhibits,inhibits,[9],melanocyte,melanocyte,autocrine,AKT1_melan,BAD_melan,,,
AKT1,CASP8,-,backbone,inhibits,inhibits,NetProTM,melanocyte,melanocyte,autocrine,AKT1_melan,CASP8_melan,,,
AKT1,CREB1,+,backbone,activates,activates,[10],melanocyte,melanocyte,autocrine,AKT1_melan,CREB1_melan,,,
AKT1,CTNNB1,+,backbone,increases stability,increases stability,[11],melanocyte,melanocyte,autocrine,AKT1_melan,CTNNB1_melan,,,
