source_gene,source_gene_ensembl,target_endpoint,layer_type,edge_weight_castle_effect,edge_sign,sign_basis,q_value,citation,citation_source
TYR,ENSG00000077498,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,4.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SLC45A2,ENSG00000164175,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,3.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
KIAA1033,ENSG00000136051,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,3.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
KHDRBS1,ENSG00000121774,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,3.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
DNAJC13,ENSG00000138246,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SLC33A1,ENSG00000169359,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
COMMD2,ENSG00000114744,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.6,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
RAB14,ENSG00000119396,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.6,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SLC31A1,ENSG00000136868,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.5,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
AMBRA1,ENSG00000110497,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
