gene,species,state,method,pct_identity,aln_len,ref_len,aln_ref_ratio,ratio_flag
AKR1C1,Cercopithecus_hamlyni,dichromatic,miniprot,0.8834,924,1068,0.865,
AKR1C1,Cacajao_melanocephalus,monochromatic,miniprot,0.8892,924,1068,0.865,
AKR1C1,Cercopithecus_neglectus,monochromatic,miniprot,0.9392,924,1068,0.865,
AKR1C1,Colobus_guereza,dichromatic,miniprot,0.8854,924,1068,0.865,
AKR1C1,Macaca_mulatta,monochromatic,direct,,924,1068,0.865,
AKR1C1,Lagothrix_lagotricha,monochromatic,miniprot,0.8848,924,1068,0.865,
AKR1C1,Pygathrix_nemaeus,monochromatic,miniprot,0.9684,924,1068,0.865,
AKR1C1,Callicebus_moloch,monochromatic,miniprot,0.8567,924,1068,0.865,
AKR1C1,Ateles_geoffroyi,monochromatic,miniprot,0.8764,924,1068,0.865,
AKR1C1,Papio_papio,monochromatic,miniprot,0.9045,924,1068,0.865,
AKR1C1,Prolemur_simus,monochromatic,miniprot,0.8514,924,1068,0.865,
AKR1C1,Chiropotes_chiropotes,monochromatic,miniprot,0.8708,924,1068,0.865,
AKR1C1,Eulemur_coronatus,monochromatic,miniprot,0.8243,924,1068,0.865,
AKR1C1,Trachypithecus_pileatus,dichromatic,miniprot,0.8824,924,1068,0.865,
AKR1C1,Alouatta_seniculus,monochromatic,miniprot,0.8657,924,1068,0.865,
AKR1C1,Macaca_radiata,monochromatic,miniprot,0.9304,924,1068,0.865,
AKR1C1,Alouatta_caraya,dichromatic,miniprot,0.8892,924,1068,0.865,
AKR1C1,Nomascus_gabriellae,dichromatic,miniprot,0.8762,924,1068,0.865,
AKR1C1,Cercopithecus_campbelli,monochromatic,miniprot,0.9414,924,1068,0.865,
AKR1C1,Papio_ursinus,monochromatic,miniprot,0.894,924,1068,0.865,
AKR1C1,Pithecia_albicans,monochromatic,miniprot,0.8792,924,1068,0.865,
AKR1C1,Presbytis_melalophos,monochromatic,miniprot,0.7041,924,1068,0.865,
AKR1C1,Eulemur_macaco,dichromatic,miniprot,0.8359,924,1068,0.865,
AKR1C1,Ateles_belzebuth,monochromatic,miniprot,0.8792,924,1068,0.865,
AKR1C1,Cercopithecus_lhoesti,monochromatic,miniprot,0.701,924,1068,0.865,
AKR1C1,Presbytis_comata,monochromatic,miniprot,0.7041,924,1068,0.865,
AKR1C1,Cercopithecus_mona,monochromatic,miniprot,0.6899,924,1068,0.865,
AKR1C1,Colobus_polykomos,monochromatic,miniprot,0.9554,924,1068,0.865,
AKR1C1,Ateles_paniscus,monochromatic,miniprot,0.8792,924,1068,0.865,
AKR1C1,Cercopithecus_petaurista,monochromatic,miniprot,0.9565,924,1068,0.865,
AKR1C1,Pygathrix_cinerea,monochromatic,miniprot,0.6997,924,1068,0.865,
AKR1C1,Trachypithecus_obscurus,dichromatic,miniprot,0.8824,924,1068,0.865,
AKR1C1,Trachypithecus_geei,dichromatic,miniprot,0.8824,924,1068,0.865,
AKR1C1,Cercopithecus_preussi,monochromatic,miniprot,0.7117,924,1068,0.865,
AKR1C1,Pithecia_pithecia,dichromatic,miniprot,0.882,924,1068,0.865,
AKR1C1,Cercopithecus_ascanius,monochromatic,miniprot,0.6997,924,1068,0.865,
AKR1C1,Callicebus_caligatus,monochromatic,miniprot,0.8537,924,1068,0.865,
AKR1C1,Allenopithecus_nigroviridis,monochromatic,miniprot,0.6935,924,1068,0.865,
AKR1C1,Alouatta_palliata,monochromatic,miniprot,0.8514,924,1068,0.865,
AKR1C1,Trachypithecus_johnii,dichromatic,miniprot,0.8854,924,1068,0.865,
AKR1C1,Ateles_chamek,monochromatic,miniprot,0.8764,924,1068,0.865,
AKR1C1,Hylobates_klossii,monochromatic,miniprot,0.8762,924,1068,0.865,
AKR1C1,Cercopithecus_nictitans,monochromatic,miniprot,0.9569,924,1068,0.865,
AKR1C1,Cercopithecus_solatus,monochromatic,miniprot,0.6966,924,1068,0.865,
AKR1C1,Macaca_fuscata,monochromatic,miniprot,0.893,924,1068,0.865,
AKR1C1,Trachypithecus_vetulus,monochromatic,miniprot,0.8854,924,1068,0.865,
AKR1C1,Trachypithecus_cristatus,dichromatic,miniprot,0.8854,924,1068,0.865,
AKR1C1,Macaca_cyclopis,monochromatic,miniprot,0.9242,924,1068,0.865,
AKR1C1,Eulemur_fulvus,monochromatic,miniprot,0.8285,924,1068,0.865,
AKR1C1,Eulemur_mongoz,dichromatic,miniprot,0.7215,924,1068,0.865,
AKR1C1,Eulemur_rubriventer,monochromatic,miniprot,0.712,924,1068,0.865,
AKR1C1,Macaca_tonkeana,monochromatic,miniprot,0.949,924,1068,0.865,
AKR1C1,Cercopithecus_pogonias,monochromatic,miniprot,0.6899,924,1068,0.865,
AKR1C1,Hapalemur_griseus,monochromatic,miniprot,0.8622,924,1068,0.865,
AKR1C1,Papio_cynocephalus,monochromatic,miniprot,0.9356,924,1068,0.865,
AKR1C1,Cercopithecus_cephus,monochromatic,miniprot,0.7007,924,1068,0.865,
AKR1C1,Eulemur_flavifrons,dichromatic,miniprot,0.8297,924,1068,0.865,
AKR1C1,Macaca_arctoides,dichromatic,miniprot,0.9242,924,1068,0.865,
AKR1C1,Cacajao_calvus,monochromatic,miniprot,0.8892,924,1068,0.865,
AKR1C1,Cercopithecus_diana,monochromatic,miniprot,0.6818,924,1068,0.865,
AKR1C1,Cercocebus_torquatus,monochromatic,miniprot,0.9258,924,1068,0.865,
AKR1C1,Nomascus_concolor,dichromatic,miniprot,0.8731,924,1068,0.865,
AKR1C1,Brachyteles_arachnoides,monochromatic,miniprot,0.8792,924,1068,0.865,
AKR1C1,Trachypithecus_auratus,dichromatic,miniprot,0.8854,924,1068,0.865,
AKR1C1,Ateles_marginatus,monochromatic,miniprot,0.8576,924,1068,0.865,
AKR1C2,Cercopithecus_hamlyni,dichromatic,miniprot,0.8799,963,969,0.994,
AKR1C2,Cacajao_melanocephalus,monochromatic,miniprot,0.894,963,969,0.994,
AKR1C2,Cercopithecus_neglectus,monochromatic,miniprot,0.9223,963,969,0.994,
AKR1C2,Colobus_guereza,dichromatic,miniprot,0.8885,963,969,0.994,
AKR1C2,Macaca_nigra,monochromatic,miniprot,0.9288,963,969,0.994,
AKR1C2,Macaca_mulatta,monochromatic,direct,,963,969,0.994,
AKR1C2,Lagothrix_lagotricha,monochromatic,miniprot,0.8885,963,969,0.994,
AKR1C2,Pygathrix_nemaeus,monochromatic,miniprot,0.8885,963,969,0.994,
AKR1C2,Callicebus_moloch,monochromatic,miniprot,0.8514,963,969,0.994,
AKR1C2,Ateles_geoffroyi,monochromatic,miniprot,0.8824,963,969,0.994,
AKR1C2,Papio_papio,monochromatic,miniprot,0.9226,963,969,0.994,
AKR1C2,Prolemur_simus,monochromatic,miniprot,0.839,963,969,0.994,
AKR1C2,Chiropotes_chiropotes,monochromatic,miniprot,0.8824,963,969,0.994,
AKR1C2,Eulemur_coronatus,monochromatic,miniprot,0.8243,963,969,0.994,
AKR1C2,Trachypithecus_pileatus,dichromatic,miniprot,0.8854,963,969,0.994,
AKR1C2,Macaca_radiata,monochromatic,miniprot,0.894,963,969,0.994,
AKR1C2,Saimiri_sciureus,monochromatic,miniprot,0.9078,963,969,0.994,
AKR1C2,Saimiri_oerstedii,monochromatic,miniprot,0.9113,963,969,0.994,
AKR1C2,Cebus_albifrons,monochromatic,miniprot,0.894,963,969,0.994,
AKR1C2,Alouatta_caraya,dichromatic,miniprot,0.9081,963,969,0.994,
AKR1C2,Callicebus_brunneus,monochromatic,miniprot,0.8947,963,969,0.994,
AKR1C2,Nomascus_gabriellae,dichromatic,miniprot,0.8669,963,969,0.994,
AKR1C2,Cercopithecus_campbelli,monochromatic,miniprot,0.9219,963,969,0.994,
AKR1C2,Callicebus_hoffmannsi,monochromatic,miniprot,0.9152,963,969,0.994,
AKR1C2,Papio_ursinus,monochromatic,miniprot,0.8834,963,969,0.994,
