gene,full_name
TYR,Tyrosinase
TYRP1,Tyrosinase related protein 1
DCT,Dopachrome tautomerase
PMEL,Premelanosome protein
MLANA,Melan-A
OCA2,OCA2 melanosomal transmembrane protein
SLC45A2,Solute carrier family 45 member 2
SLC24A5,Solute carrier family 24 member 5
MFSD12,Major facilitator superfamily domain containing 12
SLC24A4,Solute carrier family 24 member 4
MC1R,Melanocortin 1 receptor
ASIP,Par-3 family cell polarity regulator
POMC,Proopiomelanocortin
MRAP2,Melanocortin 2 receptor accessory protein 2
EDN3,Endothelin 3
EDNRB,Endothelin receptor type B
KIT,"KIT proto-oncogene, receptor tyrosine kinase"
KITLG,KIT ligand
MITF,Melanocyte inducing transcription factor
SOX10,SRY-box transcription factor 10
PAX3,Paired box 3
TFAP2A,Transcription factor AP-2 alpha
LEF1,Lymphoid enhancer binding factor 1
FOXD3,Forkhead box D3
IRF4,Interferon regulatory factor 4
BNC2,Basonuclin zinc finger protein 2
HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2
AKR1C3,Aldo-keto reductase family 1 member C3
AR,Androgen receptor
CYP17A1,Cytochrome P450 family 17 subfamily A member 1
HSD17B3,Hydroxysteroid 17-beta dehydrogenase 3
SRD5A1,Steroid 5 alpha-reductase 1
SRD5A2,Steroid 5 alpha-reductase 2
SRD5A3,Steroid 5 alpha-reductase 3
CYP19A1,Cytochrome P450 family 19 subfamily A member 1
ESR1,Estrogen receptor 1
ESR2,Estrogen receptor 2
GPER1,G protein-coupled estrogen receptor 1
HSD17B1,Hydroxysteroid 17-beta dehydrogenase 1
STS,Steroid sulfatase
SULT1E1,Sulfotransferase family 1E member 1
CGA,Chromogranin A
FSHB,Follicle stimulating hormone subunit beta
FSHR,Follicle stimulating hormone receptor
GNRH1,Gonadotropin releasing hormone 1
GNRH2,Gonadotropin releasing hormone 2
GNRHR,Gonadotropin releasing hormone receptor
KISS1,KiSS-1 metastasis suppressor
KISS1R,KISS1 receptor
LHB,Luteinizing hormone subunit beta
LHCGR,Luteinizing hormone/choriogonadotropin receptor
AKR1C1,Aldo-keto reductase family 1 member C1
AKR1C2,Aldo-keto reductase family 1 member C2
AKR1C4,Aldo-keto reductase family 1 member C4
AKR1C8,Aldo-keto reductase family 1 member C8
CYP11A1,Cytochrome P450 family 11 subfamily A member 1
CYP11B1,Cytochrome P450 family 11 subfamily B member 1
CYP11B2,Cytochrome P450 family 11 subfamily B member 2
CYP21A2,Cytochrome P450 family 21 subfamily A member 2
CYP7B1,Cytochrome P450 family 7 subfamily B member 1
HSD17B11,Hydroxysteroid 17-beta dehydrogenase 11
HSD17B12,Hydroxysteroid 17-beta dehydrogenase 12
HSD17B2,Hydroxysteroid 17-beta dehydrogenase 2
HSD17B6,Hydroxysteroid 17-beta dehydrogenase 6
HSD17B7,Hydroxysteroid 17-beta dehydrogenase 7
HSD17B8,Hydroxysteroid 17-beta dehydrogenase 8
HSD3B1,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"
HSD3B2,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"
LDLR,Low density lipoprotein receptor
SCARB1,Scavenger receptor class B member 1
STAR,Guanylate cyclase 2C
GNA11,G protein subunit alpha 11
GNAQ,G protein subunit alpha q
FKBP5,FKBP prolyl isomerase 5
NCOA1,Nuclear receptor coactivator 1
NCOA2,Nuclear receptor coactivator 2
NCOA3,Nuclear receptor coactivator 3
NCOR1,Nuclear receptor corepressor 1
NCOR2,Nuclear receptor corepressor 2
SHBG,Sex hormone binding globulin
