node,base,node_type,type_source,compartment,state,dual_compartment
4HNE_kerat,4HNE,pending_db_resolution,,keratinocyte,,False
ACTH_kerat,ACTH,pending_db_resolution,,keratinocyte,,True
ACTH_melan,ACTH,pending_db_resolution,,melanocyte,,True
ADCY4_kerat,ADCY4,pending_db_resolution,,keratinocyte,,True
ADCY4_melan,ADCY4,pending_db_resolution,,melanocyte,,True
AHR:SRC:HSP90AA1_kerat,AHR:SRC:HSP90AA1,complex,raghunath_file_syntax,keratinocyte,,False
AKT1_kerat,AKT1,pending_db_resolution,,keratinocyte,,True
AKT1_melan,AKT1,pending_db_resolution,,melanocyte,,True
APAF1:CYCS_kerat,APAF1:CYCS,complex,raghunath_file_syntax,keratinocyte,,False
ATF2_kerat,ATF2,pending_db_resolution,,keratinocyte,,False
Apoptosis_kerat,Apoptosis,pending_db_resolution,,keratinocyte,,True
Apoptosis_melan,Apoptosis,pending_db_resolution,,melanocyte,,True
Arachidonic_Acid_kerat,Arachidonic_Acid,pending_db_resolution,,keratinocyte,,True
Arachidonic_Acid_melan,Arachidonic_Acid,pending_db_resolution,,melanocyte,,True
BAD_kerat,BAD,pending_db_resolution,,keratinocyte,,True
BAD_melan,BAD,pending_db_resolution,,melanocyte,,True
BAK1_kerat,BAK1,pending_db_resolution,,keratinocyte,,False
BAX_kerat,BAX,pending_db_resolution,,keratinocyte,,True
BAX_melan,BAX,pending_db_resolution,,melanocyte,,True
BBC3_melan,BBC3,pending_db_resolution,,melanocyte,,False
BCL2L1_kerat,BCL2L1,pending_db_resolution,,keratinocyte,,True
BCL2L1_melan,BCL2L1,pending_db_resolution,,melanocyte,,True
BCL2_kerat,BCL2,pending_db_resolution,,keratinocyte,,True
BCL2_melan,BCL2,pending_db_resolution,,melanocyte,,True
BID_kerat,BID,pending_db_resolution,,keratinocyte,,False
CASP3_kerat,CASP3,pending_db_resolution,,keratinocyte,,False
CASP8_kerat,CASP8,pending_db_resolution,,keratinocyte,,True
CASP8_melan,CASP8,pending_db_resolution,,melanocyte,,True
CASP9_kerat,CASP9,pending_db_resolution,,keratinocyte,,False
CCND1_kerat,CCND1,pending_db_resolution,,keratinocyte,,True
CCND1_melan,CCND1,pending_db_resolution,,melanocyte,,True
CDC42_kerat,CDC42,pending_db_resolution,,keratinocyte,,False
CDH2_melan,CDH2,pending_db_resolution,,melanocyte,,False
CDK2_kerat,CDK2,pending_db_resolution,,keratinocyte,,False
CDK4:CCND1_melan,CDK4:CCND1,complex,raghunath_file_syntax,melanocyte,,False
CDK4_melan,CDK4,pending_db_resolution,,melanocyte,,False
CDKN1A_kerat,CDKN1A,pending_db_resolution,,keratinocyte,,True
CDKN1A_melan,CDKN1A,pending_db_resolution,,melanocyte,,True
CFLAR_kerat,CFLAR,pending_db_resolution,,keratinocyte,,False
CREB1_kerat,CREB1,pending_db_resolution,,keratinocyte,,True
CREB1_melan,CREB1,pending_db_resolution,,melanocyte,,True
CSF2RA:JAK1_melan,CSF2RA:JAK1,complex,raghunath_file_syntax,melanocyte,,False
CSF2RA_melan,CSF2RA,pending_db_resolution,,melanocyte,,False
CSF2_kerat,CSF2,pending_db_resolution,,keratinocyte,,False
CTNNB1:LEF1_melan,CTNNB1:LEF1,complex,raghunath_file_syntax,melanocyte,,False
CTNNB1_melan,CTNNB1,pending_db_resolution,,melanocyte,,False
CYCS_kerat,CYCS,pending_db_resolution,,keratinocyte,,True
CYCS_melan,CYCS,pending_db_resolution,,melanocyte,,True
Calcium_cyt:Calmodulin_melan,Calcium_cyt:Calmodulin,complex,raghunath_file_syntax,melanocyte,,False
Calcium_cyt_kerat,Calcium_cyt,pending_db_resolution,,keratinocyte,,True
Calcium_cyt_melan,Calcium_cyt,pending_db_resolution,,melanocyte,,True
Cell_cycle_arrest_kerat,Cell_cycle_arrest,pending_db_resolution,,keratinocyte,,True
Cell_cycle_arrest_melan,Cell_cycle_arrest,pending_db_resolution,,melanocyte,,True
Cell_differentiation_kerat,Cell_differentiation,pending_db_resolution,,keratinocyte,,False
Cell_proliferation_kerat,Cell_proliferation,pending_db_resolution,,keratinocyte,,True
Cell_proliferation_melan,Cell_proliferation,pending_db_resolution,,melanocyte,,True
Cell_survival_kerat,Cell_survival,pending_db_resolution,,keratinocyte,,True
Cell_survival_melan,Cell_survival,pending_db_resolution,,melanocyte,,True
Ceramide_kerat,Ceramide,pending_db_resolution,,keratinocyte,,False
Cysteine_melan,Cysteine,pending_db_resolution,,melanocyte,,False
Cysteinyl_DOPA_melan,Cysteinyl_DOPA,pending_db_resolution,,melanocyte,,False
DAG_kerat,DAG,pending_db_resolution,,keratinocyte,,True
DAG_melan,DAG,pending_db_resolution,,melanocyte,,True
DCT_melan,DCT,pending_db_resolution,,melanocyte,,False
DFFA_kerat,DFFA,pending_db_resolution,,keratinocyte,,False
DFFB:DFFA_kerat,DFFB:DFFA,complex,raghunath_file_syntax,keratinocyte,,False
DFFB_kerat,DFFB,pending_db_resolution,,keratinocyte,,False
DHICA_melan,DHICA,pending_db_resolution,,melanocyte,,False
DHI_melan,DHI,pending_db_resolution,,melanocyte,,False
DNA_Damage_kerat,DNA_Damage,pending_db_resolution,,keratinocyte,,False
DNA_Repair_kerat,DNA_Repair,pending_db_resolution,,keratinocyte,,False
DOPA_melan,DOPA,pending_db_resolution,,melanocyte,,False
DOPAchrome_melan,DOPAchrome,pending_db_resolution,,melanocyte,,False
DOPAquinone_melan,DOPAquinone,pending_db_resolution,,melanocyte,,False
DUSP1_kerat,DUSP1,pending_db_resolution,,keratinocyte,,False
Dendrite_formation_melan,Dendrite_formation,pending_db_resolution,,melanocyte,,False
EDN1_kerat,EDN1,pending_db_resolution,,keratinocyte,,False
EDNRB_melan,EDNRB,pending_db_resolution,,melanocyte,,False
EGFR_kerat,EGFR,pending_db_resolution,,keratinocyte,,False
ELK1_kerat,ELK1,pending_db_resolution,,keratinocyte,,True
ELK1_melan,ELK1,pending_db_resolution,,melanocyte,,True
EZR_melan,EZR,pending_db_resolution,,melanocyte,,False
Eumelanin_melan,Eumelanin,pending_db_resolution,,melanocyte,,False
F10,F10,pending_db_resolution,,none,,False
F2RL1_kerat,F2RL1,pending_db_resolution,,keratinocyte,,False
F7,F7,pending_db_resolution,,none,,False
FAS:FADD_kerat,FAS:FADD,complex,raghunath_file_syntax,keratinocyte,,False
FASLG_kerat,FASLG,pending_db_resolution,,keratinocyte,,False
FAS_kerat,FAS,pending_db_resolution,,keratinocyte,,False
FICZ_kerat,FICZ,pending_db_resolution,,keratinocyte,,False
FOS_kerat,FOS,pending_db_resolution,,keratinocyte,,True
FOS_kerat:JUN_kerat,FOS_kerat:JUN,complex,raghunath_file_syntax,keratinocyte,,True
FOS_kerat:JUN_melan,FOS_kerat:JUN,complex,raghunath_file_syntax,melanocyte,,True
FOS_melan,FOS,pending_db_resolution,,melanocyte,,True
FZD3_melan,FZD3,pending_db_resolution,,melanocyte,,False
GAB1:PIK3CA_melan,GAB1:PIK3CA,complex,raghunath_file_syntax,melanocyte,,False
GAB1_melan,GAB1,pending_db_resolution,,melanocyte,,False
GADD45A_kerat,GADD45A,pending_db_resolution,,keratinocyte,,False
GSH_melan,GSH,pending_db_resolution,,melanocyte,,False
GSK3B_kerat,GSK3B,pending_db_resolution,,keratinocyte,,True
GSK3B_melan,GSK3B,pending_db_resolution,,melanocyte,,True
GUCY1A2_melan,GUCY1A2,pending_db_resolution,,melanocyte,,False
Glutathionyl_DOPA_melan,Glutathionyl_DOPA,pending_db_resolution,,melanocyte,,False
HGF_kerat,HGF,pending_db_resolution,,keratinocyte,,False
HIF1A_kerat,HIF1A,pending_db_resolution,,keratinocyte,,True
HIF1A_melan,HIF1A,pending_db_resolution,,melanocyte,,True
HRAS_kerat,HRAS,pending_db_resolution,,keratinocyte,,True
HRAS_melan,HRAS,pending_db_resolution,,melanocyte,,True
ICAM1_kerat,ICAM1,pending_db_resolution,,keratinocyte,,False
IKBKA_kerat,IKBKA,pending_db_resolution,,keratinocyte,,False
IL10_kerat,IL10,pending_db_resolution,,keratinocyte,,False
IL12A_kerat,IL12A,pending_db_resolution,,keratinocyte,,False
IL1A_kerat,IL1A,pending_db_resolution,,keratinocyte,,False
IL1R1:MYD88:IRAK1:IRAK4_kerat,IL1R1:MYD88:IRAK1:IRAK4,complex,raghunath_file_syntax,keratinocyte,,False
IL1R1_kerat,IL1R1,pending_db_resolution,,keratinocyte,,False
IL6R_kerat,IL6R,pending_db_resolution,,keratinocyte,,False
IL6_kerat,IL6,pending_db_resolution,,keratinocyte,,False
IL8_kerat,IL8,pending_db_resolution,,keratinocyte,,False
IP3_kerat,IP3,pending_db_resolution,,keratinocyte,,True
IP3_melan,IP3,pending_db_resolution,,melanocyte,,True
IRAK1_Active:TRAF6:ECSIT_kerat,IRAK1_Active:TRAF6:ECSIT,complex,raghunath_file_syntax,keratinocyte,active,False
IRAK1_Active:TRAF6_kerat,IRAK1_Active:TRAF6,complex,raghunath_file_syntax,keratinocyte,active,False
IRAK1_Active_kerat,IRAK1_Active,pending_db_resolution,,keratinocyte,active,False
IVL_kerat,IVL,pending_db_resolution,,keratinocyte,,False
