gene,entrez,ensembl,in_nb2_network,in_darcy_union,in_darcy_S1,darcy_s1_phenotype_class,coverage_tier,case_papers,case_discordance_direction
BNC2,54796,ENSG00000173068,False,True,True,Hyperpigmentation,darcy_recoverable,Ang2023_eLife_Kalinago,both
HERC2,8924,ENSG00000128731;ENSG00000277278;ENSG00000276802,False,True,True,Hypopigmentation,darcy_recoverable,Abbatangelo2026_SciRep_eyecolour_discordance;Crawford2017_Science_AfricanPigmentation;Morgan2018_NatCommun_HairColour_MC1R;Pospiech2016_IntJLegalMed_IrisPlex_population;Salvo2023_Genes_AAAGblueeyes,mixed
IRF4,3662,ENSG00000137265,False,True,True,Mixed,darcy_recoverable,Abbatangelo2026_SciRep_eyecolour_discordance;Meyer2020_PLoSONE_GGbrowneyes;Pospiech2016_IntJLegalMed_IrisPlex_population,mixed
KITLG,4254,ENSG00000049130,True,True,True,Mixed,in_network,Ang2023_eLife_Kalinago,both
LRMDA,83938,ENSG00000148655,False,True,True,Hypopigmentation,darcy_recoverable,Ang2023_eLife_Kalinago,both
MC1R,4157,ENSG00000258839,True,True,True,Hypopigmentation,in_network,Crawford2017_Science_AfricanPigmentation;Morgan2018_NatCommun_HairColour_MC1R,both
OCA2,4948,ENSG00000277361;ENSG00000104044,True,True,True,Hypopigmentation,in_network,Abbatangelo2026_SciRep_eyecolour_discordance;Ang2023_eLife_Kalinago;Crawford2017_Science_AfricanPigmentation;Pospiech2016_IntJLegalMed_IrisPlex_population;Salvo2023_Genes_AAAGblueeyes;Yang2016_MBE_OCA2_EastAsian,mixed
PAX3,5077,ENSG00000135903,True,True,True,Hypopigmentation,in_network,Morell1997_JMedGenet_Waardenburg,D1
POMC,5443,ENSG00000115138,True,True,True,Hypopigmentation,in_network,Morgan2018_NatCommun_HairColour_MC1R,both
PPP3CA,5530,ENSG00000138814,True,True,True,Hypopigmentation,in_network,Ang2023_eLife_Kalinago,both
RALY,22913,ENSG00000125970,False,True,True,Hypopigmentation,darcy_recoverable,Morgan2018_NatCommun_HairColour_MC1R,both
SLC24A5,283652,ENSG00000188467,False,True,True,Mixed,darcy_recoverable,Ang2023_eLife_Kalinago;Crawford2017_Science_AfricanPigmentation;Yang2016_MBE_OCA2_EastAsian,mixed
SLC45A2,51151,ENSG00000164175;ENSG00000281919,False,True,True,Hypopigmentation,darcy_recoverable,Abbatangelo2026_SciRep_eyecolour_discordance;Ang2023_eLife_Kalinago;Pospiech2016_IntJLegalMed_IrisPlex_population;Salvo2023_Genes_AAAGblueeyes,mixed
TYR,7299,ENSG00000077498,True,True,True,Mixed,in_network,Abbatangelo2026_SciRep_eyecolour_discordance;Ang2023_eLife_Kalinago;Meyer2020_PLoSONE_GGbrowneyes;Pospiech2016_IntJLegalMed_IrisPlex_population,mixed
TYRP1,7306,ENSG00000107165,True,True,True,Hypopigmentation,in_network,Abbatangelo2026_SciRep_eyecolour_discordance;Ang2023_eLife_Kalinago;Kenny2012_Science_TYRP1;Meyer2020_PLoSONE_GGbrowneyes;Norton2014_AJPA_MelanesianBlond_TYRP1;Norton2016_AJHB_Bougainville_TYRP1,mixed
